,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
0,芝,1000,全,all,6.28,12.12,72,2,1,6,5,3,11,23,21,2,0,1,0,2,5,4,1,1,1,5,10,7,9,12,6,3,3
1,芝,1000,良,all,6.13,12.16,45,1,0,5,3,3,8,15,10,1,0,0,0,2,3,3,1,1,1,3,6,2,7,7,3,2,3
2,芝,1000,稍重,all,6.29,11.67,21,1,1,1,2,0,2,6,8,1,0,1,0,0,2,1,0,0,0,1,3,4,1,4,2,1,0
3,芝,1000,重,all,7.33,13.5,6,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
4,芝,1000,不良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,芝,1000,全,未勝利,5.94,11.56,18,0,1,1,2,2,3,6,3,0,0,1,0,1,1,1,0,1,1,2,1,1,3,3,1,0,1
6,芝,1000,良,未勝利,6.17,12.33,12,0,0,1,0,2,3,5,1,0,0,0,0,1,0,0,0,1,1,2,1,0,3,2,0,0,1
7,芝,1000,稍重,未勝利,5.5,10.0,6,0,1,0,2,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
8,芝,1000,重,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,芝,1000,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1000,全,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,芝,1000,良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,芝,1000,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1000,重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,芝,1000,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,芝,1000,全,1勝クラス,6.55,12.48,33,1,0,3,2,0,5,8,14,1,0,0,0,1,2,2,0,0,0,3,5,4,2,6,3,3,1
16,芝,1000,良,1勝クラス,6.22,12.33,18,0,0,3,2,0,3,3,7,0,0,0,0,1,2,2,0,0,0,1,2,1,1,3,2,2,1
17,芝,1000,稍重,1勝クラス,6.67,12.11,9,1,0,0,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,1,0
18,芝,1000,重,1勝クラス,7.33,13.5,6,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
19,芝,1000,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,芝,1000,全,2勝クラス,5.89,11.33,9,0,0,1,1,1,1,5,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,2,0,0,0
21,芝,1000,良,2勝クラス,5.89,11.33,9,0,0,1,1,1,1,5,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,2,0,0,0
22,芝,1000,稍重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,芝,1000,重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,芝,1000,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,芝,1000,全,3勝クラス,7.33,14.33,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
26,芝,1000,良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,芝,1000,稍重,3勝クラス,7.33,14.33,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
28,芝,1000,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,芝,1000,不良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,芝,1000,全,オープン,6.0,12.0,9,1,0,1,0,0,1,4,2,1,0,0,0,0,1,0,0,0,0,0,1,1,3,0,1,0,1
31,芝,1000,良,オープン,6.17,12.5,6,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1
32,芝,1000,稍重,オープン,5.67,11.0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
33,芝,1000,重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,芝,1000,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,芝,1200,全,all,4.9,9.06,87,14,8,4,6,10,18,14,13,8,6,5,4,2,1,1,6,7,6,6,10,10,6,2,6,1,0
36,芝,1200,良,all,4.93,9.22,60,9,6,3,4,6,14,8,10,5,4,3,4,1,1,1,4,4,3,4,9,5,5,1,5,1,0
37,芝,1200,稍重,all,4.0,7.33,9,3,0,1,1,1,1,1,1,2,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0
38,芝,1200,重,all,5.22,9.39,18,2,2,0,1,3,3,5,2,1,1,2,0,0,0,0,1,2,3,1,1,4,1,1,0,0,0
39,芝,1200,不良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,芝,1200,全,未勝利,4.64,8.48,33,7,3,0,4,3,7,5,4,4,3,2,1,0,0,0,4,3,2,3,3,5,0,1,2,0,0
41,芝,1200,良,未勝利,4.43,8.29,21,4,3,0,2,3,5,2,2,3,1,2,1,0,0,0,2,2,1,3,2,2,0,0,2,0,0
42,芝,1200,稍重,未勝利,2.0,3.67,3,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,芝,1200,重,未勝利,6.0,10.56,9,1,0,0,1,0,2,3,2,0,1,0,0,0,0,0,1,1,1,0,1,3,0,1,0,0,0
44,芝,1200,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,芝,1200,全,新馬,4.0,7.78,9,2,2,1,0,1,0,2,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
46,芝,1200,良,新馬,3.67,7.33,6,2,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
47,芝,1200,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,芝,1200,重,新馬,4.67,8.67,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
49,芝,1200,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,芝,1200,全,1勝クラス,4.67,8.88,24,4,2,1,2,5,4,4,2,2,2,1,1,1,0,1,1,3,2,1,3,2,2,0,2,0,0
51,芝,1200,良,1勝クラス,4.78,9.17,18,3,1,1,2,3,3,3,2,1,2,0,1,1,0,1,1,2,1,0,3,2,1,0,2,0,0
52,芝,1200,稍重,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,芝,1200,重,1勝クラス,4.33,8.0,6,1,1,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
54,芝,1200,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,芝,1200,全,2勝クラス,6.0,10.53,15,1,0,2,0,1,4,2,5,1,0,1,0,1,0,0,1,1,1,0,3,1,3,1,1,0,0
56,芝,1200,良,2勝クラス,6.75,11.92,12,0,0,1,0,0,4,2,5,0,0,1,0,0,0,0,1,0,1,0,3,1,3,1,1,0,0
57,芝,1200,稍重,2勝クラス,3.0,5.0,3,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
58,芝,1200,重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,芝,1200,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,芝,1200,全,3勝クラス,5.83,11.17,6,0,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0
61,芝,1200,良,3勝クラス,4.67,9.0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
62,芝,1200,稍重,3勝クラス,7.0,13.33,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
63,芝,1200,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
