,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
0,芝,1200,全,all,34.9,5.0,4.5,,
1,芝,1200,良,all,34.8,4.9,4.3,,
2,芝,1200,稍重,all,35.7,3.9,4.5,,
3,芝,1200,重,all,36.6,9.3,8.1,,
4,芝,1200,不良,all,,,,,
5,芝,1200,全,未勝利,35.2,4.3,3.8,,
6,芝,1200,良,未勝利,35.1,3.8,3.3,,
7,芝,1200,稍重,未勝利,35.8,6.8,6.8,,
8,芝,1200,重,未勝利,35.9,9.6,8.4,,
9,芝,1200,不良,未勝利,,,,,
10,芝,1200,全,新馬,35.0,6.6,6.4,,
11,芝,1200,良,新馬,34.9,7.3,6.5,,
12,芝,1200,稍重,新馬,35.5,2.2,5.6,,
13,芝,1200,重,新馬,,,,,
14,芝,1200,不良,新馬,,,,,
15,芝,1200,全,1勝クラス,34.9,4.7,4.2,,
16,芝,1200,良,1勝クラス,34.6,4.5,4.0,,
17,芝,1200,稍重,1勝クラス,36.1,4.5,3.4,,
18,芝,1200,重,1勝クラス,37.4,9.0,7.9,,
19,芝,1200,不良,1勝クラス,,,,,
20,芝,1200,全,2勝クラス,34.3,6.3,6.3,,
21,芝,1200,良,2勝クラス,34.3,6.3,6.3,,
22,芝,1200,稍重,2勝クラス,,,,,
23,芝,1200,重,2勝クラス,,,,,
24,芝,1200,不良,2勝クラス,,,,,
25,芝,1200,全,3勝クラス,34.4,7.2,5.3,,
26,芝,1200,良,3勝クラス,34.4,7.2,5.3,,
27,芝,1200,稍重,3勝クラス,,,,,
28,芝,1200,重,3勝クラス,,,,,
29,芝,1200,不良,3勝クラス,,,,,
30,芝,1200,全,オープン,35.0,3.4,2.5,,
31,芝,1200,良,オープン,34.9,3.8,2.6,,
32,芝,1200,稍重,オープン,35.4,2.2,2.2,,
33,芝,1200,重,オープン,,,,,
34,芝,1200,不良,オープン,,,,,
35,芝,1800,全,all,35.5,6.9,6.8,6.7,5.6
36,芝,1800,良,all,35.5,7.0,6.8,6.7,5.8
37,芝,1800,稍重,all,36.1,5.7,6.5,6.5,4.2
38,芝,1800,重,all,,,,,
39,芝,1800,不良,all,,,,,
40,芝,1800,全,未勝利,35.8,7.3,6.9,7.2,5.9
41,芝,1800,良,未勝利,35.8,7.8,7.4,7.7,6.3
42,芝,1800,稍重,未勝利,36.7,1.1,1.1,1.1,1.1
43,芝,1800,重,未勝利,,,,,
44,芝,1800,不良,未勝利,,,,,
45,芝,1800,全,新馬,35.7,5.7,6.1,5.4,4.5
46,芝,1800,良,新馬,35.7,5.7,6.1,5.4,4.5
47,芝,1800,稍重,新馬,,,,,
48,芝,1800,重,新馬,,,,,
49,芝,1800,不良,新馬,,,,,
50,芝,1800,全,1勝クラス,35.5,6.4,6.8,6.2,5.1
51,芝,1800,良,1勝クラス,35.4,5.8,6.0,5.2,4.9
52,芝,1800,稍重,1勝クラス,35.8,8.0,9.2,9.2,5.7
53,芝,1800,重,1勝クラス,,,,,
54,芝,1800,不良,1勝クラス,,,,,
55,芝,1800,全,2勝クラス,34.9,6.1,5.4,5.7,5.4
56,芝,1800,良,2勝クラス,34.9,6.1,5.4,5.7,5.4
57,芝,1800,稍重,2勝クラス,,,,,
58,芝,1800,重,2勝クラス,,,,,
59,芝,1800,不良,2勝クラス,,,,,
60,芝,1800,全,3勝クラス,,,,,
61,芝,1800,良,3勝クラス,,,,,
62,芝,1800,稍重,3勝クラス,,,,,
63,芝,1800,重,3勝クラス,,,,,
64,芝,1800,不良,3勝クラス,,,,,
65,芝,1800,全,オープン,34.4,11.2,10.5,11.1,10.5
66,芝,1800,良,オープン,34.4,11.2,10.5,11.1,10.5
67,芝,1800,稍重,オープン,,,,,
68,芝,1800,重,オープン,,,,,
69,芝,1800,不良,オープン,,,,,
70,芝,2000,全,all,35.5,8.0,7.6,7.2,5.9
71,芝,2000,良,all,35.5,7.7,7.3,7.0,5.9
72,芝,2000,稍重,all,,,,,
73,芝,2000,重,all,36.8,16.7,14.1,14.1,6.4
74,芝,2000,不良,all,,,,,
75,芝,2000,全,未勝利,36.1,4.2,4.2,4.2,3.2
76,芝,2000,良,未勝利,36.1,4.2,4.2,4.2,3.2
77,芝,2000,稍重,未勝利,,,,,
78,芝,2000,重,未勝利,,,,,
79,芝,2000,不良,未勝利,,,,,
80,芝,2000,全,新馬,35.2,5.6,4.9,5.0,4.3
81,芝,2000,良,新馬,35.2,5.6,4.9,5.0,4.3
82,芝,2000,稍重,新馬,,,,,
83,芝,2000,重,新馬,,,,,
84,芝,2000,不良,新馬,,,,,
85,芝,2000,全,1勝クラス,35.3,10.8,9.9,9.2,7.4
86,芝,2000,良,1勝クラス,35.2,10.2,9.5,8.7,7.5
87,芝,2000,稍重,1勝クラス,,,,,
88,芝,2000,重,1勝クラス,36.8,16.7,14.1,14.1,6.4
89,芝,2000,不良,1勝クラス,,,,,
90,芝,2000,全,2勝クラス,34.9,4.5,4.5,4.5,2.2
91,芝,2000,良,2勝クラス,34.9,4.5,4.5,4.5,2.2
92,芝,2000,稍重,2勝クラス,,,,,
93,芝,2000,重,2勝クラス,,,,,
94,芝,2000,不良,2勝クラス,,,,,
95,芝,2000,全,3勝クラス,35.7,1.3,1.3,1.3,1.3
96,芝,2000,良,3勝クラス,35.7,1.3,1.3,1.3,1.3
97,芝,2000,稍重,3勝クラス,,,,,
98,芝,2000,重,3勝クラス,,,,,
99,芝,2000,不良,3勝クラス,,,,,
100,芝,2000,全,オープン,35.1,13.7,13.7,13.3,11.8
101,芝,2000,良,オープン,35.1,13.7,13.7,13.3,11.8
102,芝,2000,稍重,オープン,,,,,
103,芝,2000,重,オープン,,,,,
104,芝,2000,不良,オープン,,,,,
105,芝,2600,全,all,35.9,6.4,6.3,4.8,3.4
106,芝,2600,良,all,35.8,5.7,5.6,4.2,3.2
107,芝,2600,稍重,all,35.9,10.3,10.3,10.3,6.4
108,芝,2600,重,all,37.5,10.1,10.1,5.6,2.2
109,芝,2600,不良,all,,,,,
110,芝,2600,全,未勝利,35.8,4.5,4.9,5.2,4.5
111,芝,2600,良,未勝利,35.8,4.5,4.9,5.2,4.5
112,芝,2600,稍重,未勝利,,,,,
113,芝,2600,重,未勝利,,,,,
114,芝,2600,不良,未勝利,,,,,
115,芝,2600,全,新馬,,,,,
116,芝,2600,良,新馬,,,,,
117,芝,2600,稍重,新馬,,,,,
