,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
0,芝,1200,全,all,34.8,3.9,3.8,,
1,芝,1200,良,all,34.5,4.0,3.9,,
2,芝,1200,稍重,all,35.2,3.3,3.3,,
3,芝,1200,重,all,35.4,3.8,4.0,,
4,芝,1200,不良,all,,,,,
5,芝,1200,全,未勝利,35.0,2.9,2.9,,
6,芝,1200,良,未勝利,34.6,3.6,3.6,,
7,芝,1200,稍重,未勝利,35.4,1.6,1.6,,
8,芝,1200,重,未勝利,35.2,3.4,3.4,,
9,芝,1200,不良,未勝利,,,,,
10,芝,1200,全,新馬,34.9,5.7,5.4,,
11,芝,1200,良,新馬,34.8,5.2,4.7,,
12,芝,1200,稍重,新馬,34.7,9.0,9.0,,
13,芝,1200,重,新馬,35.8,4.5,4.5,,
14,芝,1200,不良,新馬,,,,,
15,芝,1200,全,1勝クラス,35.0,3.1,3.3,,
16,芝,1200,良,1勝クラス,34.8,1.6,1.6,,
17,芝,1200,稍重,1勝クラス,,,,,
18,芝,1200,重,1勝クラス,35.4,6.1,6.8,,
19,芝,1200,不良,1勝クラス,,,,,
20,芝,1200,全,2勝クラス,34.3,2.9,2.7,,
21,芝,1200,良,2勝クラス,34.2,3.1,2.8,,
22,芝,1200,稍重,2勝クラス,,,,,
23,芝,1200,重,2勝クラス,35.0,1.8,1.8,,
24,芝,1200,不良,2勝クラス,,,,,
25,芝,1200,全,3勝クラス,35.3,2.2,2.8,,
26,芝,1200,良,3勝クラス,34.9,3.4,4.5,,
27,芝,1200,稍重,3勝クラス,,,,,
28,芝,1200,重,3勝クラス,35.7,1.1,1.1,,
29,芝,1200,不良,3勝クラス,,,,,
30,芝,1200,全,オープン,34.3,6.3,6.3,,
31,芝,1200,良,オープン,34.0,8.0,8.0,,
32,芝,1200,稍重,オープン,35.2,1.1,1.1,,
33,芝,1200,重,オープン,,,,,
34,芝,1200,不良,オープン,,,,,
35,芝,1400,全,all,35.1,5.6,5.5,,
36,芝,1400,良,all,34.9,5.5,5.3,,
37,芝,1400,稍重,all,35.5,6.1,5.8,,
38,芝,1400,重,all,37.4,6.3,7.2,,
39,芝,1400,不良,all,,,,,
40,芝,1400,全,未勝利,35.6,2.7,2.8,,
41,芝,1400,良,未勝利,35.2,2.4,2.2,,
42,芝,1400,稍重,未勝利,36.4,1.0,1.0,,
43,芝,1400,重,未勝利,38.1,7.0,10.0,,
44,芝,1400,不良,未勝利,,,,,
45,芝,1400,全,新馬,35.1,5.1,4.8,,
46,芝,1400,良,新馬,34.9,5.0,4.8,,
