,race_type,course_len,ground_state,class,avg_time
0,芝,1200,全,all,68600
1,芝,1200,良,all,68440
2,芝,1200,稍重,all,
3,芝,1200,重,all,69400
4,芝,1200,不,all,
5,芝,1200,全,未勝利,
6,芝,1200,良,未勝利,
7,芝,1200,稍重,未勝利,
8,芝,1200,重,未勝利,
9,芝,1200,不,未勝利,
10,芝,1200,全,新馬,
11,芝,1200,良,新馬,
12,芝,1200,稍重,新馬,
13,芝,1200,重,新馬,
14,芝,1200,不,新馬,
15,芝,1200,全,1勝クラス,68650
16,芝,1200,良,1勝クラス,68650
17,芝,1200,稍重,1勝クラス,
18,芝,1200,重,1勝クラス,
19,芝,1200,不,1勝クラス,
20,芝,1200,全,2勝クラス,68300
21,芝,1200,良,2勝クラス,68300
22,芝,1200,稍重,2勝クラス,
23,芝,1200,重,2勝クラス,
24,芝,1200,不,2勝クラス,
25,芝,1200,全,3勝クラス,68300
26,芝,1200,良,3勝クラス,68300
27,芝,1200,稍重,3勝クラス,
28,芝,1200,重,3勝クラス,
29,芝,1200,不,3勝クラス,
30,芝,1200,全,オープン,69400
31,芝,1200,良,オープン,
32,芝,1200,稍重,オープン,
33,芝,1200,重,オープン,69400
34,芝,1200,不,オープン,
35,芝,1400,全,all,81090
36,芝,1400,良,all,80520
37,芝,1400,稍重,all,80950
38,芝,1400,重,all,82133
39,芝,1400,不,all,
40,芝,1400,全,未勝利,81900
41,芝,1400,良,未勝利,81900
42,芝,1400,稍重,未勝利,
43,芝,1400,重,未勝利,
44,芝,1400,不,未勝利,
45,芝,1400,全,新馬,
46,芝,1400,良,新馬,
47,芝,1400,稍重,新馬,
48,芝,1400,重,新馬,
49,芝,1400,不,新馬,
50,芝,1400,全,1勝クラス,82600
51,芝,1400,良,1勝クラス,
52,芝,1400,稍重,1勝クラス,
53,芝,1400,重,1勝クラス,82600
54,芝,1400,不,1勝クラス,
55,芝,1400,全,2勝クラス,80466
56,芝,1400,良,2勝クラス,79500
57,芝,1400,稍重,2勝クラス,80950
58,芝,1400,重,2勝クラス,
59,芝,1400,不,2勝クラス,
60,芝,1400,全,3勝クラス,80550
61,芝,1400,良,3勝クラス,80550
62,芝,1400,稍重,3勝クラス,
63,芝,1400,重,3勝クラス,
64,芝,1400,不,3勝クラス,
65,芝,1400,全,オープン,80650
66,芝,1400,良,オープン,80100
67,芝,1400,稍重,オープン,
68,芝,1400,重,オープン,81200
69,芝,1400,不,オープン,
70,芝,1600,全,all,94015
71,芝,1600,良,all,93815
72,芝,1600,稍重,all,93200
73,芝,1600,重,all,95075
74,芝,1600,不,all,
75,芝,1600,全,未勝利,95000
76,芝,1600,良,未勝利,94866
77,芝,1600,稍重,未勝利,
78,芝,1600,重,未勝利,95200
79,芝,1600,不,未勝利,
80,芝,1600,全,新馬,
81,芝,1600,良,新馬,
82,芝,1600,稍重,新馬,
83,芝,1600,重,新馬,
84,芝,1600,不,新馬,
85,芝,1600,全,1勝クラス,93860
86,芝,1600,良,1勝クラス,94000
87,芝,1600,稍重,1勝クラス,93300
88,芝,1600,重,1勝クラス,
89,芝,1600,不,1勝クラス,
90,芝,1600,全,2勝クラス,94200
91,芝,1600,良,2勝クラス,93500
92,芝,1600,稍重,2勝クラス,
93,芝,1600,重,2勝クラス,95600
94,芝,1600,不,2勝クラス,
95,芝,1600,全,3勝クラス,92700
96,芝,1600,良,3勝クラス,92700
97,芝,1600,稍重,3勝クラス,
98,芝,1600,重,3勝クラス,
99,芝,1600,不,3勝クラス,
100,芝,1600,全,オープン,93340
101,芝,1600,良,オープン,93100
102,芝,1600,稍重,オープン,93100
103,芝,1600,重,オープン,94300
104,芝,1600,不,オープン,
105,芝,1800,全,all,106600
106,芝,1800,良,all,106287
107,芝,1800,稍重,all,108000
108,芝,1800,重,all,107150
109,芝,1800,不,all,
110,芝,1800,全,未勝利,106500
111,芝,1800,良,未勝利,106000
112,芝,1800,稍重,未勝利,108000
113,芝,1800,重,未勝利,
114,芝,1800,不,未勝利,
115,芝,1800,全,新馬,
116,芝,1800,良,新馬,
117,芝,1800,稍重,新馬,
118,芝,1800,重,新馬,
119,芝,1800,不,新馬,
120,芝,1800,全,1勝クラス,107833
121,芝,1800,良,1勝クラス,107600
122,芝,1800,稍重,1勝クラス,
123,芝,1800,重,1勝クラス,108300
124,芝,1800,不,1勝クラス,
125,芝,1800,全,2勝クラス,105600
126,芝,1800,良,2勝クラス,105600
127,芝,1800,稍重,2勝クラス,
128,芝,1800,重,2勝クラス,
129,芝,1800,不,2勝クラス,
130,芝,1800,全,3勝クラス,106100
131,芝,1800,良,3勝クラス,106100
132,芝,1800,稍重,3勝クラス,
133,芝,1800,重,3勝クラス,
134,芝,1800,不,3勝クラス,
135,芝,1800,全,オープン,105700
136,芝,1800,良,オープン,105400
137,芝,1800,稍重,オープン,
138,芝,1800,重,オープン,106000
139,芝,1800,不,オープン,
140,芝,2000,全,all,120766
141,芝,2000,良,all,120245
142,芝,2000,稍重,all,121500
143,芝,2000,重,all,122900
144,芝,2000,不,all,
145,芝,2000,全,未勝利,122083
146,芝,2000,良,未勝利,121400
147,芝,2000,稍重,未勝利,122800
148,芝,2000,重,未勝利,124100
149,芝,2000,不,未勝利,
150,芝,2000,全,新馬,
151,芝,2000,良,新馬,
152,芝,2000,稍重,新馬,
153,芝,2000,重,新馬,
154,芝,2000,不,新馬,
155,芝,2000,全,1勝クラス,121150
156,芝,2000,良,1勝クラス,121150
157,芝,2000,稍重,1勝クラス,
158,芝,2000,重,1勝クラス,
159,芝,2000,不,1勝クラス,
160,芝,2000,全,2勝クラス,120200
161,芝,2000,良,2勝クラス,118700
162,芝,2000,稍重,2勝クラス,120200
163,芝,2000,重,2勝クラス,121700
164,芝,2000,不,2勝クラス,
165,芝,2000,全,3勝クラス,118800
166,芝,2000,良,3勝クラス,118800
167,芝,2000,稍重,3勝クラス,
168,芝,2000,重,3勝クラス,
169,芝,2000,不,3勝クラス,
170,芝,2000,全,オープン,119100
171,芝,2000,良,オープン,119100
172,芝,2000,稍重,オープン,
173,芝,2000,重,オープン,
174,芝,2000,不,オープン,
175,芝,2200,全,all,133733
176,芝,2200,良,all,132550
177,芝,2200,稍重,all,136100
178,芝,2200,重,all,
179,芝,2200,不,all,
180,芝,2200,全,未勝利,134600
181,芝,2200,良,未勝利,133100
182,芝,2200,稍重,未勝利,136100
183,芝,2200,重,未勝利,
184,芝,2200,不,未勝利,
185,芝,2200,全,新馬,
186,芝,2200,良,新馬,
187,芝,2200,稍重,新馬,
188,芝,2200,重,新馬,
189,芝,2200,不,新馬,
190,芝,2200,全,1勝クラス,
191,芝,2200,良,1勝クラス,
192,芝,2200,稍重,1勝クラス,
193,芝,2200,重,1勝クラス,
194,芝,2200,不,1勝クラス,
195,芝,2200,全,2勝クラス,
196,芝,2200,良,2勝クラス,
197,芝,2200,稍重,2勝クラス,
198,芝,2200,重,2勝クラス,
199,芝,2200,不,2勝クラス,
200,芝,2200,全,3勝クラス,
201,芝,2200,良,3勝クラス,
202,芝,2200,稍重,3勝クラス,
203,芝,2200,重,3勝クラス,
204,芝,2200,不,3勝クラス,
205,芝,2200,全,オープン,132000
206,芝,2200,良,オープン,132000
207,芝,2200,稍重,オープン,
208,芝,2200,重,オープン,
209,芝,2200,不,オープン,
210,芝,2400,全,all,147166
211,芝,2400,良,all,146857
212,芝,2400,稍重,all,
213,芝,2400,重,all,148250
214,芝,2400,不,all,
215,芝,2400,全,未勝利,147400
216,芝,2400,良,未勝利,147400
217,芝,2400,稍重,未勝利,
218,芝,2400,重,未勝利,
219,芝,2400,不,未勝利,
220,芝,2400,全,新馬,
221,芝,2400,良,新馬,
222,芝,2400,稍重,新馬,
223,芝,2400,重,新馬,
224,芝,2400,不,新馬,
225,芝,2400,全,1勝クラス,146700
226,芝,2400,良,1勝クラス,146700
227,芝,2400,稍重,1勝クラス,
228,芝,2400,重,1勝クラス,
229,芝,2400,不,1勝クラス,
230,芝,2400,全,2勝クラス,147050
231,芝,2400,良,2勝クラス,146400
232,芝,2400,稍重,2勝クラス,
233,芝,2400,重,2勝クラス,147700
234,芝,2400,不,2勝クラス,
235,芝,2400,全,3勝クラス,148800
236,芝,2400,良,3勝クラス,
237,芝,2400,稍重,3勝クラス,
238,芝,2400,重,3勝クラス,148800
239,芝,2400,不,3勝クラス,
240,芝,2400,全,オープン,
241,芝,2400,良,オープン,
242,芝,2400,稍重,オープン,
243,芝,2400,重,オープン,
244,芝,2400,不,オープン,
245,芝,2600,全,all,158850
246,芝,2600,良,all,158850
247,芝,2600,稍重,all,
248,芝,2600,重,all,
249,芝,2600,不,all,
250,芝,2600,全,未勝利,
251,芝,2600,良,未勝利,
252,芝,2600,稍重,未勝利,
253,芝,2600,重,未勝利,
254,芝,2600,不,未勝利,
255,芝,2600,全,新馬,
256,芝,2600,良,新馬,
257,芝,2600,稍重,新馬,
258,芝,2600,重,新馬,
259,芝,2600,不,新馬,
260,芝,2600,全,1勝クラス,
261,芝,2600,良,1勝クラス,
262,芝,2600,稍重,1勝クラス,
263,芝,2600,重,1勝クラス,
264,芝,2600,不,1勝クラス,
265,芝,2600,全,2勝クラス,160200
266,芝,2600,良,2勝クラス,160200
267,芝,2600,稍重,2勝クラス,
268,芝,2600,重,2勝クラス,
269,芝,2600,不,2勝クラス,
270,芝,2600,全,3勝クラス,
271,芝,2600,良,3勝クラス,
272,芝,2600,稍重,3勝クラス,
273,芝,2600,重,3勝クラス,
274,芝,2600,不,3勝クラス,
275,芝,2600,全,オープン,157500
276,芝,2600,良,オープン,157500
277,芝,2600,稍重,オープン,
278,芝,2600,重,オープン,
279,芝,2600,不,オープン,
280,芝,3000,全,all,187050
