,race_type,course_len,ground_state,class,avg_time
0,芝,1200,全,all,69210
1,芝,1200,良,all,68739
2,芝,1200,稍重,all,69621
3,芝,1200,重,all,70320
4,芝,1200,不,all,70166
5,芝,1200,全,未勝利,69241
6,芝,1200,良,未勝利,68820
7,芝,1200,稍重,未勝利,69816
8,芝,1200,重,未勝利,70200
9,芝,1200,不,未勝利,
10,芝,1200,全,新馬,70611
11,芝,1200,良,新馬,69920
12,芝,1200,稍重,新馬,71550
13,芝,1200,重,新馬,71500
14,芝,1200,不,新馬,71300
15,芝,1200,全,1勝クラス,68943
16,芝,1200,良,1勝クラス,68427
17,芝,1200,稍重,1勝クラス,69370
18,芝,1200,重,1勝クラス,69500
19,芝,1200,不,1勝クラス,69800
20,芝,1200,全,2勝クラス,68357
21,芝,1200,良,2勝クラス,68250
22,芝,1200,稍重,2勝クラス,69000
23,芝,1200,重,2勝クラス,
24,芝,1200,不,2勝クラス,
25,芝,1200,全,3勝クラス,69133
26,芝,1200,良,3勝クラス,
27,芝,1200,稍重,3勝クラス,69000
28,芝,1200,重,3勝クラス,
29,芝,1200,不,3勝クラス,69400
30,芝,1200,全,オープン,68866
31,芝,1200,良,オープン,68000
32,芝,1200,稍重,オープン,69300
33,芝,1200,重,オープン,
34,芝,1200,不,オープン,
35,芝,1700,全,all,
36,芝,1700,良,all,
37,芝,1700,稍重,all,
38,芝,1700,重,all,
39,芝,1700,不,all,
40,芝,1700,全,未勝利,
41,芝,1700,良,未勝利,
42,芝,1700,稍重,未勝利,
43,芝,1700,重,未勝利,
44,芝,1700,不,未勝利,
45,芝,1700,全,新馬,
46,芝,1700,良,新馬,
47,芝,1700,稍重,新馬,
48,芝,1700,重,新馬,
49,芝,1700,不,新馬,
50,芝,1700,全,1勝クラス,
51,芝,1700,良,1勝クラス,
52,芝,1700,稍重,1勝クラス,
53,芝,1700,重,1勝クラス,
54,芝,1700,不,1勝クラス,
55,芝,1700,全,2勝クラス,
56,芝,1700,良,2勝クラス,
57,芝,1700,稍重,2勝クラス,
58,芝,1700,重,2勝クラス,
59,芝,1700,不,2勝クラス,
60,芝,1700,全,3勝クラス,
61,芝,1700,良,3勝クラス,
62,芝,1700,稍重,3勝クラス,
63,芝,1700,重,3勝クラス,
64,芝,1700,不,3勝クラス,
65,芝,1700,全,オープン,
66,芝,1700,良,オープン,
67,芝,1700,稍重,オープン,
68,芝,1700,重,オープン,
69,芝,1700,不,オープン,
70,芝,1800,全,all,109051
71,芝,1800,良,all,108141
72,芝,1800,稍重,all,110064
73,芝,1800,重,all,110775
74,芝,1800,不,all,109800
75,芝,1800,全,未勝利,109610
76,芝,1800,良,未勝利,108800
77,芝,1800,稍重,未勝利,110085
78,芝,1800,重,未勝利,112000
79,芝,1800,不,未勝利,
80,芝,1800,全,新馬,111066
81,芝,1800,良,新馬,110550
82,芝,1800,稍重,新馬,112100
83,芝,1800,重,新馬,
84,芝,1800,不,新馬,
85,芝,1800,全,1勝クラス,108746
86,芝,1800,良,1勝クラス,107550
87,芝,1800,稍重,1勝クラス,109875
88,芝,1800,重,1勝クラス,109550
89,芝,1800,不,1勝クラス,109800
90,芝,1800,全,2勝クラス,108600
91,芝,1800,良,2勝クラス,107850
92,芝,1800,稍重,2勝クラス,109350
93,芝,1800,重,2勝クラス,
94,芝,1800,不,2勝クラス,
