,race_type,course_len,ground_state,class,馬体重
0,芝,1200,全,all,470.9
1,芝,1200,良,all,477.3
2,芝,1200,稍重,all,465.0
3,芝,1200,重,all,438.0
4,芝,1200,不良,all,
5,芝,1200,全,未勝利,498.0
6,芝,1200,良,未勝利,498.0
7,芝,1200,稍重,未勝利,
8,芝,1200,重,未勝利,
9,芝,1200,不良,未勝利,
10,芝,1200,全,新馬,440.0
11,芝,1200,良,新馬,452.0
12,芝,1200,稍重,新馬,428.0
13,芝,1200,重,新馬,
14,芝,1200,不良,新馬,
15,芝,1200,全,1勝クラス,462.0
16,芝,1200,良,1勝クラス,467.3
17,芝,1200,稍重,1勝クラス,
18,芝,1200,重,1勝クラス,446.0
19,芝,1200,不良,1勝クラス,
20,芝,1200,全,2勝クラス,480.0
21,芝,1200,良,2勝クラス,472.7
22,芝,1200,稍重,2勝クラス,502.0
23,芝,1200,重,2勝クラス,
24,芝,1200,不良,2勝クラス,
25,芝,1200,全,3勝クラス,482.0
26,芝,1200,良,3勝クラス,482.0
27,芝,1200,稍重,3勝クラス,
28,芝,1200,重,3勝クラス,
29,芝,1200,不良,3勝クラス,
30,芝,1200,全,オープン,463.0
31,芝,1200,良,オープン,496.0
32,芝,1200,稍重,オープン,
33,芝,1200,重,オープン,430.0
34,芝,1200,不良,オープン,
35,芝,1400,全,all,457.9
36,芝,1400,良,all,458.3
37,芝,1400,稍重,all,
38,芝,1400,重,all,450.0
39,芝,1400,不良,all,
40,芝,1400,全,未勝利,454.0
41,芝,1400,良,未勝利,455.0
42,芝,1400,稍重,未勝利,
43,芝,1400,重,未勝利,450.0
44,芝,1400,不良,未勝利,
45,芝,1400,全,新馬,460.0
46,芝,1400,良,新馬,460.0
47,芝,1400,稍重,新馬,
48,芝,1400,重,新馬,
49,芝,1400,不良,新馬,
50,芝,1400,全,1勝クラス,456.0
51,芝,1400,良,1勝クラス,456.0
52,芝,1400,稍重,1勝クラス,
53,芝,1400,重,1勝クラス,
54,芝,1400,不良,1勝クラス,
55,芝,1400,全,2勝クラス,457.5
56,芝,1400,良,2勝クラス,457.5
57,芝,1400,稍重,2勝クラス,
58,芝,1400,重,2勝クラス,
59,芝,1400,不良,2勝クラス,
60,芝,1400,全,3勝クラス,476.0
61,芝,1400,良,3勝クラス,476.0
62,芝,1400,稍重,3勝クラス,
63,芝,1400,重,3勝クラス,
64,芝,1400,不良,3勝クラス,
65,芝,1400,全,オープン,442.0
66,芝,1400,良,オープン,442.0
67,芝,1400,稍重,オープン,
68,芝,1400,重,オープン,
69,芝,1400,不良,オープン,
70,芝,1600,全,all,466.6
71,芝,1600,良,all,466.7
72,芝,1600,稍重,all,469.0
73,芝,1600,重,all,456.0
74,芝,1600,不良,all,
75,芝,1600,全,未勝利,454.5
76,芝,1600,良,未勝利,456.4
77,芝,1600,稍重,未勝利,434.0
78,芝,1600,重,未勝利,
79,芝,1600,不良,未勝利,
80,芝,1600,全,新馬,453.6
81,芝,1600,良,新馬,453.6
82,芝,1600,稍重,新馬,
83,芝,1600,重,新馬,
84,芝,1600,不良,新馬,
85,芝,1600,全,1勝クラス,473.4
86,芝,1600,良,1勝クラス,481.1
87,芝,1600,稍重,1勝クラス,470.0
88,芝,1600,重,1勝クラス,426.0
89,芝,1600,不良,1勝クラス,
90,芝,1600,全,2勝クラス,470.0
91,芝,1600,良,2勝クラス,465.3
92,芝,1600,稍重,2勝クラス,468.0
93,芝,1600,重,2勝クラス,486.0
94,芝,1600,不良,2勝クラス,
95,芝,1600,全,3勝クラス,478.0
96,芝,1600,良,3勝クラス,472.0
97,芝,1600,稍重,3勝クラス,490.0
98,芝,1600,重,3勝クラス,
99,芝,1600,不良,3勝クラス,
100,芝,1600,全,オープン,477.8
101,芝,1600,良,オープン,477.1
102,芝,1600,稍重,オープン,482.0
103,芝,1600,重,オープン,
104,芝,1600,不良,オープン,
105,芝,1800,全,all,472.3
106,芝,1800,良,all,471.6
107,芝,1800,稍重,all,476.0
108,芝,1800,重,all,486.0
109,芝,1800,不良,all,
110,芝,1800,全,未勝利,471.6
111,芝,1800,良,未勝利,471.0
112,芝,1800,稍重,未勝利,476.0
113,芝,1800,重,未勝利,
114,芝,1800,不良,未勝利,
115,芝,1800,全,新馬,476.0
116,芝,1800,良,新馬,471.0
117,芝,1800,稍重,新馬,
118,芝,1800,重,新馬,486.0
119,芝,1800,不良,新馬,
120,芝,1800,全,1勝クラス,446.4
121,芝,1800,良,1勝クラス,446.4
122,芝,1800,稍重,1勝クラス,
123,芝,1800,重,1勝クラス,
124,芝,1800,不良,1勝クラス,
125,芝,1800,全,2勝クラス,496.7
126,芝,1800,良,2勝クラス,496.7
127,芝,1800,稍重,2勝クラス,
128,芝,1800,重,2勝クラス,
129,芝,1800,不良,2勝クラス,
130,芝,1800,全,3勝クラス,478.0
131,芝,1800,良,3勝クラス,478.0
132,芝,1800,稍重,3勝クラス,
133,芝,1800,重,3勝クラス,
134,芝,1800,不良,3勝クラス,
135,芝,1800,全,オープン,486.0
136,芝,1800,良,オープン,486.0
137,芝,1800,稍重,オープン,
138,芝,1800,重,オープン,
139,芝,1800,不良,オープン,
140,芝,2000,全,all,470.2
141,芝,2000,良,all,472.6
142,芝,2000,稍重,all,446.0
143,芝,2000,重,all,
144,芝,2000,不良,all,
145,芝,2000,全,未勝利,461.3
146,芝,2000,良,未勝利,465.8
147,芝,2000,稍重,未勝利,412.0
148,芝,2000,重,未勝利,
149,芝,2000,不良,未勝利,
150,芝,2000,全,新馬,490.0
151,芝,2000,良,新馬,490.0
152,芝,2000,稍重,新馬,
153,芝,2000,重,新馬,
154,芝,2000,不良,新馬,
155,芝,2000,全,1勝クラス,463.7
156,芝,2000,良,1勝クラス,460.7
157,芝,2000,稍重,1勝クラス,482.0
158,芝,2000,重,1勝クラス,
159,芝,2000,不良,1勝クラス,
160,芝,2000,全,2勝クラス,482.7
161,芝,2000,良,2勝クラス,482.7
162,芝,2000,稍重,2勝クラス,
163,芝,2000,重,2勝クラス,
164,芝,2000,不良,2勝クラス,
