,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202508020104,2025/04/26,京都,晴,04,4歳以上障害OP,オープン,11,2,2,216.6,11.0,10,伴啓太,60.0,障害,3170,良,0:3:41.7,6.3,10-10-11-10,14.0,466,ナリノモンターニュ
1,202510010904,2025/02/22,小倉,晴,04,4歳以上障害OP,オープン,13,1,1,128.2,13.0,13,井上敏樹,57.0,障害,3390,良,0:3:55.7,7.4,13-13-13-13,13.9,470,アンクルブラック
2,202407030308,2024/09/14,中京,晴,08,阪神ジャンプS,オープン,12,8,12,106.1,11.0,中,坂口智康,60.0,障害,3330,良,,,,,468,サペラヴィ
3,202405030101,2024/06/01,東京,晴,01,3歳以上障害未勝利,未勝利,10,3,3,121.9,8.0,7,伴啓太,60.0,障害,3000,稍重,0:3:27.9,2.7,7-6-6-6,13.9,474,オメガリッチマン
4,202406030204,2024/03/24,中山,曇,04,4歳以上障害未勝利,未勝利,12,7,9,229.1,11.0,11,井上敏樹,60.0,障害,2880,良,0:3:16.1,5.3,12-12-11-11,13.6,462,ファルコニア
5,202309050805,2023/12/24,阪神,晴,05,,未勝利,14,6,9,513.1,13.0,9,井上敏樹,60.0,障害,2970,良,0:3:24.3,3.4,9-9-8-8,13.8,466,ゴールドパラディン
6,202303030504,2023/11/18,福島,晴,04,,未勝利,14,7,12,279.2,14.0,11,井上敏樹,60.0,障害,2770,稍重,0:3:11.5,5.0,12-12-12-13,13.8,462,ルヴェルディ
7,202306040801,2023/09/30,中山,曇,01,,未勝利,14,8,14,180.7,14.0,7,井上敏樹,60.0,障害,2880,良,0:3:17.0,4.3,13-11-8-8,13.7,476,ブリヨンカズマ
8,202306040101,2023/09/09,中山,曇,01,,未勝利,12,7,9,58.4,11.0,6,伴啓太,60.0,障害,2880,重,0:3:21.3,3.1,9-9-9-9,14.0,476,オシリスブレイン
9,202303020401,2023/07/09,福島,曇,01,,未勝利,11,6,6,69.0,8.0,7,井上敏樹,60.0,障害,2750,良,0:3:03.8,3.3,9-9-10-9,13.4,468,ザレストノーウェア
10,202303010604,2023/04/23,福島,晴,04,,未勝利,12,6,7,58.7,10.0,8,井上敏樹,60.0,障害,2770,良,0:3:06.1,1.8,7-9-9-9,13.4,460,エターナルボンド
11,202310020604,2023/02/26,小倉,晴,04,,未勝利,12,6,7,28.6,9.0,8,伴啓太,60.0,障害,2860,稍重,0:3:16.3,2.6,9-9-9-9,13.7,456,ドンシャーク
12,202310020204,2023/02/12,小倉,晴,04,,未勝利,12,5,5,33.2,7.0,4,伴啓太,60.0,障害,2860,稍重,0:3:14.3,1.2,2-2-3-4,13.6,456,サンデイビス
13,202205050704,2022/11/26,東京,曇,04,,未勝利,12,6,7,152.7,12.0,6,伴啓太,60.0,障害,3000,良,0:3:27.7,0.6,10-10-9-8,13.8,464,クリノオウジャ
14,202206040801,2022/10/01,中山,晴,01,,未勝利,12,4,4,93.6,11.0,12,大庭和弥,60.0,障害,2880,良,0:3:18.3,3.6,12-12-12-12,13.8,466,メイショウアツイタ
15,202203020401,2022/07/10,福島,晴,01,,未勝利,13,8,12,172.5,12.0,7,江田勇亮,60.0,障害,2750,良,0:3:03.7,2.0,2-1-1-3,13.4,450,デストロイ
16,202203010504,2022/04/30,福島,晴,04,,未勝利,13,2,2,75.1,11.0,8,伴啓太,60.0,障害,2770,重,0:3:07.0,2.9,12-12-10-9,13.5,450,モーガン
17,202206020804,2022/03/21,中山,曇,04,,未勝利,13,7,10,118.3,12.0,10,江田勇亮,60.0,障害,2880,稍重,0:3:19.1,5.4,8-9-11-11,13.8,464,アノ
18,202206010304,2022/01/09,中山,晴,04,,未勝利,13,2,2,100.0,11.0,8,江田勇亮,60.0,障害,2880,稍重,0:3:17.6,3.6,10-9-8-8,13.7,452,ヤマノグリッターズ
19,202106050604,2021/12/19,中山,晴,04,,未勝利,11,8,11,113.8,11.0,5,江田勇亮,60.0,障害,2880,良,0:3:19.2,2.5,9-8-5-5,13.8,452,テトラルキア
