race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
,2024/03/10,水沢,曇,5,C2九組,,11,8,10,145.8,10,11,佐々木志,54,ダート,1300,重,1:30.0,6.2,6-7-10-11,43.3,423,ブルーモンターニュ
202302010506,2023/06/24,函館,曇,6,3歳未勝利,未勝利,11,7,8,137.9,10,8,小林勝太,53,芝,2000,稍,2:04.5,1.2,10-10-11-10,36.3,414,ポーレット
202302010406,2023/06/18,函館,晴,6,3歳未勝利,未勝利,13,3,3,129.9,11,9,小林勝太,53,芝,2000,良,2:02.2,1.1,13-12-11-11,35.5,416,エイシンジェンマ
202304010105,2023/04/29,新潟,晴,5,3歳未勝利,未勝利,16,4,8,40.8,9,13,西塚洸二,53,芝,2000,良,2:03.7,2.5,14-14-8-10,38.8,422,ウイニングライブ
202306030305,2023/04/01,中山,晴,5,3歳未勝利,未勝利,17,8,17,320.1,14,6,西塚洸二,53,芝,2000,良,2:03.1,1.0,4-4-5-6,36.0,424,フレーヴァード
202306020605,2023/03/12,中山,晴,5,3歳未勝利,未勝利,18,3,6,106.5,13,9,横山琉人,54,芝,2000,良,2:01.9,1.1,10-11-13-12,35.8,428,イケイケドンドン
202305010305,2023/02/04,東京,晴,5,3歳未勝利,未勝利,18,7,13,250.3,15,11,西塚洸二,53,芝,2400,良,2:27.5,1.6,3-3-3-3,36.6,428,サトノトルネード
202306010506,2023/01/14,中山,雨,6,3歳未勝利,未勝利,17,3,6,91.6,13,7,武藤雅,56,芝,2000,良,2:03.8,0.8,12-13-12-12,36.6,426,ルーチェロッサ
202205040901,2022/10/30,東京,晴,1,2歳未勝利,未勝利,14,4,6,92.7,10,11,永野猛蔵,54,ダート,1400,良,1:30.5,4.2,5-6,40.7,416,マホロバ
202204030802,2022/09/04,新潟,晴,2,2歳未勝利,未勝利,18,4,7,38.9,9,7,永野猛蔵,52,芝,1400,良,1:23.7,1.0,6-4,36.5,416,ノーブルラン
202204020401,2022/08/07,新潟,晴,1,2歳未勝利,未勝利,15,4,7,63.3,9,7,武藤雅,54,芝,1400,良,1:22.9,0.8,8-8,35.7,414,サイモンオリーブ
202205030105,2022/06/04,東京,晴,5,2歳新馬,新馬,13,8,12,57.0,9,6,武藤雅,54,芝,1600,良,1:36.9,1.6,7-7,34.6,414,ノッキングポイント
