クラス,血統,1着,2着,3着,着外
all,ドゥラメンテ,13,3,7,21
all,ディープインパクト,11,9,5,42
all,ハービンジャー,10,11,5,67
all,キズナ,10,4,6,38
all,エピファネイア,6,6,5,35
all,ゴールドシップ,6,5,9,35
all,ロードカナロア,6,4,4,30
all,キングカメハメハ,6,2,0,24
all,ハーツクライ,4,5,3,32
all,ルーラーシップ,4,4,3,30
all,スワーヴリチャード,4,4,1,10
all,リオンディーズ,4,2,1,15
all,キタサンブラック,3,5,2,13
all,ダノンバラード,3,4,5,16
all,ヴィクトワールピサ,3,1,2,16
all,オルフェーヴル,3,0,3,33
all,デクラレーションオブウォー,3,0,1,10
all,スクリーンヒーロー,2,7,5,10
all,ローズキングダム,2,2,0,2
all,ブリックスアンドモルタル,2,1,2,5
all,サートゥルナーリア,2,0,3,7
all,ドレフォン,2,0,0,7
all,モーリス,1,6,5,32
all,ジャスタウェイ,1,5,2,23
all,タートルボウル,1,4,0,3
all,ステイゴールド,1,2,1,6
all,ダイワメジャー,1,2,1,16
all,レイデオロ,1,2,1,9
all,クロフネ,1,2,0,7
all,ノヴェリスト,1,1,4,16
all,ビーチパトロール,1,1,2,6
all,リアルインパクト,1,1,2,9
all,ヴァンキッシュラン,1,1,2,2
all,Frankel,1,1,1,2
all,ゴールドアクター,1,1,1,3
all,Kingman,1,1,0,0
all,エスケンデレヤ,1,1,0,5
all,シスキン,1,1,0,1
all,ジャングルポケット,1,1,0,4
all,トーセンレーヴ,1,1,0,3
all,ブラックタイド,1,1,0,20
all,シルバーステート,1,0,3,7
all,アメリカンペイトリオット,1,0,2,1
all,ウインブライト,1,0,2,3
all,サトノダイヤモンド,1,0,2,17
all,マジェスティックウォリアー,1,0,2,3
all,Gleneagles,1,0,1,1
all,Into Mischief,1,0,1,1
all,ディープブリランテ,1,0,1,10
all,バゴ,1,0,1,10
all,マツリダゴッホ,1,0,1,3
all,ロージズインメイ,1,0,1,5
all,Dubawi,1,0,0,0
all,シンボリクリスエス,1,0,0,2
all,トゥザワールド,1,0,0,6
all,フォーウィールドライブ,1,0,0,0
all,ワールドエース,1,0,0,10
all,コントレイル,0,3,0,1
