クラス,血統,1着,2着,3着,着外
all,ディーマジェスティ,1,0,0,0
all,リアルインパクト,1,0,0,0
all,ディスクリートキャット,0,1,1,0
all,クリーンエコロジー,0,1,0,0
all,シニスターミニスター,0,0,1,0
all,Carpe Diem,0,0,0,1
all,Malibu Moon,0,0,0,1
all,アメリカンペイトリオット,0,0,0,1
all,キャプテントゥーレ,0,0,0,1
all,サウスヴィグラス,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,バンブーエール,0,0,0,1
all,フリオーソ,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,マツリダゴッホ,0,0,0,3
all,ミュゼスルタン,0,0,0,1
all,メイショウボーラー,0,0,0,2
1勝クラス,リアルインパクト,1,0,0,0
1勝クラス,クリーンエコロジー,0,1,0,0
1勝クラス,シニスターミニスター,0,0,1,0
1勝クラス,Carpe Diem,0,0,0,1
1勝クラス,Malibu Moon,0,0,0,1
1勝クラス,キャプテントゥーレ,0,0,0,1
1勝クラス,サウスヴィグラス,0,0,0,1
1勝クラス,スウェプトオーヴァーボード,0,0,0,1
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,ノヴェリスト,0,0,0,1
1勝クラス,ヘニーヒューズ,0,0,0,1
1勝クラス,マツリダゴッホ,0,0,0,1
未勝利,ディーマジェスティ,1,0,0,0
未勝利,ディスクリートキャット,0,1,1,0
未勝利,アメリカンペイトリオット,0,0,0,1
未勝利,バンブーエール,0,0,0,1
未勝利,フリオーソ,0,0,0,1
未勝利,マジェスティックウォリアー,0,0,0,1
未勝利,マツリダゴッホ,0,0,0,2
未勝利,ミュゼスルタン,0,0,0,1
未勝利,メイショウボーラー,0,0,0,2
