クラス,血統,1着,2着,3着,着外
all,ロードカナロア,1,0,0,0
all,Nyquist,0,1,0,0
all,フォーウィールドライブ,0,0,1,0
all,アルアイン,0,0,0,1
all,ゴールドドリーム,0,0,0,1
all,サトノクラウン,0,0,0,1
all,シルバーステート,0,0,0,1
all,タワーオブロンドン,0,0,0,1
all,ディスクリートキャット,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,ブルドッグボス,0,0,0,1
all,ミッキーアイル,0,0,0,1
未勝利,ロードカナロア,1,0,0,0
未勝利,Nyquist,0,1,0,0
未勝利,フォーウィールドライブ,0,0,1,0
未勝利,アルアイン,0,0,0,1
未勝利,ゴールドドリーム,0,0,0,1
未勝利,サトノクラウン,0,0,0,1
未勝利,シルバーステート,0,0,0,1
未勝利,タワーオブロンドン,0,0,0,1
未勝利,ディスクリートキャット,0,0,0,1
未勝利,ビッグアーサー,0,0,0,1
未勝利,ブルドッグボス,0,0,0,1
未勝利,ミッキーアイル,0,0,0,1
