クラス,血統,1着,2着,3着,着外
all,ゴールドアリュール,1,0,0,0
all,アドマイヤムーン,0,1,0,0
all,コンデュイット,0,0,1,0
all,エイシンフラッシュ,0,0,0,1
all,カンパニー,0,0,0,1
all,クロフネ,0,0,0,2
all,ステイゴールド,0,0,0,1
all,タートルボウル,0,0,0,1
all,ハーツクライ,0,0,0,1
all,ファスリエフ,0,0,0,1
all,ブラックタキシード,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,マーベラスサンデー,0,0,0,1
オープン,ゴールドアリュール,1,0,0,0
オープン,アドマイヤムーン,0,1,0,0
オープン,コンデュイット,0,0,1,0
オープン,エイシンフラッシュ,0,0,0,1
オープン,カンパニー,0,0,0,1
オープン,クロフネ,0,0,0,2
オープン,ステイゴールド,0,0,0,1
オープン,タートルボウル,0,0,0,1
オープン,ハーツクライ,0,0,0,1
オープン,ファスリエフ,0,0,0,1
オープン,ブラックタキシード,0,0,0,1
オープン,マツリダゴッホ,0,0,0,1
オープン,マーベラスサンデー,0,0,0,1
