クラス,血統,1着,2着,3着,着外
all,オルフェーヴル,1,0,0,1
all,モーリス,0,1,0,1
all,トーセンホマレボシ,0,0,1,0
all,American Pharoah,0,0,0,1
all,タニノギムレット,0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,ハーツクライ,0,0,0,1
all,フリオーソ,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,モンテロッソ,0,0,0,1
all,ラブリーデイ,0,0,0,2
all,ロージズインメイ,0,0,0,1
未勝利,オルフェーヴル,1,0,0,1
未勝利,モーリス,0,1,0,1
未勝利,トーセンホマレボシ,0,0,1,0
未勝利,American Pharoah,0,0,0,1
未勝利,タニノギムレット,0,0,0,1
未勝利,トーセンジョーダン,0,0,0,1
未勝利,ハーツクライ,0,0,0,1
未勝利,フリオーソ,0,0,0,1
未勝利,ヘニーヒューズ,0,0,0,1
未勝利,モンテロッソ,0,0,0,1
未勝利,ラブリーデイ,0,0,0,2
未勝利,ロージズインメイ,0,0,0,1
