クラス,血統,1着,2着,3着,着外
all,ゴールドシップ,2,0,0,2
all,ディープインパクト,2,0,0,4
all,ロードカナロア,1,1,0,0
all,アグネスデジタル,1,0,0,0
all,キングズベスト,1,0,0,0
all,スクリーンヒーロー,1,0,0,0
all,クロフネ,0,1,0,1
all,ゼンノロブロイ,0,1,0,0
all,ダンカーク,0,1,0,0
all,ドゥラメンテ,0,1,0,1
all,ブラックタイド,0,1,0,3
all,メイショウサムソン,0,1,0,0
all,モーリス,0,1,0,0
all,エイシンフラッシュ,0,0,1,5
all,エピファネイア,0,0,1,7
all,オルフェーヴル,0,0,1,2
all,カレンブラックヒル,0,0,1,0
all,ダイワメジャー,0,0,1,4
all,ハーツクライ,0,0,1,2
all,リアルスティール,0,0,1,1
all,ヴィクトワールピサ,0,0,1,6
all,アドマイヤムーン,0,0,0,1
all,アルデバラン,0,0,0,1
all,エイシンヒカリ,0,0,0,2
all,キズナ,0,0,0,1
all,キングヘイロー,0,0,0,1
all,クリストワイニング,0,0,0,0
all,ケープブランコ,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,ジャングルポケット,0,0,0,1
all,ステイゴールド,0,0,0,1
all,ストロングリターン,0,0,0,1
all,タートルボウル,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,ダノンバラード,0,0,0,1
all,ディープブリランテ,0,0,0,2
all,トゥザワールド,0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,トーセンホマレボシ,0,0,0,1
all,トーセンラー,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,ハービンジャー,0,0,0,3
all,バンデ,0,0,0,1
all,フェノーメノ,0,0,0,1
all,ベーカバド,0,0,0,1
all,ペルーサ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リオンディーズ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ルーラーシップ,0,0,0,3
all,ローエングリン,0,0,0,2
all,ローズキングダム,0,0,0,1
all,ワークフォース,0,0,0,1
all,ワールドエース,0,0,0,3
未勝利,ゴールドシップ,1,0,0,1
未勝利,スクリーンヒーロー,1,0,0,0
未勝利,ゼンノロブロイ,0,1,0,0
未勝利,モーリス,0,1,0,0
未勝利,エピファネイア,0,0,1,3
未勝利,ダイワメジャー,0,0,1,0
未勝利,アルデバラン,0,0,0,1
未勝利,キングヘイロー,0,0,0,1
未勝利,タートルボウル,0,0,0,1
未勝利,ダノンシャンティ,0,0,0,1
未勝利,トゥザワールド,0,0,0,1
未勝利,トーセンジョーダン,0,0,0,1
未勝利,トーセンホマレボシ,0,0,0,1
未勝利,バンデ,0,0,0,1
未勝利,フェノーメノ,0,0,0,1
未勝利,ブラックタイド,0,0,0,1
未勝利,ペルーサ,0,0,0,1
未勝利,マジェスティックウォリアー,0,0,0,1
未勝利,ローエングリン,0,0,0,1
未勝利,ワールドエース,0,0,0,2
未勝利,ヴィクトワールピサ,0,0,0,1
新馬,ゴールドシップ,1,0,0,0
新馬,ディープインパクト,1,0,0,0
新馬,ドゥラメンテ,0,1,0,1
新馬,ロードカナロア,0,1,0,0
新馬,エイシンフラッシュ,0,0,1,3
新馬,リアルスティール,0,0,1,1
新馬,エイシンヒカリ,0,0,0,2
新馬,エピファネイア,0,0,0,4
新馬,キズナ,0,0,0,1
新馬,ストロングリターン,0,0,0,1
新馬,ダイワメジャー,0,0,0,1
新馬,ダノンバラード,0,0,0,1
新馬,トーセンラー,0,0,0,1
新馬,ブラックタイド,0,0,0,1
新馬,ラブリーデイ,0,0,0,1
新馬,リオンディーズ,0,0,0,1
新馬,リーチザクラウン,0,0,0,1
新馬,ルーラーシップ,0,0,0,1
新馬,ワールドエース,0,0,0,1
新馬,ヴィクトワールピサ,0,0,0,1
1勝クラス,アグネスデジタル,1,0,0,0
1勝クラス,ディープインパクト,1,0,0,3
1勝クラス,ロードカナロア,1,0,0,0
1勝クラス,ダンカーク,0,1,0,0
1勝クラス,ブラックタイド,0,1,0,1
1勝クラス,メイショウサムソン,0,1,0,0
1勝クラス,カレンブラックヒル,0,0,1,0
1勝クラス,ハーツクライ,0,0,1,2
1勝クラス,ヴィクトワールピサ,0,0,1,4
1勝クラス,エイシンフラッシュ,0,0,0,2
1勝クラス,オルフェーヴル,0,0,0,1
