クラス,血統,1着,2着,3着,着外
all,ステイゴールド,2,1,0,0
all,ディープインパクト,1,0,0,2
all,キングカメハメハ,0,1,1,2
all,ノヴェリスト,0,1,0,0
all,キズナ,0,0,1,1
all,ジャスタウェイ,0,0,1,1
all,Authorized,0,0,0,1
all,Pioneerof the Nile,0,0,0,0
all,アイルハヴアナザー,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,ゴールドシップ,0,0,0,2
all,サウスヴィグラス,0,0,0,1
all,シングンオペラ,0,0,0,1
all,シンボリクリスエス,0,0,0,2
all,ジャングルポケット,0,0,0,1
all,ジークエンブレム,0,0,0,1
all,タートルボウル,0,0,0,0
all,ハーツクライ,0,0,0,2
all,バゴ,0,0,0,1
all,フェノーメノ,0,0,0,1
all,メイショウサムソン,0,0,0,1
all,メイショウボーラー,0,0,0,1
all,リオンディーズ,0,0,0,1
オープン,ステイゴールド,2,1,0,0
オープン,ディープインパクト,1,0,0,2
オープン,キングカメハメハ,0,1,1,2
オープン,ノヴェリスト,0,1,0,0
オープン,キズナ,0,0,1,1
オープン,ジャスタウェイ,0,0,1,1
オープン,Authorized,0,0,0,1
オープン,Pioneerof the Nile,0,0,0,0
オープン,アイルハヴアナザー,0,0,0,1
オープン,エイシンフラッシュ,0,0,0,1
オープン,オルフェーヴル,0,0,0,1
オープン,キンシャサノキセキ,0,0,0,1
オープン,ゴールドアリュール,0,0,0,1
オープン,ゴールドシップ,0,0,0,2
オープン,サウスヴィグラス,0,0,0,1
オープン,シングンオペラ,0,0,0,1
オープン,シンボリクリスエス,0,0,0,2
オープン,ジャングルポケット,0,0,0,1
オープン,ジークエンブレム,0,0,0,1
オープン,タートルボウル,0,0,0,0
オープン,ハーツクライ,0,0,0,2
オープン,バゴ,0,0,0,1
オープン,フェノーメノ,0,0,0,1
オープン,メイショウサムソン,0,0,0,1
オープン,メイショウボーラー,0,0,0,1
オープン,リオンディーズ,0,0,0,1
