クラス,血統,1着,2着,3着,着外
all,アドマイヤムーン,1,2,0,1
all,ネオユニヴァース,1,0,1,2
all,オルフェーヴル,1,0,0,1
all,クロフネ,1,0,0,4
all,ゴールドアリュール,1,0,0,0
all,サクラプレジデント,1,0,0,0
all,タニノギムレット,1,0,0,0
all,ディープインパクト,1,0,0,2
all,マンハッタンカフェ,1,0,0,2
all,ハーツクライ,0,2,0,2
all,ノヴェリスト,0,1,1,2
all,エイシンフラッシュ,0,1,0,2
all,ダイワメジャー,0,1,0,2
all,ハービンジャー,0,1,0,3
all,ローズキングダム,0,1,0,0
all,コンデュイット,0,0,1,0
all,サウンドボルケーノ,0,0,1,1
all,ステイゴールド,0,0,1,3
all,バゴ,0,0,1,2
all,マツリダゴッホ,0,0,1,5
all,ルーラーシップ,0,0,1,4
all,ロージズインメイ,0,0,1,1
all,Dawn Approach,0,0,0,1
all,Justin Phillip,0,0,0,0
all,Take Charge Indy,0,0,0,1
all,アイルハヴアナザー,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アッミラーレ,0,0,0,2
all,アメリカンボス,0,0,0,1
all,カネヒキリ,0,0,0,1
all,キングカメハメハ,0,0,0,1
all,キングヘイロー,0,0,0,3
all,キンシャサノキセキ,0,0,0,1
all,ケイムホーム,0,0,0,1
all,ゴールドシップ,0,0,0,1
all,サウスヴィグラス,0,0,0,1
all,サムライハート,0,0,0,1
all,シビルウォー,0,0,0,1
all,シングンオペラ,0,0,0,1
all,ジャスタウェイ,0,0,0,2
all,ジャングルポケット,0,0,0,2
all,ジークエンブレム,0,0,0,1
all,スターリングローズ,0,0,0,1
all,ストリートセンス,0,0,0,1
all,スペシャルウィーク,0,0,0,1
all,ゼンノロブロイ,0,0,0,0
all,タイキシャトル,0,0,0,1
all,タイムパラドックス,0,0,0,2
all,タートルボウル,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,テイエムオペラオー,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,トランセンド,0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,フェノーメノ,0,0,0,1
all,フリオーソ,0,0,0,2
all,ヘニーヒューズ,0,0,0,1
all,ベルシャザール,0,0,0,1
all,ベーカバド,0,0,0,2
all,マーベラスサンデー,0,0,0,1
all,ヨハネスブルグ,0,0,0,1
all,リーチザクラウン,0,0,0,2
all,ロードカナロア,0,0,0,2
all,ヴィクトワールピサ,0,0,0,1
オープン,アドマイヤムーン,1,0,0,0
オープン,ゴールドアリュール,1,0,0,0
オープン,ダイワメジャー,0,1,0,0
オープン,ハーツクライ,0,1,0,1
オープン,ルーラーシップ,0,0,1,2
オープン,ロージズインメイ,0,0,1,1
オープン,Take Charge Indy,0,0,0,1
オープン,アイルハヴアナザー,0,0,0,1
オープン,エイシンフラッシュ,0,0,0,1
オープン,キングカメハメハ,0,0,0,1
オープン,キンシャサノキセキ,0,0,0,1
オープン,ケイムホーム,0,0,0,1
オープン,サムライハート,0,0,0,1
オープン,ジークエンブレム,0,0,0,1
オープン,ステイゴールド,0,0,0,1
オープン,ダノンシャンティ,0,0,0,1
オープン,テイエムオペラオー,0,0,0,1
オープン,トランセンド,0,0,0,1
オープン,ハービンジャー,0,0,0,1
オープン,ベーカバド,0,0,0,1
オープン,マンハッタンカフェ,0,0,0,1
未勝利,ネオユニヴァース,1,0,1,2
未勝利,オルフェーヴル,1,0,0,1
未勝利,クロフネ,1,0,0,4
未勝利,サクラプレジデント,1,0,0,0
未勝利,タニノギムレット,1,0,0,0
未勝利,ディープインパクト,1,0,0,2
未勝利,マンハッタンカフェ,1,0,0,1
未勝利,アドマイヤムーン,0,2,0,1
未勝利,ノヴェリスト,0,1,1,2
未勝利,エイシンフラッシュ,0,1,0,1
未勝利,ハーツクライ,0,1,0,1
未勝利,ハービンジャー,0,1,0,2
未勝利,ローズキングダム,0,1,0,0
未勝利,コンデュイット,0,0,1,0
未勝利,サウンドボルケーノ,0,0,1,1
未勝利,ステイゴールド,0,0,1,2
未勝利,バゴ,0,0,1,2
未勝利,マツリダゴッホ,0,0,1,5
未勝利,Dawn Approach,0,0,0,1
未勝利,Justin Phillip,0,0,0,0
未勝利,アグネスデジタル,0,0,0,1
未勝利,アッミラーレ,0,0,0,2
未勝利,アメリカンボス,0,0,0,1
未勝利,カネヒキリ,0,0,0,1
未勝利,キングヘイロー,0,0,0,3
未勝利,ゴールドシップ,0,0,0,1
未勝利,サウスヴィグラス,0,0,0,1
未勝利,シビルウォー,0,0,0,1
未勝利,シングンオペラ,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,2
未勝利,ジャングルポケット,0,0,0,2
未勝利,スターリングローズ,0,0,0,1
未勝利,ストリートセンス,0,0,0,1
未勝利,スペシャルウィーク,0,0,0,1
未勝利,ゼンノロブロイ,0,0,0,0
未勝利,タイキシャトル,0,0,0,1
未勝利,タイムパラドックス,0,0,0,2
未勝利,タートルボウル,0,0,0,1
未勝利,ダイワメジャー,0,0,0,2
未勝利,ディープブリランテ,0,0,0,1
未勝利,トーセンジョーダン,0,0,0,1
未勝利,フェノーメノ,0,0,0,1
未勝利,フリオーソ,0,0,0,2
未勝利,ヘニーヒューズ,0,0,0,1
未勝利,ベルシャザール,0,0,0,1
未勝利,ベーカバド,0,0,0,1
未勝利,マーベラスサンデー,0,0,0,1
未勝利,ヨハネスブルグ,0,0,0,1
未勝利,リーチザクラウン,0,0,0,2
未勝利,ルーラーシップ,0,0,0,2
未勝利,ロードカナロア,0,0,0,2
未勝利,ヴィクトワールピサ,0,0,0,1
