クラス,血統,1着,2着,3着,着外
all,キズナ,2,1,0,5
all,ヘニーヒューズ,1,2,0,3
all,スクリーンヒーロー,1,1,0,0
all,エイシンヒカリ,1,0,0,0
all,ステイゴールド,1,0,0,0
all,ダイワメジャー,1,0,0,0
all,ドレフォン,1,0,0,1
all,ハーツクライ,1,0,0,5
all,ブラックタイド,1,0,0,1
all,ホッコータルマエ,1,0,0,4
all,マクフィ,1,0,0,1
all,モンテロッソ,1,0,0,1
all,ヨハネスブルグ,1,0,0,0
all,リーチザクラウン,1,0,0,2
all,パイロ,0,2,2,4
all,ルーラーシップ,0,1,1,2
all,オルフェーヴル,0,1,0,3
all,ゴールドアリュール,0,1,0,2
all,ジャスタウェイ,0,1,0,7
all,スウェプトオーヴァーボード,0,1,0,0
all,ストロングリターン,0,1,0,3
all,バゴ,0,1,0,2
all,メイショウボーラー,0,1,0,2
all,ロージズインメイ,0,1,0,0
all,Candy Ride,0,0,1,0
all,Distorted Humor,0,0,1,0
all,Le Havre,0,0,1,0
all,キングカメハメハ,0,0,1,4
all,キングズベスト,0,0,1,1
all,トゥザグローリー,0,0,1,2
all,トビーズコーナー,0,0,1,1
all,プリサイスエンド,0,0,1,0
all,モーリス,0,0,1,2
all,ラブリーデイ,0,0,1,2
all,ワンアンドオンリー,0,0,1,0
all,ヴァンセンヌ,0,0,1,1
all,Air Force Blue,0,0,0,1
all,Dubawi,0,0,0,1
all,Rio de La Plata,0,0,0,1
all,Tapit,0,0,0,1
all,アイルハヴアナザー,0,0,0,5
all,アジアエクスプレス,0,0,0,3
all,アメリカンペイトリオット,0,0,0,1
all,エイシンフラッシュ,0,0,0,2
all,エスケンデレヤ,0,0,0,3
all,エスポワールシチー,0,0,0,1
all,エピファネイア,0,0,0,2
all,エンパイアメーカー,0,0,0,4
all,オーシャンブルー,0,0,0,1
all,カジノドライヴ,0,0,0,1
all,キンシャサノキセキ,0,0,0,2
all,グランデッツァ,0,0,0,1
all,ケイムホーム,0,0,0,2
all,コパノリッキー,0,0,0,1
all,サウスヴィグラス,0,0,0,1
all,サトノアラジン,0,0,0,1
all,シニスターミニスター,0,0,0,2
all,シルバーステート,0,0,0,1
all,シンボリクリスエス,0,0,0,2
all,ジャングルポケット,0,0,0,2
all,スズカコーズウェイ,0,0,0,1
all,スズカフェニックス,0,0,0,1
all,スピルバーグ,0,0,0,1
all,スマートファルコン,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,タイムパラドックス,0,0,0,2
all,ダノンシャンティ,0,0,0,1
all,ダンカーク,0,0,0,2
all,ディスクリートキャット,0,0,0,2
all,ディープインパクト,0,0,0,2
all,トゥザワールド,0,0,0,1
all,トーセンジョーダン,0,0,0,3
all,ドゥラメンテ,0,0,0,6
all,ドリームバレンチノ,0,0,0,1
all,ニホンピロアワーズ,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,ハービンジャー,0,0,0,1
all,バトルプラン,0,0,0,1
all,フェノーメノ,0,0,0,2
all,フリオーソ,0,0,0,2
all,ベルシャザール,0,0,0,1
all,ベーカバド,0,0,0,1
all,ペルーサ,0,0,0,2
all,マジェスティックウォリアー,0,0,0,2
all,マツリダゴッホ,0,0,0,1
all,ラニ,0,0,0,1
all,リオンディーズ,0,0,0,6
all,ロジユニヴァース,0,0,0,2
all,ロードカナロア,0,0,0,1
all,ワールドエース,0,0,0,3
all,ヴィクトワールピサ,0,0,0,3
1勝クラス,キズナ,1,0,0,3
1勝クラス,モンテロッソ,1,0,0,0
1勝クラス,ヨハネスブルグ,1,0,0,0
1勝クラス,オルフェーヴル,0,1,0,1
1勝クラス,スウェプトオーヴァーボード,0,1,0,0
1勝クラス,ヘニーヒューズ,0,1,0,1
1勝クラス,Le Havre,0,0,1,0
1勝クラス,プリサイスエンド,0,0,1,0
1勝クラス,ヴァンセンヌ,0,0,1,0
1勝クラス,アイルハヴアナザー,0,0,0,2
1勝クラス,エンパイアメーカー,0,0,0,1
1勝クラス,キングカメハメハ,0,0,0,2
1勝クラス,キングズベスト,0,0,0,1
1勝クラス,シニスターミニスター,0,0,0,1
1勝クラス,シンボリクリスエス,0,0,0,1
1勝クラス,ジャスタウェイ,0,0,0,2
1勝クラス,タイムパラドックス,0,0,0,1
1勝クラス,ダンカーク,0,0,0,1
1勝クラス,ディープインパクト,0,0,0,1
1勝クラス,ドゥラメンテ,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,パイロ,0,0,0,1
1勝クラス,ベルシャザール,0,0,0,1
1勝クラス,ベーカバド,0,0,0,1
1勝クラス,ホッコータルマエ,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,1
1勝クラス,ワールドエース,0,0,0,1
1勝クラス,ヴィクトワールピサ,0,0,0,1
2勝クラス,スクリーンヒーロー,1,0,0,0
2勝クラス,ハーツクライ,1,0,0,1
2勝クラス,ゴールドアリュール,0,1,0,2
2勝クラス,ジャスタウェイ,0,1,0,1
2勝クラス,キングカメハメハ,0,0,1,1
2勝クラス,トビーズコーナー,0,0,1,1
2勝クラス,Dubawi,0,0,0,1
2勝クラス,アイルハヴアナザー,0,0,0,1
2勝クラス,エスケンデレヤ,0,0,0,1
2勝クラス,エンパイアメーカー,0,0,0,1
2勝クラス,カジノドライヴ,0,0,0,1
2勝クラス,キズナ,0,0,0,1
2勝クラス,キンシャサノキセキ,0,0,0,1
2勝クラス,ケイムホーム,0,0,0,2
2勝クラス,サウスヴィグラス,0,0,0,1
2勝クラス,ダノンシャンティ,0,0,0,1
2勝クラス,トーセンジョーダン,0,0,0,1
2勝クラス,フリオーソ,0,0,0,1
2勝クラス,マツリダゴッホ,0,0,0,1
2勝クラス,ヴィクトワールピサ,0,0,0,1
3勝クラス,ステイゴールド,1,0,0,0
3勝クラス,スクリーンヒーロー,0,1,0,0
3勝クラス,Distorted Humor,0,0,1,0
3勝クラス,エンパイアメーカー,0,0,0,2
3勝クラス,シニスターミニスター,0,0,0,1
3勝クラス,ジャスタウェイ,0,0,0,1
3勝クラス,スズカコーズウェイ,0,0,0,1
3勝クラス,スズカフェニックス,0,0,0,1
3勝クラス,ストロングリターン,0,0,0,1
3勝クラス,ハーツクライ,0,0,0,1
3勝クラス,フェノーメノ,0,0,0,1
3勝クラス,ヘニーヒューズ,0,0,0,1
3勝クラス,ロジユニヴァース,0,0,0,1
3勝クラス,ヴィクトワールピサ,0,0,0,1
新馬,キズナ,1,0,0,0
新馬,ドレフォン,1,0,0,1
新馬,パイロ,0,1,0,0
新馬,ヘニーヒューズ,0,1,0,1
新馬,Candy Ride,0,0,1,0
新馬,キングズベスト,0,0,1,0
新馬,Rio de La Plata,0,0,0,1
新馬,Tapit,0,0,0,1
新馬,アイルハヴアナザー,0,0,0,1
新馬,アジアエクスプレス,0,0,0,1
新馬,アメリカンペイトリオット,0,0,0,1
新馬,エスケンデレヤ,0,0,0,1
新馬,コパノリッキー,0,0,0,1
新馬,サトノアラジン,0,0,0,1
新馬,ストロングリターン,0,0,0,1
新馬,ディスクリートキャット,0,0,0,1
新馬,ドゥラメンテ,0,0,0,1
新馬,ニホンピロアワーズ,0,0,0,1
新馬,バトルプラン,0,0,0,1
新馬,ホッコータルマエ,0,0,0,1
新馬,メイショウボーラー,0,0,0,1
新馬,ラニ,0,0,0,1
新馬,ロジユニヴァース,0,0,0,1
未勝利,エイシンヒカリ,1,0,0,0
未勝利,ダイワメジャー,1,0,0,0
未勝利,ブラックタイド,1,0,0,1
未勝利,ヘニーヒューズ,1,0,0,0
未勝利,ホッコータルマエ,1,0,0,2
未勝利,マクフィ,1,0,0,1
未勝利,リーチザクラウン,1,0,0,2
未勝利,パイロ,0,1,2,3
未勝利,ルーラーシップ,0,1,1,1
未勝利,キズナ,0,1,0,1
未勝利,ストロングリターン,0,1,0,1
未勝利,バゴ,0,1,0,2
未勝利,メイショウボーラー,0,1,0,1
未勝利,ロージズインメイ,0,1,0,0
未勝利,トゥザグローリー,0,0,1,2
未勝利,モーリス,0,0,1,2
未勝利,ラブリーデイ,0,0,1,2
未勝利,ワンアンドオンリー,0,0,1,0
未勝利,Air Force Blue,0,0,0,1
未勝利,アイルハヴアナザー,0,0,0,1
未勝利,アジアエクスプレス,0,0,0,2
未勝利,エイシンフラッシュ,0,0,0,2
未勝利,エスケンデレヤ,0,0,0,1
未勝利,エスポワールシチー,0,0,0,1
未勝利,エピファネイア,0,0,0,2
未勝利,オルフェーヴル,0,0,0,2
未勝利,オーシャンブルー,0,0,0,1
未勝利,キングカメハメハ,0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,グランデッツァ,0,0,0,1
未勝利,シルバーステート,0,0,0,1
未勝利,シンボリクリスエス,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,3
未勝利,ジャングルポケット,0,0,0,2
未勝利,スピルバーグ,0,0,0,1
未勝利,スマートファルコン,0,0,0,1
未勝利,ゼンノロブロイ,0,0,0,1
未勝利,タイムパラドックス,0,0,0,1
未勝利,ダンカーク,0,0,0,1
未勝利,ディスクリートキャット,0,0,0,1
未勝利,ディープインパクト,0,0,0,1
未勝利,トゥザワールド,0,0,0,1
未勝利,トーセンジョーダン,0,0,0,2
未勝利,ドゥラメンテ,0,0,0,4
未勝利,ドリームバレンチノ,0,0,0,1
未勝利,ノヴェリスト,0,0,0,1
未勝利,ハーツクライ,0,0,0,2
未勝利,ハービンジャー,0,0,0,1
未勝利,フェノーメノ,0,0,0,1
未勝利,フリオーソ,0,0,0,1
未勝利,ペルーサ,0,0,0,2
未勝利,マジェスティックウォリアー,0,0,0,2
未勝利,モンテロッソ,0,0,0,1
未勝利,リオンディーズ,0,0,0,6
