クラス,血統,1着,2着,3着,着外
all,ハービンジャー,1,0,0,1
all,ルーラーシップ,1,0,0,0
all,ハーツクライ,0,1,0,2
all,メイショウサムソン,0,1,0,0
all,ディープインパクト,0,0,1,3
all,トゥザグローリー,0,0,1,0
all,キズナ,0,0,0,1
all,キングカメハメハ,0,0,0,2
all,ゼンノロブロイ,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ブラックタイド,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,ハービンジャー,1,0,0,1
1勝クラス,ルーラーシップ,1,0,0,0
1勝クラス,ハーツクライ,0,1,0,2
1勝クラス,メイショウサムソン,0,1,0,0
1勝クラス,ディープインパクト,0,0,1,3
1勝クラス,トゥザグローリー,0,0,1,0
1勝クラス,キズナ,0,0,0,1
1勝クラス,キングカメハメハ,0,0,0,2
1勝クラス,ゼンノロブロイ,0,0,0,1
1勝クラス,ドゥラメンテ,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,1
1勝クラス,ワールドエース,0,0,0,1
1勝クラス,ヴィクトワールピサ,0,0,0,1
