クラス,血統,1着,2着,3着,着外
all,マジェスティックウォリアー,1,0,0,0
all,エイシンヒカリ,0,1,0,0
all,キズナ,0,0,1,0
all,Tiz the Law,0,0,0,1
all,エポカドーロ,0,0,0,1
all,シニスターミニスター,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,ナダル,0,0,0,1
all,ニューイヤーズデイ,0,0,0,1
all,フィエールマン,0,0,0,1
all,フリオーソ,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,リオンディーズ,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,ワールドエース,0,0,0,1
1勝クラス,マジェスティックウォリアー,1,0,0,0
1勝クラス,エイシンヒカリ,0,1,0,0
1勝クラス,キズナ,0,0,1,0
1勝クラス,Tiz the Law,0,0,0,1
1勝クラス,エポカドーロ,0,0,0,1
1勝クラス,シニスターミニスター,0,0,0,1
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,ナダル,0,0,0,1
1勝クラス,ニューイヤーズデイ,0,0,0,1
1勝クラス,フィエールマン,0,0,0,1
1勝クラス,フリオーソ,0,0,0,1
1勝クラス,ヘニーヒューズ,0,0,0,1
1勝クラス,リオンディーズ,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,1
1勝クラス,ワールドエース,0,0,0,1
