クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ,8,2,4,41
all,ロードカナロア,8,2,3,25
all,サウスヴィグラス,5,5,4,29
all,ゴールドアリュール,4,3,5,38
all,ダンカーク,4,0,1,6
all,キンシャサノキセキ,3,3,3,32
all,タイムパラドックス,3,0,0,20
all,バトルプラン,3,0,0,11
all,パイロ,2,5,5,35
all,シニスターミニスター,2,4,3,19
all,ヴァーミリアン,2,3,0,16
all,キングヘイロー,2,2,2,7
all,ケイムホーム,2,2,1,8
all,ダイワメジャー,2,2,1,19
all,ジャスタウェイ,2,1,1,9
all,ヴィクトワールピサ,2,1,1,13
all,スズカコーズウェイ,2,1,0,7
all,ホワイトマズル,2,1,0,2
all,アドマイヤムーン,2,0,1,9
all,ゼンノロブロイ,2,0,1,8
all,ロージズインメイ,2,0,1,8
all,エスポワールシチー,1,4,1,11
all,ヨハネスブルグ,1,3,0,15
all,トゥザグローリー,1,2,2,8
all,カネヒキリ,1,2,1,19
all,ファスリエフ,1,2,1,4
all,エイシンフラッシュ,1,2,0,16
all,プリサイスエンド,1,1,4,26
all,フレンチデピュティ,1,1,1,2
all,アサクサキングス,1,1,0,2
all,ジャングルポケット,1,1,0,5
all,ステイゴールド,1,1,0,4
all,ブラックタイド,1,1,0,6
all,スタチューオブリバティ,1,0,2,2
all,カジノドライヴ,1,0,1,11
all,キャプテントゥーレ,1,0,1,13
all,ハーツクライ,1,0,1,14
all,リーチザクラウン,1,0,1,6
all,ローレルゲレイロ,1,0,1,4
all,First Samurai,1,0,0,1
all,Malibu Moon,1,0,0,0
all,Mayson,1,0,0,1
all,Speightstown,1,0,0,2
all,Spring At Last,1,0,0,0
all,アグネスデジタル,1,0,0,1
all,アドマイヤオーラ,1,0,0,1
all,ジョーカプチーノ,1,0,0,2
all,スマートファルコン,1,0,0,17
all,ノーザンリバー,1,0,0,1
all,フリオーソ,1,0,0,12
all,ベルシャザール,1,0,0,11
all,ルーラーシップ,1,0,0,7
all,クロフネ,0,7,8,25
all,トランセンド,0,3,1,13
all,ストロングリターン,0,3,0,10
all,ダノンシャンティ,0,1,2,3
all,トビーズコーナー,0,1,2,5
all,Tiznow,0,1,1,1
all,War Front,0,1,1,0
all,エスケンデレヤ,0,1,1,2
all,エンパイアメーカー,0,1,1,22
all,キングカメハメハ,0,1,1,9
all,タートルボウル,0,1,1,13
all,ノボジャック,0,1,1,3
all,マジェスティックウォリアー,0,1,1,5
all,ワークフォース,0,1,1,11
all,Distorted Humor,0,1,0,0
all,Elusive Quality,0,1,0,0
all,Giant's Causeway,0,1,0,1
all,Temple City,0,1,0,0
all,Zoffany,0,1,0,0
all,ディープインパクト,0,1,0,6
all,ディープブリランテ,0,1,0,20
all,トーセンブライト,0,1,0,0
all,ドリームジャーニー,0,1,0,6
all,メイショウボーラー,0,1,0,13
all,リアルインパクト,0,1,0,1
all,ハードスパン,0,0,3,5
all,Bernardini,0,0,1,1
all,Cape Cross,0,0,1,0
all,Into Mischief,0,0,1,1
all,Pioneerof the Nile,0,0,1,2
all,Violence,0,0,1,0
all,アイルハヴアナザー,0,0,1,17
all,アポロキングダム,0,0,1,9
all,アンライバルド,0,0,1,4
all,エピファネイア,0,0,1,2
all,カレンブラックヒル,0,0,1,0
all,ネオユニヴァース,0,0,1,22
all,フサイチセブン,0,0,1,0
all,マンハッタンカフェ,0,0,1,7
all,ロジユニヴァース,0,0,1,2
all,ワールドエース,0,0,1,2
all,Arakan,0,0,0,1
all,Archarcharch,0,0,0,2
all,Cairo Prince,0,0,0,1
all,Casamento,0,0,0,2
all,Congrats,0,0,0,1
all,Constitution,0,0,0,1
all,Creative Cause,0,0,0,1
all,Desert Party,0,0,0,1
all,Exchange Rate,0,0,0,1
all,Flatter,0,0,0,1
all,Fusaichi Pegasus,0,0,0,1
all,Harlan's Holiday,0,0,0,2
all,Le Havre,0,0,0,1
all,Leroidesanimaux,0,0,0,1
all,Macho Uno,0,0,0,3
all,Oasis Dream,0,0,0,2
all,Overanalyze,0,0,0,1
all,Raven's Pass,0,0,0,0
all,Roman Ruler,0,0,0,1
all,Scat Daddy,0,0,0,1
all,Sea The Moon,0,0,0,1
all,Siyouni,0,0,0,1
all,Street Cry,0,0,0,1
all,Tale of the Cat,0,0,0,2
all,Tapizar,0,0,0,1
all,Unbridled's Song,0,0,0,1
all,Uncle Mo,0,0,0,1
all,Warrior's Reward,0,0,0,1
all,アサクサデンエン,0,0,0,1
all,アッミラーレ,0,0,0,2
all,アドマイヤマックス,0,0,0,3
all,アルデバラン,0,0,0,4
all,ウォーエンブレム,0,0,0,1
all,エイシンアポロン,0,0,0,1
all,オウケンブルースリ,0,0,0,2
all,オリオンザサンクス,0,0,0,4
all,オルフェーヴル,0,0,0,13
all,オレハマッテルゼ,0,0,0,4
all,カフェラピード,0,0,0,2
all,カリズマティック,0,0,0,2
all,キズナ,0,0,0,1
all,キモンノカシワ,0,0,0,1
all,キャプテンスティーヴ,0,0,0,1
all,キングズベスト,0,0,0,9
all,クリストワイニング,0,0,0,2
all,グラスワンダー,0,0,0,5
all,グランプリボス,0,0,0,15
all,ケープブランコ,0,0,0,4
all,コパノリチャード,0,0,0,1
all,ゴールドシップ,0,0,0,1
all,ゴールドヘイロー,0,0,0,1
all,サクラオリオン,0,0,0,1
all,サクラバクシンオー,0,0,0,1
all,サクラプレジデント,0,0,0,2
all,サマーバード,0,0,0,1
all,サムライハート,0,0,0,2
all,サンカルロ,0,0,0,1
all,シビルウォー,0,0,0,1
all,ショウナンカンプ,0,0,0,5
all,シンボリクリスエス,0,0,0,14
all,スウィフトカレント,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,9
all,スクリーンヒーロー,0,0,0,8
all,スクワートルスクワート,0,0,0,1
all,スズカフェニックス,0,0,0,6
all,スズカマンボ,0,0,0,1
all,スターリングローズ,0,0,0,4
all,ストリートセンス,0,0,0,3
all,ストーミングホーム,0,0,0,2
all,スパイキュール,0,0,0,1
all,スピルバーグ,0,0,0,1
all,スペシャルウィーク,0,0,0,1
all,スマイルジャック,0,0,0,1
all,スマートボーイ,0,0,0,3
all,ソングオブウインド,0,0,0,1
all,タイキシャトル,0,0,0,8
all,タニノギムレット,0,0,0,3
all,ダンスインザダーク,0,0,0,1
all,チェリークラウン,0,0,0,3
all,チチカステナンゴ,0,0,0,1
all,テイエムオペラオー,0,0,0,1
all,ディープスカイ,0,0,0,4
all,デクラレーションオブウォー,0,0,0,1
all,デュランダル,0,0,0,1
all,トゥザワールド,0,0,0,2
all,トーセンジョーダン,0,0,0,8
all,トーセンファントム,0,0,0,1
all,トーセンホマレボシ,0,0,0,13
all,トーセンモナーク,0,0,0,1
all,トーセンラー,0,0,0,2
all,ナカヤマフェスタ,0,0,0,13
all,ノヴェリスト,0,0,0,11
all,ハイアーゲーム,0,0,0,1
all,ハービンジャー,0,0,0,3
all,バゴ,0,0,0,3
all,バランスオブゲーム,0,0,0,1
all,バンブーエール,0,0,0,2
all,バーディバーディ,0,0,0,1
all,パドトロワ,0,0,0,3
all,ファルブラヴ,0,0,0,3
all,フェノーメノ,0,0,0,3
all,フォーティナイナーズサン,0,0,0,2
all,フサイチリシャール,0,0,0,1
all,フジキセキ,0,0,0,4
all,ベーカバド,0,0,0,2
all,マイネルラヴ,0,0,0,1
all,マジンプロスパー,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,ミリオンディスク,0,0,0,1
all,メイショウサムソン,0,0,0,7
all,モンテロッソ,0,0,0,6
all,ヤマニンセラフィム,0,0,0,1
all,レッドスパーダ,0,0,0,2
all,ローエングリン,0,0,0,8
all,ローズキングダム,0,0,0,5
all,ロードアルティマ,0,0,0,1
all,ワイルドラッシュ,0,0,0,1
1勝クラス,パイロ,2,2,0,3
1勝クラス,ゴールドアリュール,2,1,0,1
1勝クラス,ヘニーヒューズ,2,1,0,6
1勝クラス,ダンカーク,2,0,0,1
1勝クラス,エスポワールシチー,1,1,0,2
1勝クラス,キングヘイロー,1,0,1,0
1勝クラス,トゥザグローリー,1,0,1,0
