クラス,血統,1着,2着,3着,着外
all,ディープインパクト,7,11,9,38
all,ハーツクライ,5,6,4,29
all,キングカメハメハ,4,3,0,8
all,キズナ,4,0,0,7
all,モーリス,3,0,3,11
all,ハービンジャー,2,3,2,18
all,ルーラーシップ,2,1,3,13
all,エピファネイア,2,1,2,11
all,ドゥラメンテ,2,0,0,17
all,ゴールドシップ,1,2,3,17
all,ロードカナロア,1,2,3,10
all,ジャングルポケット,1,1,0,2
all,スクリーンヒーロー,1,1,0,7
all,ワールドエース,1,1,0,2
all,ヴァンセンヌ,1,0,1,3
all,エイシンフラッシュ,1,0,0,12
all,カレンブラックヒル,1,0,0,2
all,トーセンラー,1,0,0,5
all,マンハッタンカフェ,1,0,0,0
all,ロージズインメイ,1,0,0,2
all,ディスクリートキャット,0,2,1,0
all,オルフェーヴル,0,1,1,14
all,キタサンブラック,0,1,0,4
all,シルバーステート,0,1,0,1
all,ダイワメジャー,0,1,0,3
all,ドレフォン,0,1,0,1
all,ニホンピロアワーズ,0,1,0,0
all,リーチザクラウン,0,1,0,0
all,ローズキングダム,0,1,0,3
all,ジョーカプチーノ,0,0,2,1
all,ブラックタイド,0,0,2,4
all,イスラボニータ,0,0,1,0
all,サムライハート,0,0,1,1
all,スピルバーグ,0,0,1,3
all,フェノーメノ,0,0,1,4
all,ベーカバド,0,0,1,1
all,マクフィ,0,0,1,2
all,Frankel,0,0,0,1
all,Golden Horn,0,0,0,1
all,Holy Roman Emperor,0,0,0,1
all,Orb,0,0,0,1
all,Teofilo,0,0,0,1
all,アイルハヴアナザー,0,0,0,2
all,アーネストリー,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エスケンデレヤ,0,0,0,1
all,エスポワールシチー,0,0,0,1
all,オウケンブルースリ,0,0,0,2
all,クリエイター,0,0,0,2
all,クロフネ,0,0,0,3
all,グラスワンダー,0,0,0,3
all,グランプリボス,0,0,0,1
all,ケープブランコ,0,0,0,0
all,コパノリッキー,0,0,0,1
all,コンデュイット,0,0,0,1
all,サトノアラジン,0,0,0,1
all,ザファクター,0,0,0,1
all,ジャスタウェイ,0,0,0,9
all,スズカマンボ,0,0,0,1
all,ステイゴールド,0,0,0,4
all,ストリートセンス,0,0,0,2
all,ストロングリターン,0,0,0,2
all,ゼンノロブロイ,0,0,0,4
all,タイムパラドックス,0,0,0,1
all,タートルボウル,0,0,0,2
all,ダノンシャンティ,0,0,0,1
all,ダノンレジェンド,0,0,0,1
all,ダンカーク,0,0,0,5
all,ダンスインザダーク,0,0,0,1
all,ディープブリランテ,0,0,0,3
all,トゥザグローリー,0,0,0,3
all,トーセンレーヴ,0,0,0,1
all,トーホウジャッカル,0,0,0,1
all,ドリームジャーニー,0,0,0,3
all,ナカヤマフェスタ,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,ノヴェリスト,0,0,0,8
all,バゴ,0,0,0,1
all,ヒルノダムール,0,0,0,3
all,プリサイスエンド,0,0,0,2
all,マジェスティックウォリアー,0,0,0,1
all,マツリダゴッホ,0,0,0,6
all,モンテロッソ,0,0,0,2
all,ラブリーデイ,0,0,0,7
all,リオンディーズ,0,0,0,2
all,レッドスパーダ,0,0,0,1
all,ローエングリン,0,0,0,4
all,ワークフォース,0,0,0,2
all,ヴァーミリアン,0,0,0,1
all,ヴィクトワールピサ,0,0,0,4
1勝クラス,ハーツクライ,1,2,2,3
