クラス,血統,1着,2着,3着,着外
all,アドマイヤムーン,1,1,1,1
all,ヘニーヒューズ,1,0,0,0
all,ロードカナロア,1,0,0,0
all,ミッキーアイル,0,1,1,0
all,ドゥラメンテ,0,1,0,1
all,タイムパラドックス,0,0,1,1
all,No Nay Never,0,0,0,1
all,Speightstown,0,0,0,1
all,アーネストリー,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,カレンブラックヒル,0,0,0,1
all,キングカメハメハ,0,0,0,1
all,キンシャサノキセキ,0,0,0,2
all,コパノリッキー,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,サウスヴィグラス,0,0,0,2
all,シニスターミニスター,0,0,0,2
all,シルバーステート,0,0,0,2
all,ストロングリターン,0,0,0,2
all,ダンカーク,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トビーズコーナー,0,0,0,2
all,ノヴェリスト,0,0,0,1
all,バゴ,0,0,0,1
all,パドトロワ,0,0,0,1
all,ホッコータルマエ,0,0,0,1
all,ミキノバンジョー,0,0,0,2
all,メイショウボーラー,0,0,0,1
all,モーリス,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,ロージズインメイ,0,0,0,2
all,ワールドエース,0,0,0,1
2勝クラス,ヘニーヒューズ,1,0,0,0
2勝クラス,ミッキーアイル,0,1,0,0
2勝クラス,アドマイヤムーン,0,0,1,0
2勝クラス,アーネストリー,0,0,0,1
2勝クラス,エイシンフラッシュ,0,0,0,1
2勝クラス,カレンブラックヒル,0,0,0,1
2勝クラス,キンシャサノキセキ,0,0,0,1
2勝クラス,ゴールドアリュール,0,0,0,1
2勝クラス,サウスヴィグラス,0,0,0,2
2勝クラス,ストロングリターン,0,0,0,1
2勝クラス,ダンカーク,0,0,0,1
2勝クラス,ノヴェリスト,0,0,0,1
2勝クラス,メイショウボーラー,0,0,0,1
2勝クラス,モーリス,0,0,0,1
2勝クラス,ワールドエース,0,0,0,1
未勝利,アドマイヤムーン,1,1,0,1
未勝利,ロードカナロア,1,0,0,0
未勝利,ドゥラメンテ,0,1,0,1
未勝利,タイムパラドックス,0,0,1,1
未勝利,ミッキーアイル,0,0,1,0
未勝利,No Nay Never,0,0,0,1
未勝利,Speightstown,0,0,0,1
未勝利,キングカメハメハ,0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,コパノリッキー,0,0,0,1
未勝利,シニスターミニスター,0,0,0,2
未勝利,シルバーステート,0,0,0,2
未勝利,ストロングリターン,0,0,0,1
未勝利,トゥザワールド,0,0,0,1
未勝利,トビーズコーナー,0,0,0,2
未勝利,バゴ,0,0,0,1
未勝利,パドトロワ,0,0,0,1
未勝利,ホッコータルマエ,0,0,0,1
未勝利,ミキノバンジョー,0,0,0,2
未勝利,ラブリーデイ,0,0,0,1
未勝利,ロージズインメイ,0,0,0,2
