クラス,血統,1着,2着,3着,着外
all,イスラボニータ,1,0,0,1
all,ハーツクライ,1,0,0,0
all,リオンディーズ,1,0,0,0
all,ダイワメジャー,0,1,0,0
all,ダノンバラード,0,1,0,0
all,ドゥラメンテ,0,1,0,0
all,ニューイヤーズデイ,0,0,1,0
all,ネロ,0,0,1,0
all,ワールドエース,0,0,1,0
all,アドマイヤムーン,0,0,0,2
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エピファネイア,0,0,0,2
all,キンシャサノキセキ,0,0,0,1
all,ショウナンバッハ,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ディスクリートキャット,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,トゥザグローリー,0,0,0,1
all,トーセンラー,0,0,0,1
all,ドレフォン,0,0,0,1
all,ハービンジャー,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,ブリックスアンドモルタル,0,0,0,1
all,マインドユアビスケッツ,0,0,0,1
all,ミキノバンジョー,0,0,0,1
all,モーリス,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リアルインパクト,0,0,0,1
all,レッドファルクス,0,0,0,1
all,ロードカナロア,0,0,0,3
all,ヴァンセンヌ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,ハーツクライ,1,0,0,0
1勝クラス,ダノンバラード,0,1,0,0
1勝クラス,ネロ,0,0,1,0
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,イスラボニータ,0,0,0,1
1勝クラス,エピファネイア,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,ディスクリートキャット,0,0,0,1
1勝クラス,ドレフォン,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,1
1勝クラス,ビッグアーサー,0,0,0,1
1勝クラス,モーリス,0,0,0,1
1勝クラス,レッドファルクス,0,0,0,1
1勝クラス,ロードカナロア,0,0,0,3
2勝クラス,イスラボニータ,1,0,0,0
2勝クラス,ドゥラメンテ,0,1,0,0
2勝クラス,ワールドエース,0,0,1,0
2勝クラス,エイシンヒカリ,0,0,0,1
2勝クラス,スクリーンヒーロー,0,0,0,1
2勝クラス,ディープブリランテ,0,0,0,1
2勝クラス,トゥザグローリー,0,0,0,1
2勝クラス,ミキノバンジョー,0,0,0,1
2勝クラス,ヴァンセンヌ,0,0,0,1
2勝クラス,ヴィクトワールピサ,0,0,0,1
未勝利,リオンディーズ,1,0,0,0
未勝利,ダイワメジャー,0,1,0,0
未勝利,ニューイヤーズデイ,0,0,1,0
未勝利,アドマイヤムーン,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,1
未勝利,エピファネイア,0,0,0,1
未勝利,ショウナンバッハ,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ブリックスアンドモルタル,0,0,0,1
未勝利,マインドユアビスケッツ,0,0,0,1
未勝利,ラブリーデイ,0,0,0,1
未勝利,リアルインパクト,0,0,0,1
