クラス,血統,1着,2着,3着,着外
all,キズナ,1,0,0,0
all,ドゥラメンテ,0,1,0,1
all,Study of Man,0,0,1,0
all,イスラボニータ,0,0,0,1
all,エピファネイア,0,0,0,1
all,サトノダイヤモンド,0,0,0,1
all,スワーヴリチャード,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ダノンバラード,0,0,0,1
all,ハービンジャー,0,0,0,1
all,ブリックスアンドモルタル,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リヤンドファミユ,0,0,0,1
all,ロゴタイプ,0,0,0,1
all,ロジャーバローズ,0,0,0,1
all,ワールドエース,0,0,0,1
未勝利,キズナ,1,0,0,0
未勝利,ドゥラメンテ,0,1,0,1
未勝利,Study of Man,0,0,1,0
未勝利,イスラボニータ,0,0,0,1
未勝利,エピファネイア,0,0,0,1
未勝利,サトノダイヤモンド,0,0,0,1
未勝利,スワーヴリチャード,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,ダノンバラード,0,0,0,1
未勝利,ハービンジャー,0,0,0,1
未勝利,ブリックスアンドモルタル,0,0,0,1
未勝利,ラブリーデイ,0,0,0,1
未勝利,リヤンドファミユ,0,0,0,1
未勝利,ロゴタイプ,0,0,0,1
未勝利,ロジャーバローズ,0,0,0,1
未勝利,ワールドエース,0,0,0,1
