クラス,血統,1着,2着,3着,着外
all,サムライハート,1,0,1,0
all,ジャングルポケット,1,0,1,0
all,Point of Entry,1,0,0,1
all,ゴーカイ,1,0,0,0
all,タニノギムレット,1,0,0,0
all,ネオユニヴァース,1,0,0,2
all,マンハッタンカフェ,1,0,0,2
all,メイショウボーラー,1,0,0,0
all,エイシンフラッシュ,0,1,2,0
all,オペラハウス,0,1,0,0
all,ステイゴールド,0,1,0,0
all,ゼンノロブロイ,0,1,0,0
all,ディープスカイ,0,1,0,2
all,ディープブリランテ,0,1,0,0
all,ローズキングダム,0,1,0,0
all,ワンダースピード,0,1,0,1
all,ブラックタイド,0,0,1,3
all,モンテロッソ,0,0,1,1
all,リーチザクラウン,0,0,1,2
all,ルーラーシップ,0,0,1,0
all,Kitten's Joy,0,0,0,1
all,Munnings,0,0,0,1
all,Take Charge Indy,0,0,0,2
all,Uncle Mo,0,0,0,1
all,アッミラーレ,0,0,0,1
all,アポロキングダム,0,0,0,1
all,オレハマッテルゼ,0,0,0,1
all,カジノドライヴ,0,0,0,1
all,カネヒキリ,0,0,0,1
all,カリズマティック,0,0,0,1
all,キングカメハメハ,0,0,0,3
all,キングズベスト,0,0,0,3
all,キングヘイロー,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,ケイムホーム,0,0,0,2
all,コンデュイット,0,0,0,0
all,ゴールドアリュール,0,0,0,2
all,サウスヴィグラス,0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,スクリーンヒーロー,0,0,0,2
all,スズカマンボ,0,0,0,1
all,ストロングリターン,0,0,0,1
all,タイキシャトル,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,ダノンシャンティ,0,0,0,2
all,ダンスインザダーク,0,0,0,1
all,ディープインパクト,0,0,0,1
all,ハーツクライ,0,0,0,1
all,フリオーソ,0,0,0,1
all,プリサイスエンド,0,0,0,1
all,ヘニーヒューズ,0,0,0,2
all,ベルシャザール,0,0,0,1
all,ホワイトマズル,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,マーベラスサンデー,0,0,0,4
all,メイショウサムソン,0,0,0,1
all,ヨハネスブルグ,0,0,0,1
all,ローエングリン,0,0,0,2
all,ロージズインメイ,0,0,0,0
all,ワークフォース,0,0,0,1
all,ヴァーミリアン,0,0,0,3
未勝利,サムライハート,1,0,1,0
未勝利,ジャングルポケット,1,0,1,0
未勝利,Point of Entry,1,0,0,1
未勝利,ゴーカイ,1,0,0,0
未勝利,タニノギムレット,1,0,0,0
未勝利,ネオユニヴァース,1,0,0,2
未勝利,マンハッタンカフェ,1,0,0,2
未勝利,メイショウボーラー,1,0,0,0
未勝利,エイシンフラッシュ,0,1,2,0
未勝利,オペラハウス,0,1,0,0
未勝利,ステイゴールド,0,1,0,0
未勝利,ゼンノロブロイ,0,1,0,0
未勝利,ディープスカイ,0,1,0,2
未勝利,ディープブリランテ,0,1,0,0
未勝利,ローズキングダム,0,1,0,0
未勝利,ワンダースピード,0,1,0,1
未勝利,ブラックタイド,0,0,1,3
未勝利,モンテロッソ,0,0,1,1
未勝利,リーチザクラウン,0,0,1,2
未勝利,ルーラーシップ,0,0,1,0
未勝利,Kitten's Joy,0,0,0,1
未勝利,Munnings,0,0,0,1
未勝利,Take Charge Indy,0,0,0,2
未勝利,Uncle Mo,0,0,0,1
未勝利,アッミラーレ,0,0,0,1
未勝利,アポロキングダム,0,0,0,1
未勝利,オレハマッテルゼ,0,0,0,1
未勝利,カジノドライヴ,0,0,0,1
未勝利,カネヒキリ,0,0,0,1
未勝利,カリズマティック,0,0,0,1
未勝利,キングカメハメハ,0,0,0,3
未勝利,キングズベスト,0,0,0,3
未勝利,キングヘイロー,0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,ケイムホーム,0,0,0,2
未勝利,コンデュイット,0,0,0,0
未勝利,ゴールドアリュール,0,0,0,2
未勝利,サウスヴィグラス,0,0,0,1
未勝利,シンボリクリスエス,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,2
未勝利,スズカマンボ,0,0,0,1
未勝利,ストロングリターン,0,0,0,1
未勝利,タイキシャトル,0,0,0,1
未勝利,ダイワメジャー,0,0,0,2
未勝利,ダノンシャンティ,0,0,0,2
未勝利,ダンスインザダーク,0,0,0,1
未勝利,ディープインパクト,0,0,0,1
未勝利,ハーツクライ,0,0,0,1
未勝利,フリオーソ,0,0,0,1
未勝利,プリサイスエンド,0,0,0,1
未勝利,ヘニーヒューズ,0,0,0,2
未勝利,ベルシャザール,0,0,0,1
未勝利,ホワイトマズル,0,0,0,1
未勝利,マツリダゴッホ,0,0,0,1
未勝利,マーベラスサンデー,0,0,0,4
未勝利,メイショウサムソン,0,0,0,1
未勝利,ヨハネスブルグ,0,0,0,1
未勝利,ローエングリン,0,0,0,2
未勝利,ロージズインメイ,0,0,0,0
未勝利,ワークフォース,0,0,0,1
未勝利,ヴァーミリアン,0,0,0,3
