クラス,血統,1着,2着,3着,着外
all,キングヘイロー,1,0,0,0
all,グランプリボス,1,0,0,0
all,トーセンホマレボシ,0,1,0,0
all,ドリームジャーニー,0,1,0,0
all,カネヒキリ,0,0,1,0
all,タートルボウル,0,0,1,0
all,English Channel,0,0,0,1
all,Union Rags,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アルデバラン,0,0,0,1
all,オウケンブルースリ,0,0,0,1
all,オルフェーヴル,0,0,0,3
all,クロフネ,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,ナカヤマフェスタ,0,0,0,1
all,ニューイングランド,0,0,0,1
all,ハイアーゲーム,0,0,0,1
all,ベーカバド,0,0,0,1
all,メイショウサムソン,0,0,0,1
all,ルーラーシップ,0,0,0,2
all,ヴァーミリアン,0,0,0,1
1勝クラス,グランプリボス,1,0,0,0
1勝クラス,ドリームジャーニー,0,1,0,0
1勝クラス,タートルボウル,0,0,1,0
1勝クラス,English Channel,0,0,0,1
1勝クラス,Union Rags,0,0,0,1
1勝クラス,オウケンブルースリ,0,0,0,1
1勝クラス,タイムパラドックス,0,0,0,1
1勝クラス,メイショウサムソン,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,キングヘイロー,1,0,0,0
2勝クラス,トーセンホマレボシ,0,1,0,0
2勝クラス,カネヒキリ,0,0,1,0
2勝クラス,アグネスデジタル,0,0,0,1
2勝クラス,アルデバラン,0,0,0,1
2勝クラス,オルフェーヴル,0,0,0,3
2勝クラス,クロフネ,0,0,0,1
2勝クラス,ゼンノロブロイ,0,0,0,1
2勝クラス,ナカヤマフェスタ,0,0,0,1
2勝クラス,ニューイングランド,0,0,0,1
2勝クラス,ハイアーゲーム,0,0,0,1
2勝クラス,ベーカバド,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,ヴァーミリアン,0,0,0,1
