クラス,血統,1着,2着,3着,着外
all,キズナ,1,0,0,0
all,ヴィクトワールピサ,0,1,0,0
all,オーシャンブルー,0,0,1,0
all,オルフェーヴル,0,0,0,1
all,クロフネ,0,0,0,1
all,ゴールドシップ,0,0,0,2
all,ゼンノロブロイ,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,パイロ,0,0,0,1
all,フェノーメノ,0,0,0,1
all,ベーカバド,0,0,0,1
all,ラニ,0,0,0,1
all,ロードカナロア,0,0,0,1
未勝利,キズナ,1,0,0,0
未勝利,ヴィクトワールピサ,0,1,0,0
未勝利,オーシャンブルー,0,0,1,0
未勝利,オルフェーヴル,0,0,0,1
未勝利,クロフネ,0,0,0,1
未勝利,ゴールドシップ,0,0,0,2
未勝利,ゼンノロブロイ,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,パイロ,0,0,0,1
未勝利,フェノーメノ,0,0,0,1
未勝利,ベーカバド,0,0,0,1
未勝利,ラニ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
