クラス,血統,1着,2着,3着,着外
all,ゴールドシップ,2,1,1,2
all,スワーヴリチャード,1,0,1,1
all,ダイワメジャー,1,0,0,0
all,マツリダゴッホ,1,0,0,0
all,サトノアラジン,0,1,0,0
all,シルバーステート,0,1,0,0
all,ディープインパクト,0,1,0,0
all,ブラックタイド,0,1,0,1
all,オルフェーヴル,0,0,1,0
all,サトノアレス,0,0,1,0
all,ドゥラメンテ,0,0,1,0
all,Catholic Boy,0,0,0,2
all,Fort Larned,0,0,0,1
all,Invincible Spirit,0,0,0,1
all,アドマイヤムーン,0,0,0,0
all,イスラボニータ,0,0,0,1
all,エピファネイア,0,0,0,2
all,キズナ,0,0,0,1
all,キタサンブラック,0,0,0,3
all,キンシャサノキセキ,0,0,0,0
all,ゴールドヘイロー,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,ジャングルポケット,0,0,0,1
all,ストロングリターン,0,0,0,1
all,ダノンシャーク,0,0,0,1
all,ダンカーク,0,0,0,0
all,トウケイヘイロー,0,0,0,1
all,ドレフォン,0,0,0,1
all,ナムラタイタン,0,0,0,0
all,ハーツクライ,0,0,0,3
all,ハービンジャー,0,0,0,1
all,ブリックスアンドモルタル,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,2
all,ヤマニンセラフィム,0,0,0,2
all,リアルインパクト,0,0,0,1
all,リアルスティール,0,0,0,1
all,レイデオロ,0,0,0,1
all,ロードカナロア,0,0,0,0
all,ワールドエース,0,0,0,1
未勝利,ゴールドシップ,2,1,1,2
未勝利,スワーヴリチャード,1,0,1,1
未勝利,ダイワメジャー,1,0,0,0
未勝利,マツリダゴッホ,1,0,0,0
未勝利,サトノアラジン,0,1,0,0
未勝利,シルバーステート,0,1,0,0
未勝利,ディープインパクト,0,1,0,0
未勝利,ブラックタイド,0,1,0,1
未勝利,オルフェーヴル,0,0,1,0
未勝利,サトノアレス,0,0,1,0
未勝利,ドゥラメンテ,0,0,1,0
未勝利,Catholic Boy,0,0,0,2
未勝利,Fort Larned,0,0,0,1
未勝利,Invincible Spirit,0,0,0,1
未勝利,アドマイヤムーン,0,0,0,0
未勝利,イスラボニータ,0,0,0,1
未勝利,エピファネイア,0,0,0,2
未勝利,キズナ,0,0,0,1
未勝利,キタサンブラック,0,0,0,3
未勝利,キンシャサノキセキ,0,0,0,0
未勝利,ゴールドヘイロー,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,1
未勝利,ジャングルポケット,0,0,0,1
未勝利,ストロングリターン,0,0,0,1
未勝利,ダノンシャーク,0,0,0,1
未勝利,ダンカーク,0,0,0,0
未勝利,トウケイヘイロー,0,0,0,1
未勝利,ドレフォン,0,0,0,1
未勝利,ナムラタイタン,0,0,0,0
未勝利,ハーツクライ,0,0,0,3
未勝利,ハービンジャー,0,0,0,1
未勝利,ブリックスアンドモルタル,0,0,0,1
未勝利,ヘニーヒューズ,0,0,0,1
未勝利,マジェスティックウォリアー,0,0,0,2
未勝利,ヤマニンセラフィム,0,0,0,2
未勝利,リアルインパクト,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,レイデオロ,0,0,0,1
未勝利,ロードカナロア,0,0,0,0
未勝利,ワールドエース,0,0,0,1
