クラス,血統,1着,2着,3着,着外
all,ディープインパクト,4,3,1,14
all,ゴールドシップ,3,1,3,23
all,ルーラーシップ,2,4,2,18
all,ドゥラメンテ,2,3,0,14
all,ローエングリン,2,1,0,2
all,ロードカナロア,2,1,0,11
all,エピファネイア,2,0,2,16
all,スクリーンヒーロー,2,0,1,10
all,ロジャーバローズ,2,0,0,1
all,ハーツクライ,1,2,3,23
all,モーリス,1,2,3,8
all,キズナ,1,2,1,10
all,ダイワメジャー,1,1,4,7
all,リアルスティール,1,1,0,5
all,サトノダイヤモンド,1,0,1,1
all,ノヴェリスト,1,0,1,7
all,アメリカンペイトリオット,1,0,0,1
all,キタサンブラック,1,0,0,4
all,キングズベスト,1,0,0,0
all,グレーターロンドン,1,0,0,3
all,サトノクラウン,1,0,0,1
all,ザファクター,1,0,0,0
all,ジャスタウェイ,1,0,0,10
all,ダノンバラード,1,0,0,5
all,バゴ,1,0,0,6
all,ブリックスアンドモルタル,1,0,0,3
all,ミッキーロケット,1,0,0,1
all,ヴァンセンヌ,1,0,0,1
all,ハービンジャー,0,4,4,12
all,シルバーステート,0,2,1,5
all,オルフェーヴル,0,2,0,10
all,キングカメハメハ,0,1,2,10
all,イスラボニータ,0,1,1,3
all,エイシンフラッシュ,0,1,1,7
all,カリフォルニアクローム,0,1,0,0
all,サートゥルナーリア,0,1,0,0
all,スワーヴリチャード,0,1,0,2
all,ニューイヤーズデイ,0,1,0,0
all,ネオユニヴァース,0,1,0,1
all,メイショウサムソン,0,1,0,2
all,ロゴタイプ,0,1,0,1
all,ローズキングダム,0,1,0,1
all,エイシンヒカリ,0,0,2,1
all,Exceedance,0,0,1,0
all,ガルボ,0,0,1,0
all,ゴールドアクター,0,0,1,0
all,ステイゴールド,0,0,1,1
all,ドレフォン,0,0,1,1
all,リアルインパクト,0,0,1,4
all,ヴィクトワールピサ,0,0,1,9
all,Kingman,0,0,0,1
all,Kitten's Joy,0,0,0,1
all,Le Havre,0,0,0,1
all,Mastercraftsman,0,0,0,1
all,Tapit,0,0,0,1
all,Tavistock,0,0,0,1
all,アイルハヴアナザー,0,0,0,1
all,アドマイヤムーン,0,0,0,5
all,アニマルキングダム,0,0,0,1
all,アルアイン,0,0,0,1
all,アンライバルド,0,0,0,1
all,インディチャンプ,0,0,0,1
all,ウインブライト,0,0,0,1
all,エポカドーロ,0,0,0,1
all,オンファイア,0,0,0,1
all,カレンブラックヒル,0,0,0,1
all,カンパニー,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,クリエイター,0,0,0,1
all,グァンチャーレ,0,0,0,1
all,グラスワンダー,0,0,0,4
all,サトノアラジン,0,0,0,2
all,ザサンデーフサイチ,0,0,0,3
all,シャンハイボビー,0,0,0,3
all,ジャングルポケット,0,0,0,3
all,ジョーカプチーノ,0,0,0,3
all,スズカフェニックス,0,0,0,1
all,ストロングリターン,0,0,0,2
all,スピルバーグ,0,0,0,4
all,タワーオブロンドン,0,0,0,1
all,タートルボウル,0,0,0,3
all,ダノンシャンティ,0,0,0,1
all,ディスクリートキャット,0,0,0,2
all,ディープスカイ,0,0,0,1
all,ディープブリランテ,0,0,0,6
all,トゥザグローリー,0,0,0,3
all,トーセンホマレボシ,0,0,0,1
all,トーセンラー,0,0,0,3
all,トーセンレーヴ,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,パイロ,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,ビーチパトロール,0,0,0,1
all,フェノーメノ,0,0,0,4
all,ブラックタイド,0,0,0,3
all,ベーカバド,0,0,0,4
all,マクフィ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,3
all,マツリダゴッホ,0,0,0,6
all,マンハッタンカフェ,0,0,0,1
all,ミスチヴィアスアレックス,0,0,0,1
all,ミッキースワロー,0,0,0,1
all,モズアスコット,0,0,0,1
all,モンテロッソ,0,0,0,2
all,ヨハネスブルグ,0,0,0,1
all,ラブリーデイ,0,0,0,3
all,リオンディーズ,0,0,0,6
all,リーチザクラウン,0,0,0,1
all,レイデオロ,0,0,0,4
all,レーヴミストラル,0,0,0,1
all,ロージズインメイ,0,0,0,3
all,ロードアルティマ,0,0,0,1
all,ローレルゲレイロ,0,0,0,1
all,ワールドエース,0,0,0,3
all,ヴァンキッシュラン,0,0,0,3
未勝利,スクリーンヒーロー,2,0,0,6
未勝利,ゴールドシップ,1,1,3,12
未勝利,ダイワメジャー,1,1,0,4
未勝利,ダノンバラード,1,0,0,1
未勝利,ドゥラメンテ,1,0,0,3
未勝利,ノヴェリスト,1,0,0,6
未勝利,ロジャーバローズ,1,0,0,0
未勝利,ロードカナロア,1,0,0,3
未勝利,ヴァンセンヌ,1,0,0,1
未勝利,ハービンジャー,0,2,2,4
未勝利,オルフェーヴル,0,2,0,3
未勝利,サートゥルナーリア,0,1,0,0
未勝利,スワーヴリチャード,0,1,0,1
未勝利,ディープインパクト,0,1,0,2
未勝利,メイショウサムソン,0,1,0,1
未勝利,エイシンヒカリ,0,0,1,0
未勝利,エイシンフラッシュ,0,0,1,0
未勝利,ガルボ,0,0,1,0
未勝利,モーリス,0,0,1,0
未勝利,ルーラーシップ,0,0,1,7
未勝利,Kingman,0,0,0,1
未勝利,Kitten's Joy,0,0,0,1
未勝利,Tapit,0,0,0,1
未勝利,Tavistock,0,0,0,1
未勝利,アドマイヤムーン,0,0,0,2
未勝利,イスラボニータ,0,0,0,1
未勝利,エピファネイア,0,0,0,3
未勝利,オンファイア,0,0,0,1
未勝利,キズナ,0,0,0,4
未勝利,キングカメハメハ,0,0,0,4
未勝利,クリエイター,0,0,0,1
未勝利,グラスワンダー,0,0,0,2
未勝利,グレーターロンドン,0,0,0,1
未勝利,サトノアラジン,0,0,0,1
未勝利,シャンハイボビー,0,0,0,1
未勝利,シルバーステート,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,4
未勝利,ジョーカプチーノ,0,0,0,2
未勝利,ストロングリターン,0,0,0,1
未勝利,スピルバーグ,0,0,0,1
未勝利,タートルボウル,0,0,0,1
未勝利,ディスクリートキャット,0,0,0,1
未勝利,トゥザグローリー,0,0,0,3
未勝利,トーセンラー,0,0,0,3
未勝利,ハーツクライ,0,0,0,4
未勝利,バゴ,0,0,0,3
未勝利,パイロ,0,0,0,1
未勝利,ブラックタイド,0,0,0,1
未勝利,ブリックスアンドモルタル,0,0,0,1
未勝利,マジェスティックウォリアー,0,0,0,2
未勝利,マツリダゴッホ,0,0,0,1
未勝利,ラブリーデイ,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,リオンディーズ,0,0,0,3
未勝利,ローエングリン,0,0,0,1
未勝利,ロージズインメイ,0,0,0,2
未勝利,ロードアルティマ,0,0,0,1
未勝利,ローレルゲレイロ,0,0,0,1
未勝利,ヴァンキッシュラン,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,1
新馬,ドゥラメンテ,1,1,0,2
新馬,サトノダイヤモンド,1,0,0,0
新馬,ジャスタウェイ,1,0,0,2
新馬,ディープインパクト,1,0,0,1
新馬,モーリス,0,1,1,0
新馬,ハービンジャー,0,1,0,1
新馬,ルーラーシップ,0,1,0,1
新馬,エイシンヒカリ,0,0,1,0
新馬,ハーツクライ,0,0,1,2
新馬,ヴィクトワールピサ,0,0,1,1
新馬,エイシンフラッシュ,0,0,0,1
新馬,エピファネイア,0,0,0,3
新馬,オルフェーヴル,0,0,0,1
新馬,キタサンブラック,0,0,0,1
新馬,キングカメハメハ,0,0,0,1
新馬,グラスワンダー,0,0,0,2
新馬,グレーターロンドン,0,0,0,1
新馬,ゴールドシップ,0,0,0,1
新馬,サトノクラウン,0,0,0,1
新馬,シャンハイボビー,0,0,0,1
新馬,シルバーステート,0,0,0,1
