クラス,血統,1着,2着,3着,着外
all,ディープインパクト,19,23,18,98
all,エピファネイア,19,14,22,120
all,ハーツクライ,17,15,16,116
all,キタサンブラック,15,7,3,60
all,ドゥラメンテ,11,16,17,82
all,ハービンジャー,11,7,17,118
all,ルーラーシップ,10,8,18,122
all,モーリス,10,8,10,62
all,キズナ,10,8,6,98
all,レイデオロ,9,6,7,64
all,ゴールドシップ,8,19,10,201
all,キングカメハメハ,8,6,8,42
all,ロードカナロア,8,5,4,60
all,オルフェーヴル,7,9,7,80
all,シルバーステート,7,7,3,56
all,ジャスタウェイ,6,3,4,57
all,サトノダイヤモンド,5,6,2,48
all,エイシンフラッシュ,5,4,2,48
all,リアルスティール,5,3,8,36
all,ブラックタイド,5,2,4,53
all,ノヴェリスト,5,1,1,37
all,スクリーンヒーロー,4,9,3,59
all,ラブリーデイ,4,3,3,20
all,フィエールマン,4,2,1,25
all,リオンディーズ,4,1,7,37
all,タートルボウル,4,1,0,10
all,サートゥルナーリア,3,5,4,33
all,ヴィクトワールピサ,3,4,3,32
all,ワールドエース,3,2,0,22
all,ステイゴールド,3,1,0,19
all,ビーチパトロール,3,0,1,24
all,スワーヴリチャード,2,4,1,11
all,サトノクラウン,2,3,3,25
all,イスラボニータ,2,2,5,19
all,Frankel,2,2,1,7
all,ミッキーロケット,2,2,1,3
all,グレーターロンドン,2,1,1,10
all,コントレイル,2,1,1,11
all,フェノーメノ,2,1,0,13
all,ワールドプレミア,2,1,0,6
all,ウインブライト,2,0,1,38
all,カンパニー,2,0,0,0
all,ドレフォン,2,0,0,15
all,デクラレーションオブウォー,1,4,2,16
all,アルアイン,1,4,0,18
all,ブリックスアンドモルタル,1,3,1,36
all,ダノンバラード,1,2,5,66
all,ダイワメジャー,1,2,4,25
all,グラスワンダー,1,2,3,15
all,トーセンラー,1,2,2,25
all,サトノアラジン,1,1,2,8
all,ディープブリランテ,1,1,2,20
all,アメリカンペイトリオット,1,1,1,14
all,カレンブラックヒル,1,1,1,8
all,アイルハヴアナザー,1,1,0,20
all,ダノンシャンティ,1,1,0,3
