クラス,血統,1着,2着,3着,着外
all,ダイワメジャー,2,0,2,2
all,リアルインパクト,1,1,0,0
all,キズナ,1,0,1,2
all,ジャスタウェイ,1,0,0,0
all,タートルボウル,0,1,0,0
all,メイショウボーラー,0,1,0,1
all,ルーラーシップ,0,1,0,2
all,ロードカナロア,0,1,0,3
all,カレンブラックヒル,0,0,1,0
all,ハーツクライ,0,0,1,3
all,Flatter,0,0,0,1
all,Speightstown,0,0,0,1
all,Zoffany,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,アンライバルド,0,0,0,2
all,アーネストリー,0,0,0,1
all,カジノドライヴ,0,0,0,1
all,キンシャサノキセキ,0,0,0,2
all,シンボリクリスエス,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,ストロングリターン,0,0,0,1
all,パイロ,0,0,0,2
all,ヒルノダムール,0,0,0,1
all,フェノーメノ,0,0,0,3
all,ヘニーヒューズ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,マツリダゴッホ,0,0,0,2
all,ローズキングダム,0,0,0,1
all,ローレルゲレイロ,0,0,0,1
all,ワークフォース,0,0,0,1
all,ワールドエース,0,0,0,2
新馬,ダイワメジャー,2,0,2,2
新馬,キズナ,1,0,1,2
新馬,ジャスタウェイ,1,0,0,0
新馬,タートルボウル,0,1,0,0
新馬,メイショウボーラー,0,1,0,1
新馬,リアルインパクト,0,1,0,0
新馬,ルーラーシップ,0,1,0,2
新馬,ハーツクライ,0,0,1,3
新馬,Flatter,0,0,0,1
新馬,Speightstown,0,0,0,1
新馬,Zoffany,0,0,0,1
新馬,アドマイヤムーン,0,0,0,1
新馬,アンライバルド,0,0,0,2
新馬,アーネストリー,0,0,0,1
新馬,カジノドライヴ,0,0,0,1
新馬,キンシャサノキセキ,0,0,0,2
新馬,シンボリクリスエス,0,0,0,1
新馬,スウェプトオーヴァーボード,0,0,0,1
新馬,ストロングリターン,0,0,0,1
新馬,パイロ,0,0,0,1
新馬,ヒルノダムール,0,0,0,1
新馬,フェノーメノ,0,0,0,3
新馬,ヘニーヒューズ,0,0,0,1
新馬,マジェスティックウォリアー,0,0,0,1
新馬,マツリダゴッホ,0,0,0,1
新馬,ローズキングダム,0,0,0,1
新馬,ロードカナロア,0,0,0,3
新馬,ワークフォース,0,0,0,1
新馬,ワールドエース,0,0,0,2
未勝利,リアルインパクト,1,0,0,0
未勝利,ロードカナロア,0,1,0,0
未勝利,カレンブラックヒル,0,0,1,0
未勝利,パイロ,0,0,0,1
未勝利,マツリダゴッホ,0,0,0,1
未勝利,ローレルゲレイロ,0,0,0,1
