クラス,血統,1着,2着,3着,着外
all,ハーツクライ,9,5,1,44
all,ディープインパクト,8,12,12,44
all,ハービンジャー,7,6,5,28
all,ダイワメジャー,4,0,0,6
all,エピファネイア,3,5,2,33
all,キズナ,3,4,5,30
all,ロードカナロア,3,2,0,22
all,ノヴェリスト,3,0,1,4
all,キタサンブラック,2,4,4,21
all,ドリームジャーニー,2,1,1,5
all,イスラボニータ,2,0,0,2
all,モーリス,1,2,4,11
all,オルフェーヴル,1,2,2,13
all,ブラックタイド,1,2,2,7
all,ドゥラメンテ,1,1,4,20
all,シルバーステート,1,1,2,8
all,スクリーンヒーロー,1,1,1,5
all,キングカメハメハ,1,1,0,17
all,リオンディーズ,1,1,0,7
all,ルーラーシップ,1,0,5,31
all,マジェスティックウォリアー,1,0,2,3
all,ジャスタウェイ,1,0,1,12
all,キングヘイロー,1,0,0,1
all,グランデッツァ,1,0,0,0
all,サトノダイヤモンド,1,0,0,2
all,シンボリクリスエス,1,0,0,0
all,ディープブリランテ,1,0,0,2
all,ヴァンセンヌ,1,0,0,2
all,ヴィクトワールピサ,1,0,0,3
all,リアルスティール,0,2,1,1
all,グランプリボス,0,2,0,2
all,サトノアラジン,0,1,1,2
all,ミッキーアイル,0,1,1,4
all,Frankel,0,1,0,2
all,Siyouni,0,1,0,1
all,The Grey Gatsby,0,1,0,1
all,アイルハヴアナザー,0,1,0,0
all,クロフネ,0,1,0,1
all,ゴールドシップ,0,1,0,15
all,マクフィ,0,1,0,2
all,マンハッタンカフェ,0,1,0,2
all,Dubawi,0,0,1,0
all,アメリカンペイトリオット,0,0,1,4
all,キンシャサノキセキ,0,0,1,2
all,ケープブランコ,0,0,1,1
all,ジャングルポケット,0,0,1,5
all,ミッキーロケット,0,0,1,0
all,ラブリーデイ,0,0,1,3
all,Arrogate,0,0,0,1
all,English Channel,0,0,0,2
all,Galileo,0,0,0,2
all,Golden Horn,0,0,0,1
all,Gun Runner,0,0,0,1
all,Shamardal,0,0,0,1
all,Union Rags,0,0,0,1
all,アドマイヤムーン,0,0,0,3
all,アンライバルド,0,0,0,1
all,エイシンヒカリ,0,0,0,4
all,エイシンフラッシュ,0,0,0,4
all,カラヴァッジオ,0,0,0,1
all,カレンブラックヒル,0,0,0,2
all,キングズベスト,0,0,0,3
all,サクラオールイン,0,0,0,1
all,サトノクラウン,0,0,0,2
all,サムライハート,0,0,0,1
all,ザファクター,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,ジョーカプチーノ,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,ステイゴールド,0,0,0,1
all,ストリートセンス,0,0,0,1
all,スピルバーグ,0,0,0,5
all,セレン,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,タリスマニック,0,0,0,2
all,ダノンシャンティ,0,0,0,4
all,ダノンバラード,0,0,0,1
all,ディーマジェスティ,0,0,0,2
all,デクラレーションオブウォー,0,0,0,2
all,トゥザグローリー,0,0,0,2
all,トゥザワールド,0,0,0,1
all,トウケイヘイロー,0,0,0,1
all,トーセンホマレボシ,0,0,0,2
all,トーセンラー,0,0,0,6
all,トーホウジャッカル,0,0,0,1
all,ドレフォン,0,0,0,2
all,ニホンピロアワーズ,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,バゴ,0,0,0,5
all,バトルプラン,0,0,0,2
all,バンドワゴン,0,0,0,1
all,パイロ,0,0,0,2
all,ヒルノダムール,0,0,0,1
all,ビーチパトロール,0,0,0,3
all,フェノーメノ,0,0,0,2
all,フリオーソ,0,0,0,1
all,ベルシャザール,0,0,0,2
all,ベーカバド,0,0,0,2
all,ホッコータルマエ,0,0,0,1
all,マツリダゴッホ,0,0,0,2
all,メイショウサムソン,0,0,0,2
all,モンテロッソ,0,0,0,2
all,ヤマカツエース,0,0,0,1
all,ロゴタイプ,0,0,0,5
all,ローエングリン,0,0,0,3
all,ロージズインメイ,0,0,0,3
all,ローズキングダム,0,0,0,6
all,ワンアンドオンリー,0,0,0,3
all,ワークフォース,0,0,0,3
all,ワールドエース,0,0,0,6
1勝クラス,ディープインパクト,2,0,3,11
1勝クラス,ダイワメジャー,2,0,0,1
