クラス,血統,1着,2着,3着,着外
all,ゴールドシップ,1,0,0,0
all,ディープインパクト,1,0,0,0
all,ルーラーシップ,0,2,0,0
all,エピファネイア,0,0,1,0
all,ハーツクライ,0,0,1,0
all,ウインバリアシオン,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,キズナ,0,0,0,2
all,キングカメハメハ,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,ハービンジャー,0,0,0,1
all,ヴァンセンヌ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
未勝利,ゴールドシップ,1,0,0,0
未勝利,ディープインパクト,1,0,0,0
未勝利,ルーラーシップ,0,2,0,0
未勝利,エピファネイア,0,0,1,0
未勝利,ハーツクライ,0,0,1,0
未勝利,ウインバリアシオン,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,1
未勝利,オルフェーヴル,0,0,0,1
未勝利,キズナ,0,0,0,2
未勝利,キングカメハメハ,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,ダノンシャンティ,0,0,0,1
未勝利,ノヴェリスト,0,0,0,1
未勝利,ハービンジャー,0,0,0,1
未勝利,ヴァンセンヌ,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,1
