クラス,血統,1着,2着,3着,着外
all,キズナ,2,2,0,3
all,コントレイル,2,1,0,6
all,キタサンブラック,1,3,1,4
all,アドマイヤマーズ,1,0,0,0
all,サートゥルナーリア,1,0,0,1
all,スクリーンヒーロー,1,0,0,1
all,ゼンノロブロイ,1,0,0,0
all,エピファネイア,0,1,1,8
all,ゴールドシップ,0,1,1,3
all,ブリックスアンドモルタル,0,1,0,3
all,キングカメハメハ,0,0,1,0
all,サトノアラジン,0,0,1,1
all,シルバーステート,0,0,1,3
all,バゴ,0,0,1,0
all,フィエールマン,0,0,1,1
all,リオンディーズ,0,0,1,2
all,Zarak,0,0,0,1
all,アルアイン,0,0,0,1
all,イスラボニータ,0,0,0,1
all,インディチャンプ,0,0,0,1
all,ウインブライト,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エタリオウ,0,0,0,1
all,エポカドーロ,0,0,0,1
all,キセキ,0,0,0,1
all,ゴールドドリーム,0,0,0,1
all,サトノダイヤモンド,0,0,0,3
all,スワーヴリチャード,0,0,0,2
all,ダノンスマッシュ,0,0,0,1
all,ダノンプレミアム,0,0,0,1
all,ディープインパクト,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ドレフォン,0,0,0,1
all,ナカヤマフェスタ,0,0,0,1
all,ハーツクライ,0,0,0,2
all,ハービンジャー,0,0,0,5
all,ビーチパトロール,0,0,0,2
all,ブラックタイド,0,0,0,1
all,ベンバトル,0,0,0,1
all,ポエティックフレア,0,0,0,2
all,マインドユアビスケッツ,0,0,0,1
all,マテラスカイ,0,0,0,1
all,リアルスティール,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,レイデオロ,0,0,0,5
all,ロジャーバローズ,0,0,0,1
all,ロードカナロア,0,0,0,1
1勝クラス,サートゥルナーリア,1,0,0,0
1勝クラス,ゼンノロブロイ,1,0,0,0
1勝クラス,ゴールドシップ,0,1,1,0
1勝クラス,キタサンブラック,0,1,0,1
1勝クラス,エピファネイア,0,0,1,1
1勝クラス,エタリオウ,0,0,0,1
1勝クラス,サトノアラジン,0,0,0,1
1勝クラス,サトノダイヤモンド,0,0,0,1
1勝クラス,シルバーステート,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,1
1勝クラス,ビーチパトロール,0,0,0,1
1勝クラス,フィエールマン,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,1
1勝クラス,ブリックスアンドモルタル,0,0,0,1
1勝クラス,リオンディーズ,0,0,0,1
1勝クラス,ロードカナロア,0,0,0,1
2勝クラス,スクリーンヒーロー,1,0,0,0
2勝クラス,キズナ,0,1,0,0
2勝クラス,キングカメハメハ,0,0,1,0
2勝クラス,エイシンヒカリ,0,0,0,1
2勝クラス,エピファネイア,0,0,0,3
2勝クラス,ドリームジャーニー,0,0,0,1
2勝クラス,ビーチパトロール,0,0,0,1
2勝クラス,ブリックスアンドモルタル,0,0,0,1
2勝クラス,レイデオロ,0,0,0,1
3勝クラス,キズナ,1,0,0,0
3勝クラス,キタサンブラック,0,1,0,1
3勝クラス,バゴ,0,0,1,0
3勝クラス,ドゥラメンテ,0,0,0,1
3勝クラス,ハービンジャー,0,0,0,2
3勝クラス,マインドユアビスケッツ,0,0,0,1
オープン,キズナ,1,1,0,1
オープン,コントレイル,1,0,0,1
オープン,エピファネイア,0,1,0,1
オープン,キタサンブラック,0,0,1,1
オープン,サトノアラジン,0,0,1,0
オープン,キセキ,0,0,0,1
オープン,ゴールドシップ,0,0,0,2
オープン,スクリーンヒーロー,0,0,0,1
オープン,ダノンプレミアム,0,0,0,1
オープン,ディープインパクト,0,0,0,1
オープン,デクラレーションオブウォー,0,0,0,1
オープン,ナカヤマフェスタ,0,0,0,1
オープン,ハーツクライ,0,0,0,2
オープン,ハービンジャー,0,0,0,1
オープン,ベンバトル,0,0,0,1
オープン,ポエティックフレア,0,0,0,2
オープン,リオンディーズ,0,0,0,1
オープン,ルーラーシップ,0,0,0,1
オープン,レイデオロ,0,0,0,1
オープン,ロジャーバローズ,0,0,0,1
未勝利,キタサンブラック,1,1,0,1
未勝利,コントレイル,1,1,0,5
未勝利,アドマイヤマーズ,1,0,0,0
未勝利,ブリックスアンドモルタル,0,1,0,1
未勝利,シルバーステート,0,0,1,2
未勝利,フィエールマン,0,0,1,0
未勝利,リオンディーズ,0,0,1,0
未勝利,Zarak,0,0,0,1
未勝利,アルアイン,0,0,0,1
未勝利,イスラボニータ,0,0,0,1
未勝利,インディチャンプ,0,0,0,1
未勝利,ウインブライト,0,0,0,1
未勝利,エピファネイア,0,0,0,3
未勝利,エポカドーロ,0,0,0,1
未勝利,キズナ,0,0,0,2
未勝利,ゴールドシップ,0,0,0,1
未勝利,ゴールドドリーム,0,0,0,1
未勝利,サトノダイヤモンド,0,0,0,2
未勝利,サートゥルナーリア,0,0,0,1
未勝利,スワーヴリチャード,0,0,0,2
未勝利,ダノンスマッシュ,0,0,0,1
未勝利,ドレフォン,0,0,0,1
未勝利,ハービンジャー,0,0,0,1
未勝利,マテラスカイ,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,レイデオロ,0,0,0,3
