クラス,血統,1着,2着,3着,着外
all,エイシンヒカリ,1,0,0,0
all,ザファクター,1,0,0,0
all,アドマイヤコジーン,0,1,0,0
all,ロードカナロア,0,1,0,3
all,ディープインパクト,0,0,1,0
all,ビッグアーサー,0,0,1,1
all,Dansili,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エピファネイア,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,キズナ,0,0,0,1
all,グラスワンダー,0,0,0,1
all,グランプリボス,0,0,0,1
all,サトノアラジン,0,0,0,1
all,シルバーステート,0,0,0,2
all,ダイワメジャー,0,0,0,2
all,ベーカバド,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ルーラーシップ,0,0,0,5
all,ヴァンセンヌ,0,0,0,1
2勝クラス,ザファクター,1,0,0,0
2勝クラス,ロードカナロア,0,1,0,1
2勝クラス,ビッグアーサー,0,0,1,0
2勝クラス,エピファネイア,0,0,0,1
2勝クラス,オルフェーヴル,0,0,0,1
2勝クラス,グランプリボス,0,0,0,1
2勝クラス,サトノアラジン,0,0,0,1
2勝クラス,シルバーステート,0,0,0,1
2勝クラス,マジェスティックウォリアー,0,0,0,1
2勝クラス,リーチザクラウン,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,2
オープン,エイシンヒカリ,1,0,0,0
オープン,アドマイヤコジーン,0,1,0,0
オープン,ディープインパクト,0,0,1,0
オープン,Dansili,0,0,0,1
オープン,エイシンフラッシュ,0,0,0,1
オープン,キズナ,0,0,0,1
オープン,グラスワンダー,0,0,0,1
オープン,シルバーステート,0,0,0,1
オープン,ダイワメジャー,0,0,0,2
オープン,ビッグアーサー,0,0,0,1
オープン,ベーカバド,0,0,0,1
オープン,ルーラーシップ,0,0,0,3
オープン,ロードカナロア,0,0,0,2
オープン,ヴァンセンヌ,0,0,0,1
