クラス,血統,1着,2着,3着,着外
all,ドレフォン,3,0,0,4
all,オナーコード,2,0,0,0
all,ハーツクライ,1,3,0,4
all,ヘニーヒューズ,1,2,0,13
all,モーリス,1,1,1,8
all,American Pharoah,1,1,0,0
all,キングカメハメハ,1,1,0,5
all,マインドユアビスケッツ,1,1,0,5
all,ワンダーアキュート,1,1,0,0
all,ルーラーシップ,1,0,2,4
all,ゴールドアリュール,1,0,1,5
all,リアルスティール,1,0,1,1
all,リオンディーズ,1,0,1,1
all,Into Mischief,1,0,0,0
all,Khozan,1,0,0,0
all,エイシンアポロン,1,0,0,0
all,キンシャサノキセキ,1,0,0,6
all,ザファクター,1,0,0,1
all,シャンハイボビー,1,0,0,3
all,スウェプトオーヴァーボード,1,0,0,0
all,ストリートセンス,1,0,0,1
all,ストロングリターン,1,0,0,2
all,ダンカーク,1,0,0,3
all,ディスクリートキャット,1,0,0,5
all,ビッグアーサー,1,0,0,1
all,ビーチパトロール,1,0,0,0
all,コパノリッキー,0,3,0,3
all,パイロ,0,3,0,5
all,スクリーンヒーロー,0,2,0,2
all,ロードカナロア,0,2,0,12
all,オルフェーヴル,0,1,3,4
all,ジャスタウェイ,0,1,1,5
all,アジアエクスプレス,0,1,0,7
all,クロフネ,0,1,0,2
all,ケープブランコ,0,1,0,1
all,シュヴァルグラン,0,1,0,1
all,ドゥラメンテ,0,1,0,1
all,ニューイヤーズデイ,0,1,0,2
all,リアルインパクト,0,1,0,1
all,マジェスティックウォリアー,0,0,3,6
all,カレンブラックヒル,0,0,2,7
all,ホッコータルマエ,0,0,2,2
all,アドマイヤオーラ,0,0,1,0
all,エピファネイア,0,0,1,8
all,シニスターミニスター,0,0,1,5
all,シルバーステート,0,0,1,0
all,スマートファルコン,0,0,1,3
all,ディープインパクト,0,0,1,0
all,ディープブリランテ,0,0,1,4
all,ニホンピロアワーズ,0,0,1,0
all,ブラックタイド,0,0,1,5
all,マツリダゴッホ,0,0,1,0
all,ミッキーロケット,0,0,1,3
all,モーニン,0,0,1,0
all,ヨハネスブルグ,0,0,1,2
all,Air Force Blue,0,0,0,1
all,Cajun Breeze,0,0,0,1
all,Distorted Humor,0,0,0,1
all,Dubawi,0,0,0,1
all,Frankel,0,0,0,1
all,Jimmy Creed,0,0,0,1
all,Kitten's Joy,0,0,0,1
all,Pioneerof the Nile,0,0,0,1
all,Practical Joke,0,0,0,1
all,Tapit,0,0,0,1
all,West Coast,0,0,0,1
all,アサクサキングス,0,0,0,1
all,アドマイヤムーン,0,0,0,3
all,アニマルキングダム,0,0,0,1
all,アポロキングダム,0,0,0,1
all,アメリカンペイトリオット,0,0,0,1
all,アルアイン,0,0,0,1
all,アンライバルド,0,0,0,1
all,イスラボニータ,0,0,0,3
all,エイシンフラッシュ,0,0,0,8
all,エスケンデレヤ,0,0,0,1
all,エスポワールシチー,0,0,0,2
all,エピカリス,0,0,0,1
all,エンパイアメーカー,0,0,0,2
all,カジノドライヴ,0,0,0,2
all,カネヒキリ,0,0,0,1
all,カリフォルニアクローム,0,0,0,4
all,キズナ,0,0,0,5
all,キタサンブラック,0,0,0,1
all,キングズベスト,0,0,0,3
all,クリエイター,0,0,0,1
all,グランプリボス,0,0,0,3
all,グレーターロンドン,0,0,0,2
all,コパノリチャード,0,0,0,1
all,サウスヴィグラス,0,0,0,4
all,サトノアラジン,0,0,0,1
all,サトノクラウン,0,0,0,2
all,サトノダイヤモンド,0,0,0,2
all,サムライハート,0,0,0,1
all,サンダースノー,0,0,0,1
all,シゲルカガ,0,0,0,1
all,シビルウォー,0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,ジャングルポケット,0,0,0,1
all,スズカコーズウェイ,0,0,0,1
all,ストーミングホーム,0,0,0,1
all,スピルバーグ,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,タイキシャトル,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,タリスマニック,0,0,0,1
all,タートルボウル,0,0,0,2
all,ダイワメジャー,0,0,0,11
all,ダノンシャンティ,0,0,0,2
all,ダノンレジェンド,0,0,0,7
all,ディープスカイ,0,0,0,1
