クラス,血統,1着,2着,3着,着外
all,ドゥラメンテ,1,0,0,1
all,ハービンジャー,0,1,0,0
all,ホッコータルマエ,0,0,1,0
all,イスラボニータ,0,0,0,1
all,エピファネイア,0,0,0,1
all,キズナ,0,0,0,1
all,サトノアラジン,0,0,0,0
all,ダンカーク,0,0,0,1
all,ディープインパクト,0,0,0,1
all,バンブーエール,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,モーリス,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
未勝利,ドゥラメンテ,1,0,0,1
未勝利,ハービンジャー,0,1,0,0
未勝利,ホッコータルマエ,0,0,1,0
未勝利,イスラボニータ,0,0,0,1
未勝利,エピファネイア,0,0,0,1
未勝利,キズナ,0,0,0,1
未勝利,サトノアラジン,0,0,0,0
未勝利,ダンカーク,0,0,0,1
未勝利,ディープインパクト,0,0,0,1
未勝利,バンブーエール,0,0,0,1
未勝利,マジェスティックウォリアー,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,ラブリーデイ,0,0,0,1
未勝利,ルーラーシップ,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,1
