,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ケンヴァイザッハ,牡5,60.0,伴,石栗,美浦,2020109076,01149,ゴールドアクター ,スプンキーウーマン ,アルカセット Alkaased(米) 
1,2,2,バレンタインソング,牡5,60.0,黒岩,小崎,栗東,2020102795,01072,ハービンジャー Harbinger(英) ,エマソング Emma Song(米) ,Unbridled's Song (米) 
2,3,3,アルカンサス,牡6,57.0,▲土田,土田,美浦,2019101023,01198,シルバーステート ,ラサンバ La Samba(豪) ,Orientate 
3,4,4,リーゼントジャンボ,牡7,60.0,難波,小手川,美浦,2018104268,01066,ゴールドシップ ,レディインディ Lady Indy(米) ,A.P. Indy 
4,5,5,ウィズユアドリーム,牡5,60.0,高田,宮地,栗東,2020101918,01046,サトノダイヤモンド ,フラワーバレイ Flower Valley(米) ,ディスクリートキャット Discreet Cat(米) 
5,5,6,カルマンフィルター,牡4,59.0,草野,戸田,美浦,2021104842,01113,スワーヴリチャード ,カルマート ,シンボリクリスエス 
6,6,7,モーソンピーク,牡8,57.0,▲坂口,浅利,美浦,2017105588,01211,ディープインパクト ,モシーン Mosheen(豪) ,Fastnet Rock (豪) 
7,6,8,アルマーザアミール,牡4,59.0,小牧加,斉藤崇,栗東,2021105455,01196,サトノダイヤモンド ,オーサムフェザー Awesome Feather(米) ,Awesome of Course 
8,7,9,メイショウカズサ,牡8,60.0,森一,安達,栗東,2017106642,01139,カジノドライヴ ,プレシャスエルフ ,コロナドズクエスト Coronado's Quest(米) 
9,7,10,アルマドラード,セ7,60.0,上野,小笠,美浦,2018105328,01087,キングカメハメハ ,ラドラーダ ,シンボリクリスエス 
10,8,11,アルデドゥオーモ,牡4,59.0,五十嵐,矢野,美浦,2021100361,01069,オルフェーヴル ,アルフィルク ,アグネスタキオン 
11,8,12,ユイノコキュウ,牡4,59.0,大江圭,竹内,美浦,2021106583,01120,マジェスティックウォリアー Majestic Warrior(米) ,ベッキー ,ブラックタイド 
