,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ラッシュグリーン,牡3,57.0,川須,池添,栗東,2022102422,01128,ロードカナロア ,ピスカデーラ ,ブラックタイド ,-1.64377549483664,11
1,1,2,オセアフランケル,セ3,57.0,加藤,杉山晴,栗東,2022104178,01156,エピファネイア ,ミリオンドリームズ ,Frankel ,-0.5688969008611148,3
2,2,3,ジークヴァルツァー,牡3,57.0,小崎,高橋一,栗東,2022103998,01152,デクラレーションオブウォー ,ラストワルツ ,ゼンノロブロイ ,-1.0989611683040887,7
3,2,4,スパイラルビジョン,牡3,57.0,団野,佐々木,栗東,2022105384,01180,オルフェーヴル ,スピニングメモリーズ Spinning Memories(愛) ,Arcano ,-0.7154246016026719,4
4,3,5,メイショウクレピス,牝3,52.0,▲和田陽,本田,栗東,2022105622,01223,アルアイン ,アスクレピアス ,ヘクタープロテクター Hector Protector(米) ,-1.1644425547739663,9
5,3,6,ディオスパーダ,牡3,54.0,▲柴田裕,小椋,栗東,2022100413,01212,コパノリッキー ,シノニム ,フレンチデピュティ French Deputy(米) ,-2.0561061272754366,16
6,4,7,ピストルスター,牡3,56.0,☆吉村,高橋亮,栗東,2022106937,01216,アニマルキングダム Animal Kingdom(米) ,ケージーサクランボ ,キングカメハメハ ,-1.9911703463594945,15
7,4,8,ガンナール,牡3,57.0,Ｍデムーロ,宮本,栗東,2022106629,05212,マジェスティックウォリアー Majestic Warrior(米) ,キエレ ,Distorted Humor (米) ,-0.37130057287921703,1
8,5,9,タイキフィアリーベ,牡3,57.0,和田竜,中尾,栗東,2022103156,01018,ラブリーデイ ,ラブインブルーム ,タイキシャトル ,-1.0552943360777876,6
9,5,10,ケンエージェント,牡3,56.0,☆高杉,千田,栗東,2022100148,01213,ディスクリートキャット Discreet Cat(米) ,ケンブリッジアロー ,ブラックタイド ,-1.8838360110527101,13
10,6,11,ワクシングムーン,牡3,57.0,太宰,畑端,栗東,2022101691,01037,アドマイヤムーン ,ホーカマー Hawkamah(愛) ,New Approach ,-1.9246208284198902,14
11,6,12,タガノマルアフ,牡3,55.0,△長浜,角田,栗東,2022107133,01214,サトノアラジン ,タガノアニード ,アイルハヴアナザー I'll Have Another(米) ,-1.7157318791215066,12
12,7,13,メイショウタイピン,牡3,57.0,池添,飯田,栗東,2022102828,01032,モズアスコット ,メイショウキラリ ,マンハッタンカフェ ,-0.9549145163588812,5
13,7,14,ヴノ,牡3,57.0,幸,野中,栗東,2022100464,00732,キズナ ,ニコール ,キングカメハメハ ,-1.1566196288237276,8
14,8,15,ジョーテルプジ,牝3,52.0,▲橋木,中竹,栗東,2022100228,01215,アドミラブル ,ジョーイロンデル ,クロフネ ,-1.5753224437746112,10
15,8,16,ストラーダレアーレ,牡3,57.0,鮫島駿,大久保,栗東,2022103928,01157,サートゥルナーリア ,ダイワプロパー ,ダイワメジャー ,-0.501137226776283,2
