,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,デシマルサーガ,牡5,60.0,上野,粕谷,474(+4),美浦,2020100046,01087,バゴ  Bago(仏)  ,ラリエット  ,メイショウボーラー  
1,2,2,ブリエヴェール,牡7,60.0,金子,小笠,456(-6),美浦,2018104849,01052,エイシンフラッシュ  ,レイヨンヴェール  ,ゴールドアリュール  
2,3,3,マイネルメサイア,牡6,60.0,五十嵐,水野,486(0),美浦,2019100788,01069,ゴールドシップ  ,マイネソルシエール  ,ロージズインメイ  Roses in May(米)  
3,4,4,プラチナドリーム,牡6,60.0,石神深,菊川,484(-2),美浦,2019106330,01059,ホッコータルマエ  ,サティーヌアロム  ,シンボリクリスエス  
4,5,5,サイード,セ6,60.0,小牧加,角田,504(-2),栗東,2019103152,01196,キズナ  ,セレブラール  ,ボストンハーバー  Boston Harbor(米)  
5,6,6,ジューンベロシティ,牡7,61.0,高田,武英,472(+4),栗東,2018103308,01046,ロードカナロア  ,アドマイヤサブリナ  ,シンボリクリスエス  
6,7,7,エコロデュエル,牡6,62.0,草野,岩戸,482(+6),美浦,2019101614,01113,キタサンブラック  ,クラリネット  Clarinet(米)  ,Giant's Causeway  (米)  
7,7,8,ラエール,牝6,58.0,小野寺,土田,422(-4),美浦,2019106851,01123,エイシンフラッシュ  ,ビジョナリー  ,ディープインパクト  
8,8,9,サンマルグレイト,牡5,60.0,大江圭,佐藤吉,452(+10),美浦,2020101779,01120,グレーターロンドン  ,サンマルベラータ  ,ハービンジャー  Harbinger(英)  
9,8,10,インディゴブラック,セ6,60.0,小坂,奥村豊,518(-6),栗東,2019105143,01063,キタサンブラック  ,カーニバルダクス  ,Bernardini  (米)  
