,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,サトノエピック,牡4,56.0,原,国枝,532(-2),美浦,2021105271,01184,キタサンブラック  ,ランドオーバーシー  Land Over Sea(米)  ,Bellamy Road  ,-0.9233749349627393,8
1,2,2,アピーリングルック,牝4,53.0,大野,辻,482(+4),美浦,2021104914,01096,パイロ  Pyro(米)  ,ブライトリビング  ,ワイルドラッシュ  Wild Rush(米)  ,2.8454488567011342,1
2,3,3,クールミラボー,牡5,57.0,戸崎圭,寺島,500(+2),栗東,2020103387,05386,ドレフォン  Drefong(米)  ,サンソヴール  ,キングカメハメハ  ,-1.9305091377198567,10
3,4,4,フタイテンロック,牡6,55.0,丸田,佐藤吉,490(-4),美浦,2019102665,01117,トーセンジョーダン  ,フェリスホイール  ,ダンスインザダーク  ,0.06269349936704471,5
4,5,5,リアレスト,牡4,55.0,石橋脩,尾関,522(+8),美浦,2021105496,01077,リアルスティール  ,クィーンズベスト  ,ワークフォース  Workforce(英)  ,-0.6942729842980172,6
5,5,6,サンストックトン,牡6,55.0,松岡,堀内,468(+2),美浦,2019101422,01085,ワールドエース  ,シナル  ,キングカメハメハ  ,-1.3992135015439433,9
6,6,7,アムールドパリ,牝4,54.0,木幡巧,稲垣,448(0),美浦,2021105264,01162,マインドユアビスケッツ  Mind Your Biscuits(米)  ,ラブリネスオブパリ  ,サンデーサイレンス  Sunday Silence(米)  ,0.5330516242837132,4
7,6,8,リチュアル,セ6,56.0,内田博,田中克,514(-2),栗東,2019106748,00422,キングカメハメハ  ,メイデイローズ  May Day Rose(米)  ,Rockport Harbor  ,0.7711815413854316,3
8,7,9,ブレイクフォース,牡6,57.5,菅原明,中舘,490(+6),美浦,2019105604,01179,アジアエクスプレス  ,プレシャスフラワー  ,サンデーサイレンス  Sunday Silence(米)  ,2.335605455207426,2
9,7,10,ピュアキアン,牡4,57.0,吉田豊,竹内,518(+1),美浦,2021107001,00733,ホッコータルマエ  ,ピュアプレジャー  ,Tiznow  ,-4.149802197102778,12
10,8,11,カゼノランナー,牡4,56.0,横山和,松永幹,536(+2),栗東,2021106611,01140,キズナ  ,ヴァイセフラウ  ,キングカメハメハ  ,-0.8139811864217618,7
11,8,12,ゼットリアン,牡5,56.0,三浦,吉田,442(-6),栗東,2020104760,01122,モーリス  ,ネオシルヴィア  ,ネオユニヴァース  ,-2.673746478198807,11
