,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,オーロヴェント,牡2,56.0,岡田,吉田,482(0),栗東,2023101406,05429,ホークビル  Hawkbill(米)  2013 栗毛  [血統][産駒]  Sadler's Wells系,マイオール  2013 鹿毛  [血統][産駒]  FNo.[13-c],フレンチデピュティ  French Deputy(米)  1992 栗毛  [血統][産駒],-4.559234600703251,7
1,1,2,カレンココナ,牝2,55.0,古川吉,小林,436(0),栗東,2023101061,01015,カレンブラックヒル  2009 黒鹿毛  [血統][産駒]  Halo系,カレンピピ  2017 鹿毛  [血統][産駒]  FNo.[11-d],トーセンホマレボシ  2009 鹿毛  [血統][産駒],-4.559234600703251,7
2,2,3,マイトグラッド,牡2,56.0,城戸,荒川,440(0),栗東,2023103982,01147,サトノアラジン  2011 鹿毛  [血統][産駒]  Halo系,ポルボローネ  2012 栗毛  [血統][産駒]  FNo.[4-p],フレンチデピュティ  French Deputy(米)  1992 栗毛  [血統][産駒],-4.502156571030193,5
3,2,4,メモリーデイズ,牝2,55.0,高倉,畑端,454(0),栗東,2023100628,01130,フィレンツェファイア  2015 鹿毛  [血統][産駒]  Mr. Prospector系,メモリーレーン  2011 栗毛  [血統][産駒]  FNo.[9-f],ダイワメジャー  2001 栗毛  [血統][産駒],-4.5447481650082375,6
4,3,5,プリンセスモコ,牝2,55.0,北村友,藤原,460(0),栗東,2023107520,01102,Charlatan  (米)  2017 栗毛  [血統][産駒]  Mr. Prospector系,Tiger Ride  2012 鹿毛  [血統][産駒]  FNo.[8-j],Candy Ride  1999 鹿毛  [血統][産駒],-4.832512143551791,13
5,3,6,チョウスター,牝2,55.0,国分優,羽月,466(0),栗東,2023104226,01125,エスポワールシチー  2005 栗毛  [血統][産駒]  Halo系,アラモアナワヒネ  2013 栗毛  [血統][産駒]  FNo.[1-x],グラスワンダー  1995 栗毛  [血統][産駒],-4.832512143551791,13
6,4,7,リトセア,牝2,55.0,岩田望,浜田,466(0),栗東,2023105640,01174,カリフォルニアクローム  California Chrome(米)  2011 栗毛  [血統][産駒]  Seattle Slew系,シトリカ  2015 鹿毛  [血統][産駒]  FNo.[7-c],ヨハネスブルグ  Johannesburg(米)  1999 鹿毛  [血統][産駒],-5.3010397244489775,16
7,4,8,ミラヴェリタ,牝2,55.0,高杉,吉村,482(0),栗東,2023107521,01213,Practical Joke  (米)  2014 鹿毛  [血統][産駒]  Storm Bird系,Voodoo Economics  2019 鹿毛  [血統][産駒]  FNo.[1-h],Strong Mandate  (米)  2011 鹿毛  [血統][産駒],-5.201954419944352,15
8,5,9,コサージュ,牝2,54.0,☆吉村,清水久,424(0),栗東,2023107147,01216,ヘニーヒューズ  Henny Hughes(米)  2003 栗毛  [血統][産駒]  Storm Bird系,ハイヒール  2015 鹿毛  [血統][産駒]  FNo.[23-b],トーセンホマレボシ  2009 鹿毛  [血統][産駒],-0.8942874520192359,3
9,5,10,アーディアイリ,牝2,52.0,▲田山,緒方,434(0),栗東,2023102460,01220,クリソベリル  2016 鹿毛  [血統][産駒]  Halo系,オースミマコ  2005 鹿毛  [血統][産駒]  FNo.[16-b],フレンチデピュティ  French Deputy(米)  1992 栗毛  [血統][産駒],-2.4381268073951876,4
10,6,11,エコロレバン,牝2,55.0,酒井,大久保,468(0),栗東,2023103625,01034,Speightstown  (米)  1998 栗毛  [血統][産駒]  Mr. Prospector系,ジェイビマロルカ  J Be Mallorca(亜)  2016 鹿毛  [血統][産駒]  FNo.[16-d],J Be K  2005 黒鹿毛  [血統][産駒],0.7304399841612669,1
11,6,12,ドリームハーモニー,牝2,55.0,田口,加藤公,464(0),栗東,2023103210,01208,パイロ  Pyro(米)  2005 黒鹿毛  [血統][産駒]  Seattle Slew系,ビーチマリカ  2014 芦毛  [血統][産駒]  FNo.[14-e],スマートファルコン  2005 栗毛  [血統][産駒],0.35496373097069606,2
12,7,13,エナスティール,牝2,55.0,松若,小崎,484(0),栗東,2023106089,01154,リアルスティール  2012 鹿毛  [血統][産駒]  Halo系,ジャミン  2015 青鹿毛  [血統][産駒]  FNo.[9-e],エンパイアメーカー  Empire Maker(米)  2000 黒鹿毛  [血統][産駒],-4.755010478168858,9
13,7,14,アズライトアスール,牡2,56.0,和田竜,鈴木孝,452(0),栗東,2023100785,01018,ミッキーアイル  2011 鹿毛  [血統][産駒]  Halo系,エスピナアスール  2007 黒鹿毛  [血統][産駒]  FNo.[4-p],フジキセキ  1992 青鹿毛  [血統][産駒],-4.755010478168858,9
14,8,15,ベイビーメイビー,牝2,55.0,坂井,寺島,432(0),栗東,2023100184,01163,シニスターミニスター  Sinister Minister(米)  2003 鹿毛  [血統][産駒]  Seattle Slew系,ナリタブルースター  2007 青鹿毛  [血統][産駒]  FNo.[1-x],マンハッタンカフェ  1998 青鹿毛  [血統][産駒],-4.7781326266526785,11
15,8,16,クインズボタン,牝2,55.0,藤懸,藤野,442(0),栗東,2023104446,01138,ルヴァンスレーヴ  2015 鹿毛  [血統][産駒]  Roberto系,ハイワイヤー  High Wire(米)  2009 栗毛  [血統][産駒]  FNo.[13-c],Street Cry  (愛)  1998 黒鹿毛  [血統][産駒],-4.7781326266526785,11
