,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ナスノソナタ,牡4,57.0,▲水沼,武井,490(+6),美浦,2022106544,01201,レイデオロ,ナスノシンフォニー,ハーツクライ
1,2,2,サマーアゲイン,牡5,60.0,高田,渡辺,508(0),栗東,2021104669,01046,キズナ,アントワープ,キングカメハメハ
2,3,3,ゲレル,牝4,57.0,上野,小野,454(+2),美浦,2022101203,01087,ブラックタイド,シナル,キングカメハメハ
3,3,4,ジュリアスローズ,牝5,58.0,大江圭,粕谷,484(+4),美浦,2021103506,01120,エピファネイア,タニノジュレップ,コロナドズクエスト
4,4,5,エポカスピーガ,牝4,57.0,草野,田中剛,484(+4),美浦,2022101532,01113,エポカドーロ,インドリヤ,Stormy Atlantic
5,4,6,ライツフォル,牡6,60.0,難波,高橋忠,498(-2),栗東,2020103398,01066,ミッキーアイル,シャルマント,エンパイアメーカー
6,5,7,ナヴァラトゥナ,牡4,57.0,▲坂口,手塚徳,442(+2),美浦,2022105072,01211,フィエールマン,ミスセレンディピティ,Not For Sale
7,5,8,アヴニールドブリエ,セ6,60.0,伴,大和田,504(-10),美浦,2020103803,01149,エピファネイア,レーヌドブリエ,ゼンノロブロイ
8,6,9,イモータルバード,牡5,60.0,中村,栗田,482(-4),美浦,2021100674,01101,レイデオロ,アスカビレン,ブラックタイド
9,6,10,アンノウンウォリア,牡7,60.0,黒岩,平田,482(-2),栗東,2019100577,01072,マジェスティックウォリアー,セイユウヴィーナス,ハーツクライ
10,7,11,トーアマリシテン,セ5,60.0,五十嵐,小島,450(-10),美浦,2021105335,01069,ビーチパトロール,トーアヒミコ,クロフネ
11,7,12,アニージョ,セ7,60.0,森一,吉田,506(-4),栗東,2019103634,01139,ケープブランコ,アニムス,ゴールドアリュール
12,8,13,フォルガイル,牡5,60.0,金子,加藤和,440(-4),美浦,2021101164,01052,レイデオロ,アディクション,ハーツクライ
13,8,14,ホウオウスターツ,セ4,57.0,▲小林凌,池上,468(-8),美浦,2022103528,01177,ダノンバラード,ツインクルスター,サクラバクシンオー
