,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202502010101,1,3,6,エスペシャリー,牝3,55.0,藤岡佑介,0:1:07.9,,4.7,3.0,442,[西] 四位洋文,1200,晴,芝,良,2025年06月14日,未勝利,2022103707,01093,3-2,34.3
202502010101,2,5,9,セゾンデフィーユ,牝3,55.0,横山武史,0:1:08.1,1.1/4,3.8,1.0,464,[東] 稲垣幸雄,1200,晴,芝,良,2025年06月14日,未勝利,2022105398,01170,1-1,34.8
202502010101,3,1,1,ペイシャアーサー,牡3,57.0,丹内祐次,0:1:08.3,1,4.4,2.0,456,[東] 本間忍,1200,晴,芝,良,2025年06月14日,未勝利,2022104221,01091,6-4,34.5
202502010101,4,6,12,アンビシャスヨシノ,牡3,56.0,松本大輝,0:1:08.7,2.1/2,8.3,5.0,468,[西] 吉田直弘,1200,晴,芝,良,2025年06月14日,未勝利,2022101903,01191,6-7,34.8
202502010101,5,8,15,アセンディア,牝3,55.0,ルメール,0:1:08.8,3/4,9.0,6.0,444,[東] 田中勝春,1200,晴,芝,良,2025年06月14日,未勝利,2022104133,05339,12-12,34.6
202502010101,6,4,7,ラブカマクフィー,牝3,55.0,中井裕二,0:1:08.8,アタマ,104.9,13.0,418,[東] 田島俊明,1200,晴,芝,良,2025年06月14日,未勝利,2022106599,01141,10-7,34.7
202502010101,7,2,3,シャルメイビス,牝3,52.0,川端海翼,0:1:08.8,クビ,81.5,12.0,424,[西] 森秀行,1200,晴,芝,良,2025年06月14日,未勝利,2022101740,01195,12-12,34.5
202502010101,8,8,16,ジョーブラック,牡3,57.0,浜中俊,0:1:08.9,1/2,25.7,7.0,496,[西] 清水久詞,1200,晴,芝,良,2025年06月14日,未勝利,2022100998,01115,9-7,34.9
202502010101,9,4,8,テーオーシュターデ,牝3,55.0,古川吉洋,0:1:09.0,1/2,34.6,9.0,428,[西] 宮徹,1200,晴,芝,良,2025年06月14日,未勝利,2022107056,01015,6-4,35.2
202502010101,10,7,14,ロッキンミー,牝3,55.0,斎藤新,0:1:09.1,1,30.6,8.0,446,[東] 杉浦宏昭,1200,晴,芝,良,2025年06月14日,未勝利,2022107050,01178,4-4,35.4
202502010101,11,7,13,プレインコート,牝3,55.0,北村友一,0:1:09.3,3/4,169.1,16.0,406,[西] 吉岡辰弥,1200,晴,芝,良,2025年06月14日,未勝利,2022104646,01102,15-14,34.6
202502010101,12,3,5,レーヌドフルール,牝3,55.0,小沢大仁,0:1:09.5,1.1/4,41.5,10.0,468,[西] 西園正都,1200,晴,芝,良,2025年06月14日,未勝利,2022101922,01185,10-10,35.4
202502010101,13,1,2,リリアンファスト,牝3,55.0,戸崎圭太,0:1:09.5,クビ,164.7,14.0,430,[東] 嘉藤貴行,1200,晴,芝,良,2025年06月14日,未勝利,2022105989,05386,14-14,35.1
202502010101,14,2,4,バックアップアゲン,牝3,55.0,原田和真,0:1:10.4,5,164.8,15.0,474,[東] 千葉直人,1200,晴,芝,良,2025年06月14日,未勝利,2022102689,01143,16-16,35.6
202502010101,15,5,10,サニーネイチャー,牝3,55.0,武豊,0:1:10.8,2.1/2,7.2,4.0,436,[西] 長谷川浩,1200,晴,芝,良,2025年06月14日,未勝利,2022105818,00666,2-2,37.3
202502010101,16,6,11,ミクニキャッチー,牝3,55.0,横山和生,0:1:15.3,大,41.8,11.0,508,[西] 昆貢,1200,晴,芝,良,2025年06月14日,未勝利,2022106820,01140,4-10,41.6
