,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
201903020705,1,6,12,トランシルヴァニア,牡2,54.0,三浦皇成,0:1:53.1,,9.3,5.0,460,[東]  田中剛,1800,小雨,芝,稍重,2019年07月20日,新馬,2017105667,01122,7-6-5-6,36.3
201903020705,2,1,2,セクシーフェイス,牝2,54.0,丸山元気,0:1:53.1,クビ,5.8,3.0,430,[東]  大和田成,1800,小雨,芝,稍重,2019年07月20日,新馬,2017104636,01127,7-8-7-7,36.1
201903020705,3,7,14,オーシャンバローズ,牡2,54.0,戸崎圭太,0:1:53.2,クビ,21.0,7.0,474,[東]  奥村武,1800,小雨,芝,稍重,2019年07月20日,新馬,2017104572,05386,3-3-2-2,36.6
201903020705,4,3,5,マイネルソラス,牡2,54.0,柴田大知,0:1:53.2,クビ,9.2,4.0,454,[東]  和田正一,1800,小雨,芝,稍重,2019年07月20日,新馬,2017101966,01009,1-1-1-2,36.7
201903020705,5,3,6,トリッキーカフェ,牡2,54.0,大野拓弥,0:1:53.5,2,25.3,8.0,452,[東]  和田勇介,1800,小雨,芝,稍重,2019年07月20日,新馬,2017106398,01096,14-13-13-11,36.0
201903020705,6,1,1,ハットルヴァン,牡2,53.0,菊沢一樹,0:1:53.6,アタマ,41.8,10.0,472,[東]  菊沢隆徳,1800,小雨,芝,稍重,2019年07月20日,新馬,2017104825,01161,12-12-11-9,36.3
201903020705,7,8,15,ダビデヴィットリオ,牡2,54.0,江田照男,0:1:53.8,1.1/4,11.6,6.0,472,[東]  武藤善則,1800,小雨,芝,稍重,2019年07月20日,新馬,2017103819,00689,2-2-2-1,37.3
201903020705,8,6,11,グローサーベア,牡2,52.0,木幡育也,0:1:54.4,3.1/2,3.2,1.0,460,[東]  矢野英一,1800,小雨,芝,稍重,2019年07月20日,新馬,2017104766,01167,11-10-7-7,37.4
201903020705,9,7,13,ミスターサンライズ,牡2,53.0,木幡巧也,0:1:54.4,クビ,113.5,15.0,428,[東]  和田正一,1800,小雨,芝,稍重,2019年07月20日,新馬,2017103950,01162,16-15-14-14,36.6
201903020705,10,4,8,ロードカバチ,牡2,52.0,野中悠太,0:1:54.5,3/4,85.1,12.0,424,[東]  菊川正達,1800,小雨,芝,稍重,2019年07月20日,新馬,2017103884,01158,3-4-7-9,37.5
201903020705,11,8,16,ドバウィビクトリー,牡2,54.0,柴田善臣,0:1:54.6,クビ,25.8,9.0,458,[東]  稲垣幸雄,1800,小雨,芝,稍重,2019年07月20日,新馬,2017100722,00641,5-4-4-4,37.9
201903020705,12,4,7,ヤマタケピースフル,牡2,54.0,岩部純二,0:1:54.6,クビ,90.1,13.0,458,[東]  萱野浩二,1800,小雨,芝,稍重,2019年07月20日,新馬,2017103963,00726,7-8-12-11,37.2
201903020705,13,5,9,レヴィ,牝2,54.0,蛯名正義,0:1:55.4,5,108.9,14.0,438,[東]  林徹,1800,小雨,芝,稍重,2019年07月20日,新馬,2017104946,00663,7-10-7-13,38.4
201903020705,14,2,4,マルゼンスター,牡2,51.0,大塚海渡,0:1:55.7,1.3/4,222.0,16.0,496,[東]  勢司和浩,1800,小雨,芝,稍重,2019年07月20日,新馬,2017104585,01175,14-14-14-15,37.9
201903020705,15,2,3,コスモボンバルダ,牡2,54.0,内田博幸,0:1:56.5,5,80.8,11.0,466,[東]  加藤士津,1800,小雨,芝,稍重,2019年07月20日,新馬,2017101978,00422,12-15-16-16,37.6
201903020705,中,5,10,ヴァルトグリーン,牡2,54.0,津村明秀,,,4.8,2.0,416,[東]  相沢郁,1800,小雨,芝,稍重,2019年07月20日,新馬,2017101466,01092,5-6-5-4,
