,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id,通過,上り
202103020201,1,4,6,ゼニット,牡2,52.0,小林脩斗,0:1:48.3,,16.4,5.0,508,[東] 久保田貴,ダート,1700,晴,良,2021年11月07日,未勝利,2019101675,01183,4-3-4-3,40.7
202103020201,2,7,13,キガサ,牝2,51.0,永野猛蔵,0:1:49.3,6,19.6,7.0,438,[東] 堀井雅広,ダート,1700,晴,良,2021年11月07日,未勝利,2019100275,01188,14-15-14-14,39.9
202103020201,3,4,7,コスモガラクシア,牡2,55.0,丹内祐次,0:1:49.4,1/2,3.5,1.0,482,[東] 金成貴史,ダート,1700,晴,良,2021年11月07日,未勝利,2019105736,01091,13-13-12-11,40.3
202103020201,4,8,14,テーオークレール,牡2,55.0,西村淳也,0:1:49.8,2,4.0,2.0,482,[西] 高柳大輔,ダート,1700,晴,良,2021年11月07日,未勝利,2019102311,01171,3-3-2-2,42.4
202103020201,5,6,11,ラインメッセージ,牡2,55.0,武藤雅,0:1:49.9,3/4,18.8,6.0,482,[東] 水野貴広,ダート,1700,晴,良,2021年11月07日,未勝利,2019106542,01169,10-12-9-7,41.5
202103020201,6,5,9,ラスタ,牝2,54.0,木幡巧也,0:1:50.2,2,290.2,14.0,448,[東] 牧光二,ダート,1700,晴,良,2021年11月07日,未勝利,2019106887,01162,14-14-14-13,40.8
202103020201,7,2,3,ノアペルーサ,牡2,52.0,横山琉人,0:1:50.4,1.1/2,297.5,15.0,500,[東] 大江原哲,ダート,1700,晴,良,2021年11月07日,未勝利,2019102296,01192,8-6-6-7,42.3
202103020201,8,3,4,ミストルティン,牡2,51.0,永島まな,0:1:50.5,クビ,4.2,3.0,454,[東] 加藤士津,ダート,1700,晴,良,2021年11月07日,未勝利,2019103090,01187,1-1-1-1,43.2
202103020201,9,8,15,ブエノスアン,牡2,54.0,秋山稔樹,0:1:50.5,クビ,56.4,10.0,464,[東] 大和田成,ダート,1700,晴,良,2021年11月07日,未勝利,2019101481,01181,7-9-9-7,42.1
202103020201,10,5,8,セルゼ,牡2,55.0,柴山雄一,0:1:50.7,1.1/4,42.8,9.0,520,[西] 四位洋文,ダート,1700,晴,良,2021年11月07日,未勝利,2019102560,05243,8-6-6-7,42.7
202103020201,11,1,1,エイシンルパン,牡2,54.0,木幡育也,0:1:50.9,1.1/4,97.1,12.0,466,[東] 田中剛,ダート,1700,晴,良,2021年11月07日,未勝利,2019103179,01167,12-11-9-11,42.5
202103020201,12,2,2,エグモント,牝2,54.0,吉田隼人,0:1:51.6,4,7.4,4.0,510,[西] 浅見秀一,ダート,1700,晴,良,2021年11月07日,未勝利,2019102208,01095,11-10-6-5,43.6
202103020201,13,6,10,ヒラボクレガシー,牡2,54.0,富田暁,0:1:52.0,2.1/2,24.3,8.0,464,[西] 奥村豊,ダート,1700,晴,良,2021年11月07日,未勝利,2019103857,01168,4-5-4-4,44.4
202103020201,14,7,12,ツーエムロケット,牡2,55.0,黛弘人,0:1:55.9,大,147.7,13.0,486,[西] 本田優,ダート,1700,晴,良,2021年11月07日,未勝利,2019101550,01109,6-6-12-15,46.8
202103020201,中,3,5,オーブラック,牡2,52.0,原優介,,,85.9,11.0,492,[東] 青木孝文,ダート,1700,晴,良,2021年11月07日,未勝利,2019103224,01184,2-2-3-6,
