,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202603010606,1,7,10,アスクデッドヒート,牡4,56,古川奈穂,0:2:37.9,,6-5-3-2,35.0,3.4,2,474,[西]矢作芳人,2600,晴,芝,良,2026年04月26日,1勝クラス,2022105839,01190
202603010606,2,4,5,キングズトゥルー,牡4,58,丸田恭介,0:2:38.3,2,8-7-6-4,35.2,3.3,1,462,[東]大竹正博,2600,晴,芝,良,2026年04月26日,1勝クラス,2022103510,01117
202603010606,3,8,13,フララナキラ,牡4,58,菱田裕二,0:2:38.7,2.1/2,4-3-1-1,36.0,16.1,6,444,[西]田中克典,2600,晴,芝,良,2026年04月26日,1勝クラス,2022105543,01144
202603010606,4,4,4,ペネトレイトゴー,セ6,58,杉原誠人,0:2:38.8,1/2,10-7-2-2,36.1,6.2,3,436,[東]戸田博文,2600,晴,芝,良,2026年04月26日,1勝クラス,2020101916,01135
202603010606,5,5,6,キロノヴァ,牡4,56,舟山瑠泉,0:2:38.8,アタマ,12-11-12-11,35.0,12.3,5,436,[東]萩原清,2600,晴,芝,良,2026年04月26日,1勝クラス,2022105289,01221
202603010606,6,1,1,テイキットイージー,牡5,58,菊沢一樹,0:2:39.0,1,10-10-9-7,35.6,22.8,8,444,[東]萱野浩二,2600,晴,芝,良,2026年04月26日,1勝クラス,2021101088,01161
202603010606,7,6,8,シャインフリーリー,牡4,58,黛弘人,0:2:39.3,1.3/4,7-7-10-11,35.7,34.5,11,470,[東]矢嶋大樹,2600,晴,芝,良,2026年04月26日,1勝クラス,2022101495,01109
202603010606,8,3,3,デリシュー,牡5,58,幸英明,0:2:39.6,1.3/4,13-13-10-8,36.0,7.3,4,466,[東]新開幸一,2600,晴,芝,良,2026年04月26日,1勝クラス,2021103037,00732
202603010606,9,2,2,ドゥラシェーナ,牝5,53,大久保友,0:2:40.1,3,4-5-7-8,36.8,19.3,7,474,[西]柴田卓,2600,晴,芝,良,2026年04月26日,1勝クラス,2021102801,01194
202603010606,10,6,9,ニシノエピカリ,牝4,56,野中悠太,0:2:40.5,2.1/2,1-1-4-5,37.5,32.2,10,404,[東]秋本大介,2600,晴,芝,良,2026年04月26日,1勝クラス,2022100724,01158
202603010606,11,7,11,ワイドモヒート,牡5,58,横山琉人,0:2:40.9,2.1/2,2-2-4-5,37.9,47.3,12,510,[西]藤岡健一,2600,晴,芝,良,2026年04月26日,1勝クラス,2021102919,01192
202603010606,12,5,7,ブルージャイアント,牡4,56,長浜鴻緒,0:2:41.2,1.3/4,8-11-13-13,37.2,24.0,9,540,[東]蛯名正義,2600,晴,芝,良,2026年04月26日,1勝クラス,2022101450,01214
202603010606,13,8,12,スラーヴァ,牡5,55,遠藤汰月,0:2:41.7,3.1/2,3-3-7-8,38.5,325.0,13,480,[東]高橋文雅,2600,晴,芝,良,2026年04月26日,1勝クラス,2021103916,01218
