,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202104030604,1,4,7,トーセンマーク,牡3,56.0,内田博幸,0:1:54.3,,21.6,6.0,510,[東] 古賀慎明,1800,曇,ダート,良,2021年08月08日,未勝利,2018105670,00422,11-11-7-7,38.1
202104030604,2,8,15,イモータルソウル,牡3,56.0,丸田恭介,0:1:54.4,1/2,34.6,8.0,478,[東] 畠山吉宏,1800,曇,ダート,良,2021年08月08日,未勝利,2018103802,01117,14-14-10-10,37.6
202104030604,3,6,11,ヨロシオスナ,牡3,56.0,松山弘平,0:1:54.8,2.1/2,1.5,1.0,512,[西] 角田晃一,1800,曇,ダート,良,2021年08月08日,未勝利,2018106232,01126,1-1-1-1,39.4
202104030604,4,3,5,ウインブランカ,牝3,53.0,富田暁,0:1:54.9,1/2,11.1,5.0,446,[西] 梅田智之,1800,曇,ダート,良,2021年08月08日,未勝利,2018101086,01168,3-2-3-3,39.2
202104030604,5,6,10,モーガン,牡3,56.0,鮫島克駿,0:1:55.0,1/2,7.2,2.0,472,[西] 橋口慎介,1800,曇,ダート,良,2021年08月08日,未勝利,2018106158,01157,7-6-2-2,39.6
202104030604,6,3,4,ピースアンドリンゴ,牡3,56.0,丸山元気,0:1:55.1,3/4,76.9,11.0,464,[東] 和田雄二,1800,曇,ダート,良,2021年08月08日,未勝利,2018103856,01127,11-11-9-9,38.6
202104030604,7,5,8,ミスターサファリ,牡3,56.0,藤岡康太,0:1:55.1,クビ,22.9,7.0,504,[西] 藤岡健一,1800,曇,ダート,良,2021年08月08日,未勝利,2018105039,01116,6-5-4-5,39.1
202104030604,8,2,2,メイショウシマト,牡3,56.0,田中健,0:1:55.3,1.1/4,242.1,13.0,488,[西] 飯田祐史,1800,曇,ダート,良,2021年08月08日,未勝利,2018106712,01114,2-2-4-4,39.3
202104030604,9,7,12,トーテムポール,牡3,53.0,角田大和,0:1:56.4,7,9.9,4.0,476,[西] 大久保龍,1800,曇,ダート,良,2021年08月08日,未勝利,2018110027,01186,9-8-4-5,40.5
202104030604,10,2,3,シータリズム,牝3,54.0,石橋脩,0:1:58.3,大,46.5,9.0,448,[東] 堀宣行,1800,曇,ダート,良,2021年08月08日,未勝利,2018110006,01077,7-8-8-7,41.9
202104030604,11,5,9,フレディアーノ,牡3,55.0,斎藤新,0:1:58.4,クビ,290.2,15.0,536,[西] 茶木太樹,1800,曇,ダート,良,2021年08月08日,未勝利,2018105567,01178,15-15-14-12,41.0
202104030604,12,4,6,タガノディラン,セ3,56.0,和田翼,0:1:59.0,3.1/2,9.6,3.0,502,[西] 小林真也,1800,曇,ダート,良,2021年08月08日,未勝利,2018101952,01146,9-10-11-14,41.8
202104030604,13,8,14,カラヴェッラ,牝3,53.0,木幡育也,0:1:59.0,ハナ,85.7,12.0,450,[東] 高柳瑞樹,1800,曇,ダート,良,2021年08月08日,未勝利,2018104924,01167,13-13-14-15,41.5
202104030604,14,1,1,ネオアスペクト,牡3,53.0,永野猛蔵,0:2:00.3,8,64.7,10.0,506,[東] 鹿戸雄一,1800,曇,ダート,良,2021年08月08日,未勝利,2018110039,01188,5-6-11-11,43.2
202104030604,15,7,13,トムティット,牝3,51.0,松本大輝,0:2:01.3,6,275.5,14.0,442,[西] 中竹和也,1800,曇,ダート,良,2021年08月08日,未勝利,2018103128,01191,3-2-11-12,44.2
