,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id,通過,上り
202204010101,1,3,3,ゼノヴァース,牡5,60.0,森一馬,0:3:05.5,nan,3.9,1.0,462,[西] 小林真也,障害,2890,晴,良,2022年05月07日,オープン,2017106553,01139,8-6-4-3,12.8
202204010101,2,7,12,マリオ,牡7,60.0,平沢健治,0:3:06.5,6,6.5,4.0,516,[西] 安達昭夫,障害,2890,晴,良,2022年05月07日,オープン,2015102215,01067,2-2-2-3,12.9
202204010101,3,8,14,ゲインスプレマシー,セ6,60.0,石神深一,0:3:06.6,3/4,15.1,8.0,482,[東] 高柳瑞樹,障害,2890,晴,良,2022年05月07日,オープン,2016104517,01059,10-9-6-6,12.9
202204010101,4,4,5,キーパンチ,牡5,60.0,田村太雅,0:3:06.7,3/4,110.0,14.0,468,[西] 宮徹,障害,2890,晴,良,2022年05月07日,オープン,2017101685,01105,12-12-9-7,12.9
202204010101,5,1,1,テイエムクロムシャ,牡6,60.0,植野貴也,0:3:06.9,1.1/4,13.2,6.0,494,[西] 鈴木孝志,障害,2890,晴,良,2022年05月07日,オープン,2016101938,00727,11-11-7-7,12.9
202204010101,6,7,11,テリオスルイ,牡4,59.0,中村将之,0:3:07.3,2.1/2,12.4,5.0,468,[西] 松下武士,障害,2890,晴,良,2022年05月07日,オープン,2018102953,01101,4-3-2-2,13.0
202204010101,7,2,2,スズカフロンティア,牡8,60.0,北沢伸也,0:3:07.5,1,5.2,2.0,448,[西] 橋田満,障害,2890,晴,良,2022年05月07日,オープン,2014103358,00691,3-3-4-5,13.0
202204010101,8,6,9,テイエムコンドル,牡11,60.0,伴啓太,0:3:07.5,クビ,13.3,7.0,466,[東] 石栗龍彦,障害,2890,晴,良,2022年05月07日,オープン,2011100643,01149,14-13-11-9,13.0
202204010101,9,8,13,サンティーニ,セ7,60.0,五十嵐雄,0:3:07.8,1.3/4,18.5,9.0,492,[東] 尾関知人,障害,2890,晴,良,2022年05月07日,オープン,2015103138,01069,5-6-13-12,13.0
202204010101,10,5,8,マイネルパラディ,セ8,60.0,白浜雄造,0:3:08.4,3.1/2,19.5,10.0,484,[西] 吉田直弘,障害,2890,晴,良,2022年05月07日,オープン,2014100814,01035,7-8-9-10,13.0
202204010101,11,6,10,タマノジュメイラ,牝6,58.0,草野太郎,0:3:08.5,1/2,44.8,13.0,490,[東] 伊藤大士,障害,2890,晴,良,2022年05月07日,オープン,2016102174,01113,1-1-1-1,13.0
202204010101,12,5,7,サトノファイター,牡6,62.0,黒岩悠,0:3:09.3,5,6.0,3.0,480,[西] 高橋亮,障害,2890,晴,良,2022年05月07日,オープン,2016104257,01072,12-13-12-12,13.1
202204010101,13,3,4,クリエイトザライフ,セ6,57.0,小牧加矢,0:3:10.0,4,34.1,11.0,496,[西] 吉岡辰弥,障害,2890,晴,良,2022年05月07日,オープン,2016105987,01196,9-9-8-10,13.1
202204010101,中,4,6,テンザワールド,牡8,60.0,西谷誠,nan,nan,36.4,12.0,442,[西] 大久保龍,障害,2890,晴,良,2022年05月07日,オープン,2014104092,01005,5-5,
202204010102,1,5,6,サパテアール,牡3,56.0,丹内祐次,0:1:54.8,nan,2.5,1.0,512,[東] 畠山吉宏,ダート,1800,晴,良,2022年05月07日,未勝利,2019102514,01091,2-2-2-2,38.8
202204010102,2,1,1,ベニッシモ,牡3,56.0,丸山元気,0:1:55.2,2,3.4,2.0,476,[東] 伊藤大士,ダート,1800,晴,良,2022年05月07日,未勝利,2019101746,01127,1-1-1-1,39.4
202204010102,3,4,4,アレマーナ,牝3,54.0,坂井瑠星,0:1:55.7,3,6.5,4.0,468,[西] 松下武士,ダート,1800,晴,良,2022年05月07日,未勝利,2019105391,01163,3-5-5-5,39.4
