,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id,通過,上り
202504020112,1,2,4,ポッドロルフ,牡3,57.0,荻野極,0:1:20.8,,41.9,8.0,456,[東] 小野次郎,芝,1400,晴,良,2025年07月26日,未勝利,2022100700,01160,7-7,34.8
202504020112,2,5,10,タイヨウノキセツ,牡3,57.0,三浦皇成,0:1:21.0,1.1/4,4.4,2.0,442,[東] 高柳瑞樹,芝,1400,晴,良,2025年07月26日,未勝利,2022100277,01122,3-3,35.5
202504020112,3,1,1,アユツリー,牝3,55.0,菅原明良,0:1:21.0,ハナ,13.3,5.0,420,[東] 久保田貴,芝,1400,晴,良,2025年07月26日,未勝利,2022104318,01179,10-9,34.7
202504020112,4,1,2,タイキオーベロン,牡3,54.0,石神深道,0:1:21.1,クビ,166.7,13.0,452,[東] 高木登,芝,1400,晴,良,2025年07月26日,未勝利,2022103155,01209,7-7,35.1
202504020112,5,8,16,オカゲサン,牡3,57.0,横山琉人,0:1:21.1,クビ,11.1,3.0,500,[東] 尾形和幸,芝,1400,晴,良,2025年07月26日,未勝利,2022104068,01192,14-13,34.4
202504020112,6,3,6,マリノテレージア,牝3,55.0,石橋脩,0:1:21.2,3/4,29.9,7.0,430,[東] 牧光二,芝,1400,晴,良,2025年07月26日,未勝利,2022101298,01077,4-5,35.6
202504020112,7,7,13,ダンケルド,牡3,57.0,戸崎圭太,0:1:21.3,クビ,1.7,1.0,502,[東] 森一誠,芝,1400,晴,良,2025年07月26日,未勝利,2022104722,05386,1-1,36.3
202504020112,8,8,17,ミエノシリウス,牡3,57.0,丸田恭介,0:1:21.4,3/4,236.7,14.0,446,[東] 田中勝春,芝,1400,晴,良,2025年07月26日,未勝利,2022100051,01117,11-11,34.9
202504020112,9,8,15,ポッドデューク,牡3,57.0,杉原誠人,0:1:21.4,クビ,13.2,4.0,480,[東] 栗田徹,芝,1400,晴,良,2025年07月26日,未勝利,2022105316,01135,4-3,35.8
202504020112,10,5,9,ヘヴンリーゴール,牡3,57.0,吉田豊,0:1:21.4,ハナ,64.2,9.0,462,[東] 戸田博文,芝,1400,晴,良,2025年07月26日,未勝利,2022101194,00733,15-15,34.5
202504020112,11,2,3,サイモングリット,牡3,57.0,石川裕紀,0:1:21.5,クビ,71.7,11.0,466,[東] 勢司和浩,芝,1400,晴,良,2025年07月26日,未勝利,2022101509,01150,17-16,33.9
202504020112,12,3,5,ハイダウェイ,牡3,54.0,遠藤汰月,0:1:21.7,1.1/2,322.0,17.0,476,[東] 伊藤伸一,芝,1400,晴,良,2025年07月26日,未勝利,2022106009,01218,16-16,34.4
202504020112,13,7,14,ウーバーミッション,牝3,52.0,佐藤翔馬,0:1:21.8,1/2,276.5,15.0,432,[東] 小西一男,芝,1400,晴,良,2025年07月26日,未勝利,2022104572,01207,11-11,35.2
202504020112,14,4,8,ロンディネ,牝3,55.0,菊沢一樹,0:1:22.0,1.1/4,64.7,10.0,424,[東] 菊沢隆徳,芝,1400,晴,良,2025年07月26日,未勝利,2022107001,01161,4-5,36.3
202504020112,15,6,12,マテンロウバディ,牡3,55.0,今村聖奈,0:1:22.3,1.3/4,15.0,6.0,448,[東] 久保田貴,芝,1400,晴,良,2025年07月26日,未勝利,2022106536,01193,2-2,37.0
202504020112,16,6,11,ケノファニース,牝3,52.0,水沼元輝,0:1:22.6,1.3/4,290.2,16.0,398,[東] 池上昌和,芝,1400,晴,良,2025年07月26日,未勝利,2022105357,01201,7-9,36.6
202504020112,17,4,7,ソロフィオーレ,牝3,52.0,石田拓郎,0:1:25.1,大,98.3,12.0,420,[東] 相沢郁,芝,1400,晴,良,2025年07月26日,未勝利,2022101483,01203,11-14,38.6
