,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id
202604010105,1,7,13,アイアムアヒーロー,牡3,57,石川裕紀,0:1:23.6,,15-14,36.2,8.9,3,470,[東]奥平雅士,芝,1400,晴,稍重,2026年05月02日,未勝利,2023102209,01150
202604010105,2,5,10,スカイピア,牝3,52,森田誠也,0:1:23.8,1,6-6,37.2,50.6,11,438,[西]前川恭子,芝,1400,晴,稍重,2026年05月02日,未勝利,2023110026,01222
202604010105,3,8,16,マリノリュミエール,牝3,51,河原田菜,0:1:23.8,ハナ,8-8,37.0,90.6,14,450,[東]村田一誠,芝,1400,晴,稍重,2026年05月02日,未勝利,2023100794,01204
202604010105,4,5,9,ヤマニンアレシス,牡3,57,丹内祐次,0:1:23.9,1/2,3-4,37.5,1.8,1,458,[東]堀内岳志,芝,1400,晴,稍重,2026年05月02日,未勝利,2023104357,01091
202604010105,5,7,14,ツウキンカイソク,牡3,57,菊沢一樹,0:1:23.9,クビ,6-6,37.2,5.3,2,466,[東]岩戸孝樹,芝,1400,晴,稍重,2026年05月02日,未勝利,2023104341,01161
202604010105,6,6,12,モンテール,セ3,57,横山琉人,0:1:23.9,ハナ,10-10,36.9,58.1,12,434,[東]栗田徹,芝,1400,晴,稍重,2026年05月02日,未勝利,2023104404,01192
202604010105,7,4,8,ヘクトルテソーロ,牡3,55,舟山瑠泉,0:1:23.9,ハナ,3-3,37.6,18.4,6,458,[東]畠山吉宏,芝,1400,晴,稍重,2026年05月02日,未勝利,2023106757,01221
202604010105,8,1,2,ヤマカンドリーミン,牡3,57,ゴンサル,0:1:24.4,3,10-10,37.4,24.6,7,446,[東]和田勇介,芝,1400,晴,稍重,2026年05月02日,未勝利,2023106660,05675
202604010105,9,4,7,トウカイツバキ,牝3,55,亀田温心,0:1:24.5,クビ,8-8,37.7,44.7,10,392,[西]北出成人,芝,1400,晴,稍重,2026年05月02日,未勝利,2023105482,01176
202604010105,10,3,5,アップターンデイ,牡3,57,吉田隼人,0:1:24.6,1,3-4,38.3,13.5,5,492,[西]藤岡健一,芝,1400,晴,稍重,2026年05月02日,未勝利,2023106772,01095
202604010105,11,1,1,ヤングジャガー,牡3,54,和田陽希,0:1:24.6,クビ,1-1,38.5,43.3,9,450,[西]羽月友彦,芝,1400,晴,稍重,2026年05月02日,未勝利,2023106514,01223
202604010105,12,6,11,アメジストロード,牡3,55,田山旺佑,0:1:24.7,1/2,10-13,37.7,38.0,8,504,[西]新谷功一,芝,1400,晴,稍重,2026年05月02日,未勝利,2023101744,01220
202604010105,13,2,4,ディオレガーロ,牝3,55,斎藤新,0:1:25.0,1.3/4,10-10,38.0,11.4,4,454,[西]長谷川浩,芝,1400,晴,稍重,2026年05月02日,未勝利,2023107038,01178
202604010105,14,3,6,マリノマーベラス,牝3,55,中井裕二,0:1:25.1,3/4,2-2,38.9,184.2,16,420,[東]田島俊明,芝,1400,晴,稍重,2026年05月02日,未勝利,2023100815,01141
202604010105,15,8,15,ノベンバーベイズ,牝3,52,遠藤汰月,0:1:25.4,1.3/4,14-14,38.1,58.2,13,424,[東]岩戸孝樹,芝,1400,晴,稍重,2026年05月02日,未勝利,2023102900,01218
202604010105,16,2,3,ビーチボール,牝3,53,永島まな,0:1:25.7,1.3/4,16-16,37.8,139.2,15,404,[西]高橋康之,芝,1400,晴,稍重,2026年05月02日,未勝利,2023101732,01187
