,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202105010310,1,7,13,エイムアンドエンド,牡6,55.0,石橋脩,0:1:21.2,,13.5,6.0,504,[東] 奥村武,1400,晴,芝,良,2021年02月06日,2勝クラス,2015104161,01077,3-3,34.1
202105010310,2,1,2,グレイテスト,牝5,53.0,津村明秀,0:1:21.3,3/4,8.1,3.0,484,[東] 武市康男,1400,晴,芝,良,2021年02月06日,2勝クラス,2016103228,01092,1-1,34.8
202105010310,3,2,3,エクレアスピード,セ5,54.0,嘉藤貴行,0:1:21.5,3/4,45.7,14.0,478,[東] 大和田成,1400,晴,芝,良,2021年02月06日,2勝クラス,2016100097,01051,7-8,33.9
202105010310,4,1,1,トロシュナ,牝5,52.0,北村宏司,0:1:21.7,1.1/4,6.2,2.0,476,[東] 大竹正博,1400,晴,芝,良,2021年02月06日,2勝クラス,2016104526,01043,4-4,34.3
202105010310,5,8,16,ヘイワノツカイ,牡5,54.0,石川裕紀,0:1:21.7,ハナ,14.9,8.0,456,[東] 相沢郁,1400,晴,芝,良,2021年02月06日,2勝クラス,2016103668,01150,4-4,34.4
202105010310,6,4,7,シュバルツボンバー,セ6,55.0,三浦皇成,0:1:21.8,3/4,14.7,7.0,524,[東] 本間忍,1400,晴,芝,良,2021年02月06日,2勝クラス,2015104811,01122,15-15,33.3
202105010310,7,8,15,ロジアイリッシュ,牝4,53.0,丸山元気,0:1:21.8,ハナ,8.9,4.0,512,[東] 国枝栄,1400,晴,芝,良,2021年02月06日,2勝クラス,2017105289,01127,11-11,33.8
202105010310,8,4,8,コスモヨハネ,牡9,54.0,柴田大知,0:1:21.8,ハナ,40.5,13.0,498,[東] 高橋裕,1400,晴,芝,良,2021年02月06日,2勝クラス,2012102070,01009,11-11,33.8
202105010310,9,5,9,シトラスノキセキ,牝5,52.0,吉田豊,0:1:21.8,ハナ,74.1,15.0,438,[東] 加藤征弘,1400,晴,芝,良,2021年02月06日,2勝クラス,2016105038,00733,9-9,34.0
202105010310,10,3,5,セイウンパワフル,牡4,54.0,内田博幸,0:1:21.8,アタマ,18.8,11.0,476,[東] 斎藤誠,1400,晴,芝,良,2021年02月06日,2勝クラス,2017103722,00422,9-9,34.0
202105010310,11,2,4,ノヴェッラ,牝5,52.0,野中悠太,0:1:21.9,1/2,15.2,10.0,492,[東] 宮田敬介,1400,晴,芝,良,2021年02月06日,2勝クラス,2016103297,01158,6-6,34.4
202105010310,12,5,10,ココフィーユ,牝5,52.0,田中勝春,0:1:22.0,1/2,34.4,12.0,450,[東] 斎藤誠,1400,晴,芝,良,2021年02月06日,2勝クラス,2016105199,00684,7-6,34.5
202105010310,13,3,6,アシェット,牝6,51.0,武士沢友,0:1:22.0,ハナ,14.9,9.0,436,[東] 高橋文雅,1400,晴,芝,良,2021年02月06日,2勝クラス,2015106344,01029,13-13,33.7
202105010310,14,6,11,ヤマニンプレシオサ,牝4,53.0,江田照男,0:1:22.0,アタマ,12.7,5.0,472,[東] 星野忍,1400,晴,芝,良,2021年02月06日,2勝クラス,2017103123,00689,13-13,33.7
202105010310,15,7,14,スイートセント,牝5,52.0,横山武史,0:1:22.1,1/2,3.4,1.0,446,[東] 栗田徹,1400,晴,芝,良,2021年02月06日,2勝クラス,2016104820,01170,15-15,33.5
202105010310,16,6,12,トモジャファイブ,牡5,53.0,杉原誠人,0:1:22.6,2.1/2,204.8,16.0,508,[東] 鈴木伸尋,1400,晴,芝,良,2021年02月06日,2勝クラス,2016101035,01135,2-2,35.7
