,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202605021202,1,3,6,トワイライトビュー,牡3,57,原優介,0:1:26.0,,3-2,37.8,3.3,2,514,[東]中川公成,1400,曇,ダート,良,2026年05月31日,未勝利,2023105474,01184
202605021202,2,2,4,キリミツ,牡3,57,石橋脩,0:1:26.0,アタマ,3-4,37.6,6.6,4,446,[東]勢司和浩,1400,曇,ダート,良,2026年05月31日,未勝利,2023100307,01077
202605021202,3,5,9,ショウナンタヅナ,牡3,57,津村明秀,0:1:26.6,3.1/2,16-14,36.7,123.5,12,466,[東]武市康男,1400,曇,ダート,良,2026年05月31日,未勝利,2023100531,01092
202605021202,4,1,2,ジャメビュ,牝3,52,遠藤汰月,0:1:26.8,1.1/4,10-10,37.4,37.8,7,420,[東]佐藤吉勝,1400,曇,ダート,良,2026年05月31日,未勝利,2023102401,01218
202605021202,5,7,13,ミラビリオン,牡3,57,ゴンサル,0:1:26.9,3/4,6-4,38.4,5.2,3,486,[東]伊坂重信,1400,曇,ダート,良,2026年05月31日,未勝利,2023102422,05675
202605021202,6,3,5,グランマエストロ,牡3,57,ルメール,0:1:26.9,ハナ,5-4,38.4,2.3,1,496,[東]木村哲也,1400,曇,ダート,良,2026年05月31日,未勝利,2023106986,05339
202605021202,7,2,3,セイカユウヒ,牡3,57,丹内祐次,0:1:26.9,アタマ,8-7,38.1,166.3,13,410,[東]石栗龍彦,1400,曇,ダート,良,2026年05月31日,未勝利,2023104140,01091
202605021202,8,1,1,ユニバーサルラヴ,牝3,55,佐々木大,0:1:27.0,1/2,9-8,38.0,65.9,10,434,[東]尾関知人,1400,曇,ダート,良,2026年05月31日,未勝利,2023105652,01197
202605021202,9,4,7,ピュアクローム,牡3,57,吉田豊,0:1:27.2,1.1/4,10-10,37.9,29.6,6,426,[東]小手川準,1400,曇,ダート,良,2026年05月31日,未勝利,2023100595,00733
202605021202,10,6,11,ホウオウライセンス,牡3,57,横山武史,0:1:27.2,クビ,6-9,38.1,21.8,5,498,[東]稲垣幸雄,1400,曇,ダート,良,2026年05月31日,未勝利,2023102400,01170
202605021202,11,5,10,テラシエスタ,牡3,57,木幡巧也,0:1:27.6,2.1/2,14-12,38.1,49.5,8,460,[東]黒岩陽一,1400,曇,ダート,良,2026年05月31日,未勝利,2023102548,01162
202605021202,12,8,15,タイヨウノユビワ,牝3,55,横山琉人,0:1:27.7,3/4,14-14,37.8,90.1,11,480,[東]小島茂之,1400,曇,ダート,良,2026年05月31日,未勝利,2023106521,01192
202605021202,13,8,16,ゴールデンボート,セ3,57,江田照男,0:1:28.3,3.1/2,12-16,38.3,256.7,14,452,[東]矢野英一,1400,曇,ダート,良,2026年05月31日,未勝利,2023100862,00689
202605021202,14,7,14,セランディア,牝3,52,大久保友,0:1:28.6,2,1-1,40.6,642.3,16,454,[東]小野次郎,1400,曇,ダート,良,2026年05月31日,未勝利,2023106156,01194
202605021202,15,4,8,カテドラルクォーツ,牡3,57,菊沢一樹,0:1:29.3,4,12-13,39.6,62.0,9,476,[東]菊沢隆徳,1400,曇,ダート,良,2026年05月31日,未勝利,2023103668,01161
202605021202,16,6,12,ビーストウォーズ,牡3,55,舟山瑠泉,0:1:34.0,大,2-2,45.8,342.3,15,468,[東]松山将樹,1400,曇,ダート,良,2026年05月31日,未勝利,2023104891,01221
