,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202605030111,1,5,9,メリディアンスター,牡4,56.0,ディー,0:1:23.0,,2.0,3.2,35.0,,美浦 加藤征,494(+4)
202605030111,2,6,12,スナッピードレッサ,牡4,57.0,レーン,0:1:23.0,クビ,1.0,2.0,35.4,,美浦 大竹,508(-2)
202605030111,3,4,8,ピエマンソン,牡4,56.0,丹内,0:1:23.6,3.1/2,6.0,24.1,35.3,,栗東 平田,486(0)
202605030111,4,8,15,メイショウツヨキ,牡4,55.0,横山和,0:1:23.6,クビ,9.0,38.3,36.4,,栗東 飯田,470(-12)
202605030111,5,3,5,モーニングマジック,牝4,54.0,三浦,0:1:23.6,ハナ,4.0,15.0,35.7,,美浦 武藤,544(+4)
202605030111,6,5,10,クインズデネブ,牝5,54.0,吉田豊,0:1:23.7,クビ,12.0,75.1,34.9,,美浦 小島,432(+10)
202605030111,7,1,1,ドンレパルス,牡7,57.0,菅原明,0:1:23.8,1/2,7.0,35.2,35.8,,美浦 高木,522(0)
202605030111,8,7,14,ワンダラー,牡4,57.0,横山武,0:1:23.9,3/4,11.0,69.3,35.3,,美浦 黒岩,536(+2)
202605030111,9,2,3,グレイテストソング,牡4,55.0,長浜,0:1:24.2,1.3/4,15.0,223.7,35.9,,美浦 小笠,440(+2)
202605030111,10,3,6,セミマル,牡6,56.0,ルメー,0:1:24.3,クビ,3.0,7.8,35.4,,栗東 西村,532(-4)
202605030111,11,7,13,シャパリュ,セ5,55.0,菊沢,0:1:24.3,クビ,13.0,78.6,37.0,,美浦 菊沢,534(+2)
202605030111,12,6,11,オペラプラージュ,セ5,53.0,荻野極,0:1:24.8,3,14.0,138.6,35.7,,美浦 上原佑,510(+2)
202605030111,13,8,16,シュヴァルボヌール,牝4,54.0,ゴンサ,0:1:25.0,1.1/4,10.0,50.5,37.7,,美浦 加藤征,488(+2)
202605030111,14,4,7,エイプリルインパリ,牝4,53.0,小崎,0:1:26.3,8,8.0,37.5,39.1,,栗東 高橋忠,456(-10)
202605030111,15,2,4,ゴールドハンマー,牝4,53.0,横山典,0:1:26.5,1.1/2,5.0,17.5,38.7,,美浦 村田,492(+2)
202605030111,除外,1,2,オレデイイノカ,牡8,53.0,松岡,,,,,,,美浦 古賀慎,518(+4)
