,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202506030104,1,7,13,マイネルフーガ,牡3,57.0,横山武史,0:1:50.0,,2.2,1.0,468,[東] 鈴木慎太,1800,雨,芝,稍重,2025年03月29日,未勝利,2022106813,01170,10-10-3-3,37.4
202506030104,2,1,1,サクラファレル,牡3,57.0,モレイラ,0:1:50.1,3/4,2.3,2.0,510,[東] 堀宣行,1800,雨,芝,稍重,2025年03月29日,未勝利,2022104094,05509,4-4-5-6,37.2
202506030104,3,6,12,ゴガツノアマノガワ,牡3,57.0,石橋脩,0:1:50.1,クビ,98.6,9.0,444,[東] 清水英克,1800,雨,芝,稍重,2025年03月29日,未勝利,2022100922,01077,1-1-1-1,37.8
202506030104,4,5,9,クラウンアールシー,牡3,54.0,上里直汰,0:1:50.2,クビ,34.9,6.0,460,[東] 加藤士津,1800,雨,芝,稍重,2025年03月29日,未勝利,2022101286,01217,6-4-2-2,37.8
202506030104,5,8,16,マイネルトラオム,牡3,57.0,丹内祐次,0:1:50.4,1.1/2,57.0,8.0,474,[東] 深山雅史,1800,雨,芝,稍重,2025年03月29日,未勝利,2022100979,01091,2-2-3-4,37.8
202506030104,6,2,4,センジュコスモス,牝3,55.0,丸田恭介,0:1:50.5,クビ,145.0,13.0,442,[東] 南田美知,1800,雨,芝,稍重,2025年03月29日,未勝利,2022103083,01117,6-7-7-7,37.4
202506030104,7,1,2,リザードアイランド,牡3,57.0,横山和生,0:1:50.6,1/2,6.0,3.0,486,[東] 田村康仁,1800,雨,芝,稍重,2025年03月29日,未勝利,2022105276,01140,4-6-5-4,37.7
202506030104,8,7,14,ヤマニンパルフェ,牝3,55.0,原優介,0:1:51.3,4,25.5,5.0,488,[東] 辻哲英,1800,雨,芝,稍重,2025年03月29日,未勝利,2022106608,01184,6-7-7-7,38.2
202506030104,9,3,5,テクニコス,牡3,57.0,松岡正海,0:1:51.8,3,122.7,12.0,452,[東] 田中剛,1800,雨,芝,稍重,2025年03月29日,未勝利,2022105412,01085,11-11-11-10,37.8
202506030104,10,3,6,アドマイヤコーク,牡3,57.0,津村明秀,0:1:51.9,3/4,14.9,4.0,446,[東] 宮田敬介,1800,雨,芝,稍重,2025年03月29日,未勝利,2022105523,01092,16-16-15-14,37.1
202506030104,11,5,10,ロワゾブルー,牝3,55.0,菅原明良,0:1:52.0,1/2,54.0,7.0,426,[東] 小島茂之,1800,雨,芝,稍重,2025年03月29日,未勝利,2022103559,01179,6-7-7-9,38.9
202506030104,12,2,3,スノーリン,牡3,57.0,杉原誠人,0:1:52.1,3/4,115.1,11.0,454,[東] 西田雄一,1800,雨,芝,稍重,2025年03月29日,未勝利,2022103588,01135,14-14-14-12,37.6
202506030104,13,6,11,テクスチャー,牝3,55.0,石川裕紀,0:1:52.2,1/2,482.2,16.0,410,[東] 和田正一,1800,雨,芝,稍重,2025年03月29日,未勝利,2022101240,01150,12-12-13-10,37.9
202506030104,14,4,8,ミスブランニュデイ,牝3,55.0,北村友一,0:1:52.4,1.1/4,100.4,10.0,462,[東] 菊川正達,1800,雨,芝,稍重,2025年03月29日,未勝利,2022102671,01102,15-15-16-16,37.1
202506030104,15,4,7,ニシノドロシー,牝3,55.0,野中悠太,0:1:53.9,9,358.0,15.0,434,[東] 本間忍,1800,雨,芝,稍重,2025年03月29日,未勝利,2022100679,01158,13-12-12-14,39.8
202506030104,16,8,15,リケアダージリン,牝3,55.0,吉田豊,0:1:54.6,4,148.0,14.0,408,[東] 小野次郎,1800,雨,芝,稍重,2025年03月29日,未勝利,2022104576,00733,2-3-10-13,41.4
