,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202606010806,1,7,11,クラウトロック,牡3,57,戸崎圭太,0:1:54.7,,10-10-4-3,38.4,2.4,1,536,[東]加藤征弘,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023107080,05386
202606010806,2,4,4,ガンダ,牡3,57,菅原明良,0:1:55.0,1.3/4,1-1-1-1,38.9,60.0,10,492,[東]斎藤誠,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023101383,01179
202606010806,3,6,9,リヒトミューレ,牡3,57,津村明秀,0:1:55.1,3/4,3-3-4-4,38.8,25.5,7,510,[西]中村直也,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023107295,01092
202606010806,4,5,6,ショウナンパトス,牡3,57,横山和生,0:1:55.4,1.1/2,5-5-6-6,38.9,6.1,4,450,[東]中舘英二,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023105771,01140
202606010806,5,7,10,ユアフェリシティ,牡3,57,原田和真,0:1:55.6,1.1/4,3-3-2-2,39.4,6.0,3,486,[東]千葉直人,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023105137,01143
202606010806,6,3,3,ラフレードピエル,牡3,57,木幡巧也,0:1:55.9,1.3/4,10-10-7-6,39.3,259.9,13,452,[東]萱野浩二,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023105664,01162
202606010806,7,2,2,ロンギングフォユー,牝3,55,荻野極,0:1:55.9,クビ,8-8-10-8,39.0,4.2,2,474,[東]大竹正博,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023103389,01160
202606010806,8,5,7,タイセツナヒ,牡3,57,原優介,0:1:55.9,アタマ,12-12-10-8,39.0,77.1,11,476,[東]杉浦宏昭,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023102352,01184
202606010806,9,8,12,アースインハマー,牡3,57,キング,0:1:57.1,7,8-8-7-10,40.4,10.5,5,504,[東]奥村武,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023104816,05643
202606010806,10,1,1,ニャンタロウ,牡3,57,三浦皇成,0:1:57.3,1.1/4,13-13-10-12,40.4,51.3,9,464,[東]武市康男,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023104151,01122
202606010806,11,6,8,アジアントレジャー,牡3,55,長浜鴻緒,0:1:57.8,2.1/2,2-2-2-4,41.6,178.1,12,510,[東]蛯名正義,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023102392,01214
202606010806,12,4,5,ケントン,牡3,57,佐々木大,0:1:57.9,3/4,5-6-7-10,41.2,15.9,6,494,[東]田島俊明,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023103824,01197
202606010806,13,8,13,セントゴーデンス,牡3,57,石橋脩,0:1:59.1,7,5-6-13-13,41.7,40.1,8,524,[東]黒岩陽一,1800,晴,ダート,良,2026年01月24日,1勝クラス,2023107296,01077
