,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202207010109,1,5,9,ボンディマンシュ,セ6,57.0,藤岡佑介,0:1:24.0,,4.0,2.0,500,[西] 中内田充,1400,晴,ダート,良,2022年01月05日,3勝クラス,2016104822,01093,8-8,37.0
202207010109,2,2,3,ヴァルキュリア,牝5,55.0,Ｃ．デム,0:1:24.2,1.1/4,3.8,1.0,480,[西] 大久保龍,1400,晴,ダート,良,2022年01月05日,3勝クラス,2017105498,05473,15-14,35.9
202207010109,3,3,5,ブッチーニ,牝6,55.0,川田将雅,0:1:24.2,クビ,9.0,4.0,438,[西] 中内田充,1400,晴,ダート,良,2022年01月05日,3勝クラス,2016104496,01088,6-6,37.4
202207010109,4,8,16,オーマイガイ,牡9,57.0,亀田温心,0:1:24.5,1.3/4,13.3,5.0,484,[西] 河内洋,1400,晴,ダート,良,2022年01月05日,3勝クラス,2013106472,01176,2-2,38.5
202207010109,5,1,1,ボイラーハウス,牡4,56.0,江田照男,0:1:24.5,クビ,4.4,3.0,502,[東] 竹内正洋,1400,晴,ダート,良,2022年01月05日,3勝クラス,2018106183,00689,11-10,37.2
202207010109,6,7,13,メイショウハナモリ,牡6,57.0,松山弘平,0:1:24.6,クビ,18.2,6.0,520,[西] 本田優,1400,晴,ダート,良,2022年01月05日,3勝クラス,2016104193,01126,1-1,38.7
202207010109,7,1,2,ホッコーアカツキ,牡5,57.0,国分優作,0:1:24.7,1/2,45.9,14.0,510,[西] 畑端省吾,1400,晴,ダート,良,2022年01月05日,3勝クラス,2017100197,01125,9-10,37.6
202207010109,8,3,6,シェパードボーイ,牡6,57.0,岩田望来,0:1:24.7,ハナ,36.0,12.0,456,[西] 大久保龍,1400,晴,ダート,良,2022年01月05日,3勝クラス,2016104952,01174,14-12,36.7
202207010109,9,5,10,タガノプレトリア,牡7,57.0,藤岡康太,0:1:24.8,1/2,144.6,15.0,486,[西] 宮徹,1400,晴,ダート,良,2022年01月05日,3勝クラス,2015100524,01116,12-12,37.1
202207010109,10,2,4,ダノングリスター,セ6,57.0,岩田康誠,0:1:24.8,クビ,33.8,10.0,500,[西] 寺島良,1400,晴,ダート,良,2022年01月05日,3勝クラス,2016105172,05203,4-3,38.3
202207010109,11,4,7,ランドボルケーノ,牡4,56.0,幸英明,0:1:25.3,3,19.0,7.0,484,[西] 安達昭夫,1400,晴,ダート,良,2022年01月05日,3勝クラス,2018102372,00732,9-9,38.2
202207010109,12,4,8,スペースクラフト,セ6,57.0,横山典弘,0:1:25.4,クビ,24.3,8.0,502,[西] 松永幹夫,1400,晴,ダート,良,2022年01月05日,3勝クラス,2016105069,00660,15-15,37.1
202207010109,13,7,14,ディモールト,牡5,57.0,酒井学,0:1:25.6,1.1/2,40.2,13.0,500,[西] 角田晃一,1400,晴,ダート,良,2022年01月05日,3勝クラス,2017104055,01034,5-5,39.0
202207010109,14,6,12,ソーラーフレア,牡7,57.0,武豊,0:1:26.3,4,33.9,11.0,472,[東] 高柳瑞樹,1400,晴,ダート,良,2022年01月05日,3勝クラス,2015101602,00666,6-6,39.5
202207010109,15,8,15,エイシンハルニレ,牡5,57.0,川又賢治,0:1:27.7,8,432.5,16.0,468,[東] 天間昭一,1400,晴,ダート,良,2022年01月05日,3勝クラス,2017106481,01166,13-16,39.9
202207010109,16,6,11,シホノレジーナ,牝5,55.0,浜中俊,0:1:28.2,3,24.8,9.0,520,[西] 寺島良,1400,晴,ダート,良,2022年01月05日,3勝クラス,2017104622,01115,3-4,41.8
