,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202607010411,1,8,18,アイサンサン,牝4,55,幸英明,0:1:19.6,,1-1,34.2,27.6,12,458,[西]橋田宜長,1400,曇,芝,良,2026年03月22日,オープン,2022103875,00732
202607010411,2,4,8,ソルトクィーン,牝5,55,富田暁,0:1:19.6,アタマ,5-3,33.8,9.1,5,444,[西]武英智,1400,曇,芝,良,2026年03月22日,オープン,2021102013,01168
202607010411,3,5,10,セフィロ,牝6,55,吉田隼人,0:1:19.8,1.1/4,9-9,33.6,34.1,13,470,[東]菊沢隆徳,1400,曇,芝,良,2026年03月22日,オープン,2020102836,01095
202607010411,4,7,15,ワイドラトゥール,牝5,56,西塚洸二,0:1:19.8,アタマ,14-14,33.2,11.9,7,442,[西]藤原英昭,1400,曇,芝,良,2026年03月22日,オープン,2021104434,01200
202607010411,5,4,7,チェルビアット,牝4,55,西村淳也,0:1:19.8,ハナ,8-6,33.8,5.9,2,492,[西]高野友和,1400,曇,芝,良,2026年03月22日,オープン,2022105778,01171
202607010411,6,1,1,マピュース,牝4,56,田辺裕信,0:1:19.9,1/2,11-9,33.7,7.4,3,494,[東]和田勇介,1400,曇,芝,良,2026年03月22日,オープン,2022105467,01075
202607010411,7,3,5,ウイントワイライト,牝4,55,横山典弘,0:1:19.9,ハナ,15-15,33.1,8.6,4,450,[西]西園翔太,1400,曇,芝,良,2026年03月22日,オープン,2022106232,00660
202607010411,8,3,6,ナムラクララ,牝4,55,浜中俊,0:1:19.9,クビ,3-3,34.2,10.3,6,472,[西]長谷川浩,1400,曇,芝,良,2026年03月22日,オープン,2022102887,01115
202607010411,9,8,17,リラボニート,牝5,55,田山旺佑,0:1:20.0,1/2,12-12,33.6,26.4,11,466,[西]須貝尚介,1400,曇,芝,良,2026年03月22日,オープン,2021103519,01220
202607010411,10,8,16,ドロップオブライト,牝7,56,松若風馬,0:1:20.2,3/4,15-15,33.4,5.7,1,440,[西]福永祐一,1400,曇,芝,良,2026年03月22日,オープン,2019105806,01154
202607010411,11,6,12,カルプスペルシュ,牝4,55,横山武史,0:1:20.2,ハナ,2-2,34.6,12.8,8,474,[西]石坂公一,1400,曇,芝,良,2026年03月22日,オープン,2022104960,01170
202607010411,12,1,2,レディマリオン,牝5,55,吉村誠之,0:1:20.2,クビ,6-6,34.3,13.8,9,462,[西]長谷川浩,1400,曇,芝,良,2026年03月22日,オープン,2021105752,01216
202607010411,13,7,13,アブキールベイ,牝4,56,小崎綾也,0:1:20.2,アタマ,12-12,33.7,39.5,14,440,[西]坂口智康,1400,曇,芝,良,2026年03月22日,オープン,2022101623,01152
202607010411,14,6,11,スリールミニョン,牝4,55,丸山元気,0:1:20.4,1,3-3,34.7,23.9,10,458,[西]高橋康之,1400,曇,芝,良,2026年03月22日,オープン,2022105755,01127
202607010411,15,2,3,モリノドリーム,牝7,55,小林美駒,0:1:20.4,クビ,15-15,33.7,126.4,17,492,[東]鈴木伸尋,1400,曇,芝,良,2026年03月22日,オープン,2019102273,01206
202607010411,16,7,14,シンバーシア,牝5,55,団野大成,0:1:20.7,1.3/4,9-9,34.5,58.2,16,458,[東]萩原清,1400,曇,芝,良,2026年03月22日,オープン,2021105599,01180
202607010411,17,5,9,マサノカナリア,牝5,55,古川吉洋,0:1:20.8,3/4,6-6,34.9,54.4,15,464,[西]藤野健太,1400,曇,芝,良,2026年03月22日,オープン,2021100019,01015
202607010411,18,2,4,カンパニョーラ,牝7,55,嶋田純次,0:1:20.9,クビ,18-18,33.9,204.2,18,470,[東]伊坂重信,1400,曇,芝,良,2026年03月22日,オープン,2019104385,01134
