,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
201908050602,1,6,10,ゴルトファルベン,牡2,55.0,スミヨン,0:1:35.9,,3.2,2.0,486,[西] 吉村圭司,1600,晴,芝,良,2019年11月17日,未勝利,2017105471,05271,11-10,34.2
201908050602,2,5,8,アステロイドベルト,牡2,55.0,川田将雅,0:1:35.9,クビ,3.0,1.0,472,[西] 池江泰寿,1600,晴,芝,良,2019年11月17日,未勝利,2017105321,01088,3-3,35.4
201908050602,3,7,12,サーストンカイドー,牡2,55.0,マーフィ,0:1:35.9,ハナ,9.3,5.0,504,[西] 橋田満,1600,晴,芝,良,2019年11月17日,未勝利,2017103467,05575,2-2,35.5
201908050602,4,8,14,ロードベイリーフ,牡2,55.0,武豊,0:1:36.4,3,6.1,3.0,478,[西] 森田直行,1600,晴,芝,良,2019年11月17日,未勝利,2017103005,00666,1-1,36.7
201908050602,5,3,5,ムジカ,牝2,54.0,和田竜二,0:1:36.6,1.1/4,89.8,11.0,444,[西] 鈴木孝志,1600,晴,芝,良,2019年11月17日,未勝利,2017104141,01018,11-10,34.9
201908050602,6,3,4,ガストロノミスト,牡2,55.0,ルメール,0:1:36.7,1/2,7.8,4.0,486,[西] 小崎憲,1600,晴,芝,良,2019年11月17日,未勝利,2017104795,05339,6-7,35.5
201908050602,7,4,6,コンウィ,牡2,55.0,幸英明,0:1:36.8,1/2,33.6,7.0,446,[西] 浅見秀一,1600,晴,芝,良,2019年11月17日,未勝利,2017102381,00732,4-4,36.1
201908050602,8,2,2,ロジーナ,牝2,54.0,田中健,0:1:37.0,1.1/2,51.4,8.0,448,[西] 佐々木晶,1600,晴,芝,良,2019年11月17日,未勝利,2017102595,01114,6-5,35.9
201908050602,9,2,3,マジックスピーチ,牡2,55.0,藤岡佑介,0:1:37.2,1.1/4,126.1,12.0,460,[西] 飯田祐史,1600,晴,芝,良,2019年11月17日,未勝利,2017106330,01093,14-14,34.8
201908050602,10,1,1,ライトマン,牡2,55.0,松若風馬,0:1:37.2,ハナ,249.5,13.0,500,[西] 宮本博,1600,晴,芝,良,2019年11月17日,未勝利,2017100057,01154,8-8,35.8
201908050602,11,8,15,ルヴァン,牡2,55.0,ムーア,0:1:37.2,クビ,21.6,6.0,466,[西] 清水久詞,1600,晴,芝,良,2019年11月17日,未勝利,2017105493,05366,8-9,35.7
201908050602,12,5,9,キングダムウイナー,牡2,54.0,坂井瑠星,0:1:37.3,3/4,56.6,9.0,488,[西] 矢作芳人,1600,晴,芝,良,2019年11月17日,未勝利,2017105224,01163,13-13,35.2
201908050602,13,4,7,ビービージャッカル,牡2,53.0,岩田望来,0:1:37.5,1.1/4,335.0,14.0,498,[西] 加用正,1600,晴,芝,良,2019年11月17日,未勝利,2017103680,01174,5-5,36.5
201908050602,14,6,11,マイネルホイッスル,牡2,55.0,ビュイッ,0:1:37.9,2.1/2,59.0,10.0,470,[西] 西園正都,1600,晴,芝,良,2019年11月17日,未勝利,2017101903,05495,8-12,36.2
201908050602,中,7,13,ラブミーアーサー,牝2,54.0,藤岡康太,,,511.7,15.0,448,[西] 村山明,1600,晴,芝,良,2019年11月17日,未勝利,2017102709,01116,14-15,
