,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202608030211,1,5,9,アドマイヤズーム,牡4,57,武豊,0:1:31.7,,2-2,33.3,4.1,1,482,[西]友道康夫,1600,曇,芝,良,2026年04月26日,オープン,2022105396,00666
202608030211,2,1,1,ドラゴンブースト,牡4,57,丹内祐次,0:1:31.8,1/2,6-8,33.0,20.4,9,474,[西]藤野健太,1600,曇,芝,良,2026年04月26日,オープン,2022105891,01091
202608030211,3,4,7,ベラジオボンド,牡5,57,北村友一,0:1:31.8,ハナ,3-3,33.2,8.3,5,498,[西]上村洋行,1600,曇,芝,良,2026年04月26日,オープン,2021105117,01102
202608030211,4,3,5,ショウナンアデイブ,牡7,57,池添謙一,0:1:31.9,1/2,1-1,33.6,84.5,13,530,[西]高野友和,1600,曇,芝,良,2026年04月26日,オープン,2019105239,01032
202608030211,5,1,2,オフトレイル,牡5,58,岩田望来,0:1:31.9,ハナ,12-10,32.9,4.2,2,466,[西]吉村圭司,1600,曇,芝,良,2026年04月26日,オープン,2021110031,01174
202608030211,6,6,12,ファーヴェント,牡5,57,坂井瑠星,0:1:32.0,1/2,3-3,33.5,17.9,7,514,[西]藤原英昭,1600,曇,芝,良,2026年04月26日,オープン,2021104893,01163
202608030211,7,8,16,シックスペンス,牡5,57,戸崎圭太,0:1:32.1,1/2,9-8,33.3,7.8,4,500,[東]田中博康,1600,曇,芝,良,2026年04月26日,オープン,2021105724,05386
202608030211,8,8,17,エルトンバローズ,牡6,57,西村淳也,0:1:32.1,ハナ,3-3,33.6,12.1,6,522,[西]杉山晴紀,1600,曇,芝,良,2026年04月26日,オープン,2020100680,01171
202608030211,9,4,8,シャンパンカラー,牡6,58,岩田康誠,0:1:32.1,クビ,6-6,33.4,38.9,11,516,[東]田中剛,1600,曇,芝,良,2026年04月26日,オープン,2020103075,05203
202608030211,10,6,11,キョウエイブリッサ,牡6,57,田山旺佑,0:1:32.1,アタマ,17-16,32.8,287.9,17,486,[東]武市康男,1600,曇,芝,良,2026年04月26日,オープン,2020107001,01220
202608030211,11,8,18,ランスオブカオス,牡4,57,吉村誠之,0:1:32.1,アタマ,6-6,33.4,18.4,8,494,[西]奥村豊,1600,曇,芝,良,2026年04月26日,オープン,2022104401,01216
202608030211,12,3,6,ブエナオンダ,牡5,57,田口貫太,0:1:32.2,クビ,15-15,33.0,38.3,10,458,[西]須貝尚介,1600,曇,芝,良,2026年04月26日,オープン,2021105454,01208
202608030211,13,5,10,ウォーターリヒト,牡5,57,高杉吏麒,0:1:32.2,クビ,12-14,33.2,5.4,3,478,[西]石橋守,1600,曇,芝,良,2026年04月26日,オープン,2021100953,01213
202608030211,14,2,4,クルゼイロドスル,牡6,57,太宰啓介,0:1:32.2,ハナ,15-16,32.9,70.6,12,502,[西]高橋義忠,1600,曇,芝,良,2026年04月26日,オープン,2020101813,01037
202608030211,15,2,3,ファインライン,牡5,57,鮫島克駿,0:1:32.3,1/2,10-10,33.3,143.9,15,486,[西]松永幹夫,1600,曇,芝,良,2026年04月26日,オープン,2021102419,01157
202608030211,16,7,13,アサヒ,牡7,57,松本大輝,0:1:32.5,1.1/2,18-18,33.0,294.5,18,512,[東]金成貴史,1600,曇,芝,良,2026年04月26日,オープン,2019105482,01191
202608030211,17,7,15,マテンロウスカイ,セ7,57,横山典弘,0:1:32.6,クビ,10-10,33.7,140.5,14,488,[西]松永幹夫,1600,曇,芝,良,2026年04月26日,オープン,2019105546,00660
202608030211,18,7,14,ロングラン,セ8,58,団野大成,0:1:32.6,クビ,12-10,33.7,153.6,16,474,[東]和田勇介,1600,曇,芝,良,2026年04月26日,オープン,2018104708,01180
