,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202209030304,1,1,1,キングロコマイカイ,牡3,56.0,西村淳也,0:2:00.6,,6.2,4.0,482,[西] 須貝尚介,2000,晴,芝,良,2022年06月25日,未勝利,2019103829,01171,6-6-4-5,36.9
202209030304,2,1,2,エルゲルージ,牡3,56.0,坂井瑠星,0:2:00.7,1/2,3.9,2.0,510,[西] 石坂公一,2000,晴,芝,良,2022年06月25日,未勝利,2019102044,01163,4-3-4-2,37.2
202209030304,3,2,4,タイクーン,牡3,53.0,角田大河,0:2:01.2,3,108.2,10.0,512,[西] 本田優,2000,晴,芝,良,2022年06月25日,未勝利,2019104075,01199,9-8-10-11,36.9
202209030304,4,4,7,スクリーンアピール,牝3,54.0,長岡禎仁,0:2:01.2,ハナ,78.4,9.0,440,[西] 奥村豊,2000,晴,芝,良,2022年06月25日,未勝利,2019105127,01142,2-3-2-4,37.7
202209030304,5,5,10,バレエマスター,牡3,56.0,幸英明,0:2:01.2,クビ,8.4,5.0,472,[西] 梅田智之,2000,晴,芝,良,2022年06月25日,未勝利,2019104850,00732,11-11-10-10,37.0
202209030304,6,2,3,エスポワールエール,牡3,56.0,福永祐一,0:2:01.4,1.1/4,3.3,1.0,494,[西] 高野友和,2000,晴,芝,良,2022年06月25日,未勝利,2019105132,01014,2-2-2-2,38.0
202209030304,7,6,11,プリマヴィータ,牝3,54.0,和田竜二,0:2:01.5,3/4,24.7,8.0,432,[西] 森田直行,2000,晴,芝,良,2022年06月25日,未勝利,2019100831,01018,4-5-6-5,37.7
202209030304,8,8,15,ムーンスター,牝3,54.0,藤岡康太,0:2:01.7,1.1/4,212.0,15.0,430,[西] 鮫島一歩,2000,晴,芝,良,2022年06月25日,未勝利,2019103575,01116,13-13-13-13,37.2
202209030304,9,7,13,ショウナンパラボラ,牡3,56.0,松山弘平,0:2:02.1,2,5.7,3.0,426,[西] 吉村圭司,2000,晴,芝,良,2022年06月25日,未勝利,2019103725,01126,9-8-8-7,38.1
202209030304,10,4,8,ダイリュウブラック,牡3,56.0,松若風馬,0:2:02.4,2,21.1,7.0,446,[西] 梅田智之,2000,晴,芝,良,2022年06月25日,未勝利,2019105906,01154,1-1-1-1,39.1
202209030304,11,3,6,ロマンドブリエ,牡3,54.0,松本大輝,0:2:02.4,アタマ,117.5,11.0,470,[西] 池江泰寿,2000,晴,芝,良,2022年06月25日,未勝利,2019105660,01191,11-11-8-7,38.5
202209030304,12,7,14,ブレイズアウト,牡3,56.0,荻野極,0:2:02.5,1/2,148.1,13.0,454,[西] 池江泰寿,2000,晴,芝,良,2022年06月25日,未勝利,2019104563,01160,7-8-10-11,38.2
202209030304,13,8,16,オーウェンバローズ,牡3,56.0,岩田望来,0:2:03.0,2.1/2,10.4,6.0,458,[西] 辻野泰之,2000,晴,芝,良,2022年06月25日,未勝利,2019105636,01174,7-7-7-7,39.1
202209030304,14,6,12,ジューンフラワー,牝3,50.0,永島まな,0:2:03.5,3.1/2,135.0,12.0,420,[西] 坂口智康,2000,晴,芝,良,2022年06月25日,未勝利,2019101707,01187,15-15-14-14,38.4
202209030304,15,3,5,トモノレオン,牡3,56.0,岡田祥嗣,0:2:04.0,3,355.8,16.0,422,[西] 杉山佳明,2000,晴,芝,良,2022年06月25日,未勝利,2019106659,05429,13-13-15-15,38.7
202209030304,16,5,9,カレンイモーション,牡3,54.0,小沢大仁,0:2:04.6,3.1/2,191.2,14.0,484,[西] 安田翔伍,2000,晴,芝,良,2022年06月25日,未勝利,2019104708,01185,15-15-15-16,39.1
