,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202609020812,1,1,1,ウィンターダフネ,牝6,54,柴田裕一,0:1:51.9,,9-9-1-1,37.2,8.9,3,490,[西]橋田宜長,1800,曇,ダート,良,2026年04月19日,2勝クラス,2020103246,01212
202609020812,2,8,10,ヴァンアグレアブル,牝4,56,鮫島克駿,0:1:53.3,9,8-8-8-6,37.9,1.8,1,518,[西]橋口慎介,1800,曇,ダート,良,2026年04月19日,2勝クラス,2022105058,01157
202609020812,3,2,2,プウスカンドゥール,牝6,56,中井裕二,0:1:53.3,クビ,6-6-8-8,37.9,23.4,9,462,[西]坂口智康,1800,曇,ダート,良,2026年04月19日,2勝クラス,2020104791,01141
202609020812,4,4,4,フクキタテーラー,牝4,56,菱田裕二,0:1:53.3,ハナ,10-10-10-10,37.6,15.4,6,444,[西]緒方努,1800,曇,ダート,良,2026年04月19日,2勝クラス,2022104292,01144
202609020812,5,3,3,サンコンクエスト,牝4,56,幸英明,0:1:53.8,3,2-1-2-2,39.0,5.1,2,556,[西]渡辺薫彦,1800,曇,ダート,良,2026年04月19日,2勝クラス,2022104970,00732
202609020812,6,8,9,ユウェンタース,牝4,56,酒井学,0:1:53.9,3/4,5-5-6-3,38.8,21.7,8,484,[西]宮徹,1800,曇,ダート,良,2026年04月19日,2勝クラス,2022103515,01034
202609020812,7,5,5,ハリウッドパーク,牝5,56,田口貫太,0:1:54.4,3,6-6-6-6,39.1,11.7,4,512,[西]長谷川浩,1800,曇,ダート,良,2026年04月19日,2勝クラス,2021104581,01208
202609020812,8,7,7,アンドリーナ,牝4,56,国分恭介,0:1:55.3,5,4-4-3-8,40.1,11.9,5,458,[西]牧浦充徳,1800,曇,ダート,良,2026年04月19日,2勝クラス,2022101457,01124
202609020812,9,7,8,ネクストダンサー,牝4,53,佐藤翔馬,0:1:56.1,5,1-2-3-3,41.2,33.9,10,494,[東]伊藤圭三,1800,曇,ダート,良,2026年04月19日,2勝クラス,2022103753,01207
202609020812,10,6,6,レディゴディヴァ,牝4,56,吉村誠之,0:1:56.5,2.1/2,2-2-3-3,41.6,19.1,7,442,[西]小崎憲,1800,曇,ダート,良,2026年04月19日,2勝クラス,2022106851,01216
