,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202210030410,1,2,2,トゥルーヴィル,牡5,56.0,北村友一,0:1:46.5,,8.8,4.0,466,[西] 小林真也,1800,晴,芝,良,2022年07月10日,2勝クラス,2017105642,01102,7-7-6-6,33.9
202210030410,2,8,10,アトミカ,牝7,52.0,今村聖奈,0:1:46.7,1.1/4,11.0,5.0,448,[西] 笹田和秀,1800,晴,芝,良,2022年07月10日,2勝クラス,2015106165,01193,2-2-2-1,34.5
202210030410,3,7,8,セグレドスペリオル,牡6,54.0,松若風馬,0:1:46.9,1.1/4,48.4,9.0,484,[西] 宮本博,1800,晴,芝,良,2022年07月10日,2勝クラス,2016104691,01154,3-4-4-3,34.5
202210030410,4,6,6,メイショウカクウン,牡7,53.0,富田暁,0:1:46.9,クビ,47.9,8.0,462,[西] 石橋守,1800,晴,芝,良,2022年07月10日,2勝クラス,2015103983,01168,8-8-8-8,34.1
202210030410,5,8,9,サトノペルセウス,セ4,56.0,岩田望来,0:1:46.9,ハナ,2.5,1.0,490,[西] 藤原英昭,1800,晴,芝,良,2022年07月10日,2勝クラス,2018104674,01174,3-4-3-3,34.6
202210030410,6,7,7,ホウオウジョルノ,牡4,54.0,横山典弘,0:1:47.1,1.1/4,8.3,3.0,470,[西] 安田翔伍,1800,晴,芝,良,2022年07月10日,2勝クラス,2018103565,00660,1-1-1-2,34.9
202210030410,7,5,5,メイショウベッピン,牝5,54.0,団野大成,0:1:47.1,ハナ,13.7,6.0,502,[西] 荒川義之,1800,晴,芝,良,2022年07月10日,2勝クラス,2017106086,01180,6-6-6-7,34.4
202210030410,8,1,1,アトリビュート,牝5,54.0,松山弘平,0:1:47.2,1/2,2.6,2.0,458,[西] 高野友和,1800,晴,芝,良,2022年07月10日,2勝クラス,2017105522,01126,3-3-4-5,34.8
202210030410,9,3,3,ハローユニコーン,牝8,53.0,和田竜二,0:1:47.4,1.1/4,59.6,10.0,474,[西] 鮫島一歩,1800,晴,芝,良,2022年07月10日,2勝クラス,2014104031,01018,8-8-8-8,34.5
202210030410,10,4,4,ベストクィーン,牝6,51.0,藤懸貴志,0:1:47.4,ハナ,30.2,7.0,438,[西] 茶木太樹,1800,晴,芝,良,2022年07月10日,2勝クラス,2016100634,01138,10-10-10-10,34.1
