,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202610010212,1,5,8,ヤコブセン,牡4,57,斎藤新,0:2:00.0,,2-2-2-1,34.1,7.0,3,514,[東]斎藤誠,2000,晴,芝,良,2026年01月25日,1勝クラス,2022103288,01178
202610010212,2,8,13,マイネルアウルム,牡4,54,石神深道,0:2:00.0,クビ,3-3-3-3,33.9,8.6,4,436,[東]伊藤伸一,2000,晴,芝,良,2026年01月25日,1勝クラス,2022106811,01209
202610010212,3,5,7,プレデスティナーレ,牡4,57,秋山稔樹,0:2:00.1,3/4,7-7-7-7,33.6,49.3,12,478,[西]北出成人,2000,晴,芝,良,2026年01月25日,1勝クラス,2022106751,01181
202610010212,4,6,10,マイネルアレス,牡4,57,丹内祐次,0:2:00.2,3/4,3-3-3-3,34.1,3.5,1,466,[東]相沢郁,2000,晴,芝,良,2026年01月25日,1勝クラス,2022106817,01091
202610010212,5,1,1,デリシュー,牡5,55,石田拓郎,0:2:00.3,クビ,10-9-10-9,33.6,13.5,7,468,[東]新開幸一,2000,晴,芝,良,2026年01月25日,1勝クラス,2021103037,01203
202610010212,6,4,5,マイバラード,牡6,58,菊沢一樹,0:2:00.3,クビ,6-5-5-5,34.0,19.4,9,482,[東]松永康利,2000,晴,芝,良,2026年01月25日,1勝クラス,2020100621,01161
202610010212,7,3,4,アスクメークシェア,牡6,55,古川奈穂,0:2:00.3,クビ,13-13-13-9,33.3,33.2,10,502,[西]前川恭子,2000,晴,芝,良,2026年01月25日,1勝クラス,2020101029,01190
202610010212,8,2,2,イゾレエオリア,牝6,56,横山琉人,0:2:00.7,2,7-7-7-7,34.2,11.1,5,462,[東]伊藤大士,2000,晴,芝,良,2026年01月25日,1勝クラス,2020102785,01192
202610010212,9,8,14,ダノンピクチャー,牡4,54,舟山瑠泉,0:2:00.8,3/4,14-14-13-14,33.7,18.6,8,482,[東]田中博康,2000,晴,芝,良,2026年01月25日,1勝クラス,2022104980,01221
202610010212,10,7,11,サラダ,牝4,52,田山旺佑,0:2:00.9,1/2,5-5-5-5,34.6,11.4,6,464,[西]武英智,2000,晴,芝,良,2026年01月25日,1勝クラス,2022100128,01220
202610010212,11,3,3,エイシンジェンマ,牝6,56,川又賢治,0:2:01.2,1.3/4,10-11-12-9,34.3,3.7,2,496,[西]中尾秀正,2000,晴,芝,良,2026年01月25日,1勝クラス,2020107017,01166
202610010212,12,4,6,モルビド,牝4,52,和田陽希,0:2:01.2,アタマ,10-11-7-9,34.7,37.1,11,420,[西]中内田充,2000,晴,芝,良,2026年01月25日,1勝クラス,2022105525,01223
202610010212,13,6,9,アロガントシェイム,牝4,52,森田誠也,0:2:01.2,クビ,1-1-1-2,35.5,154.9,13,480,[西]杉山佳明,2000,晴,芝,良,2026年01月25日,1勝クラス,2022105360,01222
202610010212,14,7,12,ジーティービジン,牝4,52,水沼元輝,0:2:02.2,6,9-9-10-13,35.5,204.7,14,440,[東]加藤和宏,2000,晴,芝,良,2026年01月25日,1勝クラス,2022105176,01201
